# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.56944444
Weighted average F-Measure	0.64615385
Weighted average true positive rate	0.66666667
Weighted average false positive rate	0.5
Weighted average sensitivity (recall)	0.66666667
Total number correct	12
Total number incorrect	6
Accuracy	0.66666667
Error rate	0.33333333
Error rate expected by chance	0.33333333
Improvement over error rate expected by chance	0.0
Kappa statistic	0.18181818
Mean absolute error	0.42709338
Mean prior absolute error	0.45
Root mean squared error	0.48050576
Root mean prior squared error	0.47169906
Relative absolute error (%)	94.90963963
Root relative squared error (%)	101.86701667
Kononenko & Bratko information score (bits)	1.0107165
Kononenko & Bratko information score (bits / instance)	0.05615092
Kononenko & Bratko relative information score (%)	108.20587325
Class complexity - order (bits)	16.54529956
Class complexity - order (bits / instance)	0.91918331
Class complexity - scheme (bits)	18.66347908
Class complexity - scheme (bits / instance)	1.03685995
Complexity improvement (bits)	-2.11817952
Complexity improvement (bits / instance)	-0.11767664
