# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCA]	12.0
Number instances predicted as [BRCA] correctly	9.0
Number instances predicted as [BRCA] incorrectly	3.0
Number instances predicted as [Control]	6.0
Number instances predicted as [Control] correctly	3.0
Number instances predicted as [Control] incorrectly	3.0
Proportion instances predicted as [BRCA]	0.66666667
Proportion instances predicted as [BRCA] correctly	0.75
Proportion instances predicted as [BRCA] incorrectly	0.25
Proportion instances predicted as [Control]	0.33333333
Proportion instances predicted as [Control] correctly	0.5
Proportion instances predicted as [Control] incorrectly	0.5
Number [BRCA] instances predicted correctly	9.0
Number [BRCA] instances predicted incorrectly	3.0
Number [Control] instances predicted correctly	3.0
Number [Control] instances predicted incorrectly	3.0
Proportion [BRCA] instances predicted correctly	0.75
Proportion [BRCA] instances predicted incorrectly	0.25
Proportion [Control] instances predicted correctly	0.5
Proportion [Control] instances predicted incorrectly	0.5
