# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.94444444
Weighted average F-Measure	0.73809524
Weighted average true positive rate	0.77777778
Weighted average false positive rate	0.44444444
Weighted average sensitivity (recall)	0.77777778
Total number correct	15
Total number incorrect	3
Accuracy	0.83333333
Error rate	0.16666667
Error rate expected by chance	0.33333333
Improvement over error rate expected by chance	0.16666667
Kappa statistic	0.4
Mean absolute error	0.30765153
Mean prior absolute error	0.45
Root mean squared error	0.36354203
Root mean prior squared error	0.47169906
Relative absolute error (%)	68.36700628
Root relative squared error (%)	77.07075657
Kononenko & Bratko information score (bits)	5.77994829
Kononenko & Bratko information score (bits / instance)	0.32110824
Kononenko & Bratko relative information score (%)	618.79305817
Class complexity - order (bits)	16.54529956
Class complexity - order (bits / instance)	0.91918331
Class complexity - scheme (bits)	10.82885848
Class complexity - scheme (bits / instance)	0.60160325
Complexity improvement (bits)	5.71644108
Complexity improvement (bits / instance)	0.31758006
