# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.83333333
Weighted average F-Measure	0.76410256
Weighted average true positive rate	0.77777778
Weighted average false positive rate	0.36111111
Weighted average sensitivity (recall)	0.77777778
Total number correct	14
Total number incorrect	4
Accuracy	0.77777778
Error rate	0.22222222
Error rate expected by chance	0.33333333
Improvement over error rate expected by chance	0.11111111
Kappa statistic	0.45454545
Mean absolute error	0.307116
Mean prior absolute error	0.45
Root mean squared error	0.39310998
Root mean prior squared error	0.47169906
Relative absolute error (%)	68.24800065
Root relative squared error (%)	83.33914953
Kononenko & Bratko information score (bits)	5.65130406
Kononenko & Bratko information score (bits / instance)	0.31396134
Kononenko & Bratko relative information score (%)	605.02058968
Class complexity - order (bits)	16.54529956
Class complexity - order (bits / instance)	0.91918331
Class complexity - scheme (bits)	12.24655128
Class complexity - scheme (bits / instance)	0.68036396
Complexity improvement (bits)	4.29874828
Complexity improvement (bits / instance)	0.23881935
