# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.41666667
Weighted average F-Measure	0.44444444
Weighted average true positive rate	0.5
Weighted average false positive rate	0.75
Weighted average sensitivity (recall)	0.5
Total number correct	8
Total number incorrect	10
Accuracy	0.44444444
Error rate	0.55555556
Error rate expected by chance	0.33333333
Improvement over error rate expected by chance	-0.22222222
Kappa statistic	-0.28571429
Mean absolute error	0.4756493
Mean prior absolute error	0.45
Root mean squared error	0.510495
Root mean prior squared error	0.47169906
Relative absolute error (%)	105.69984416
Root relative squared error (%)	108.22472366
Kononenko & Bratko information score (bits)	-1.8221129
Kononenko & Bratko information score (bits / instance)	-0.10122849
Kononenko & Bratko relative information score (%)	-195.07282037
Class complexity - order (bits)	16.54529956
Class complexity - order (bits / instance)	0.91918331
Class complexity - scheme (bits)	18.639024
Class complexity - scheme (bits / instance)	1.03550133
Complexity improvement (bits)	-2.09372444
Complexity improvement (bits / instance)	-0.11631802
