# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
1445	1.65
3551	2.1
58494	3.05
3579	6.35
534	7.4
3577	8.2
535	10.0
9114	11.15
8517	11.25
127124	11.75
28964	13.1
5602	13.3
23545	13.9
50617	15.5
528	18.2
5601	20.45
1432	21.35
4792	21.45
5970	22.85
51606	23.3
51382	24.0
3725	24.3
527	25.15
6868	25.2
5058	26.2
4790	26.3
5336	27.6
533	28.6
2919	28.95
6300	29.6
6352	33.45
10312	33.6
245973	34.05
4067	34.25
5803	34.35
155066	34.9
4233	35.2
5335	38.6
3576	38.7
90423	39.7
5879	40.2
529	41.5
523	43.65
6416	43.75
245972	44.25
83700	45.55
537	46.35
526	47.25
9020	48.55
6714	48.6
10392	49.25
7082	50.3
5603	52.7
150084	52.95
8992	53.65
525	53.95
5781	55.25
836	55.6
5599	55.7
998	56.4
1147	56.55
102	57.8
1839	58.05
5600	58.3
1956	59.9
50848	61.6
9296	63.65
9550	65.75
