# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
57794	2.95
6829	5.1
2961	5.95
902	7.6
10921	8.1
9939	9.5
11198	9.95
4331	11.95
904	12.9
9343	13.7
10189	13.85
10236	16.55
6875	17.0
6634	17.05
10907	17.55
5439	17.9
2957	18.2
2068	19.1
6430	25.25
10978	25.75
6874	29.2
6872	29.8
6632	30.2
6924	31.0
3191	31.95
220988	32.0
9295	32.35
9128	32.45
1477	33.05
9410	33.45
51585	34.6
23020	35.8
6921	36.05
2521	37.05
11338	38.15
6882	39.5
5094	40.3
22916	41.3
6426	42.45
2967	42.5
2966	44.15
8243	44.75
5725	45.0
8178	45.45
7936	46.85
53981	47.9
10291	49.85
2968	52.45
6923	53.4
5430	54.65
1025	55.05
1022	55.05
6633	55.25
27316	55.95
5436	56.05
7307	59.3
1660	61.8
25920	61.85
6635	62.15
51692	63.25
3188	65.95
55749	66.9
3185	67.1
10992	67.25
5431	67.45
2959	69.8
6884	69.95
2962	69.95
79869	70.05
57819	70.45
4686	70.5
23450	72.0
7469	73.55
6917	74.35
6908	75.9
6432	75.95
5441	76.5
3187	76.75
905	77.2
5440	77.85
6431	80.1
8683	82.55
4799	82.7
6637	83.2
84844	83.55
6428	85.0
2071	86.55
65109	86.8
3183	87.8
6625	87.85
1478	87.9
10949	90.2
10181	90.35
29894	91.85
8731	92.3
51497	92.55
10421	93.0
6877	94.4
11100	100.05
6427	100.45
8106	101.95
2958	102.35
6880	102.9
3178	104.75
83443	105.85
3184	107.3
6636	108.35
6628	108.5
6878	108.55
2965	110.2
9416	110.95
5438	111.55
5433	112.45
4670	112.5
6827	112.6
10946	113.4
24148	113.4
23451	113.8
56339	114.7
8175	116.65
2960	120.2
9150	120.3
5437	120.5
51639	120.95
5432	122.2
9785	122.35
5435	122.4
3192	123.5
10250	123.55
6749	124.35
6429	124.9
5093	126.2
6883	126.95
10262	128.35
2963	128.85
1479	130.25
10594	130.75
6629	130.95
51362	131.05
4904	131.4
6881	131.85
10914	132.3
22826	134.9
3190	135.4
3181	136.0
4116	137.5
11051	138.75
6627	139.25
4809	139.3
6626	140.5
8732	143.85
