# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
58494	4.65
1191	4.8
1445	7.35
2815	8.45
9564	8.75
2767	9.1
2160	9.75
88	13.95
23657	14.95
90952	15.05
2784	16.25
2888	19.75
51206	20.0
948	23.9
1606	24.3
338	24.7
7450	25.55
2153	26.05
5023	26.35
965	27.75
10681	28.15
5155	28.5
5196	29.5
9046	30.55
284	33.55
3920	33.8
3687	34.4
9002	34.95
2	35.7
3674	36.75
150	37.9
10461	37.9
5747	39.7
2152	40.4
139189	40.85
5329	41.8
5154	43.7
5197	44.3
23428	45.65
6647	45.7
22915	46.0
5028	47.05
4973	48.15
3684	48.25
23533	48.5
6566	49.7
5340	50.45
6520	53.3
3082	53.55
7010	55.2
146850	55.65
1432	57.2
23759	57.55
51378	60.95
29106	60.95
94235	61.65
482	63.25
2207	63.45
7042	63.45
59345	64.35
2783	65.05
2770	66.2
10411	67.3
5290	70.55
10451	71.45
2769	71.55
3683	71.75
64805	73.45
3932	75.55
7060	78.05
7525	79.45
3273	79.65
914	80.6
5578	81.9
747	83.2
3708	85.1
3897	85.1
5547	85.35
3678	88.0
56301	88.85
1950	89.35
9162	90.0
2266	90.85
483	91.6
6850	91.7
5473	92.25
5055	92.7
5906	93.05
2792	93.8
5336	94.8
4067	95.45
2814	95.55
2788	96.45
6654	98.1
2158	98.3
2787	101.2
8527	102.05
11343	102.3
2243	103.95
7076	104.2
5295	104.2
1608	104.8
5777	105.45
6464	105.9
7273	106.5
285	106.9
6402	109.15
7423	111.0
2157	111.2
2812	112.2
481	113.8
2165	114.2
5590	115.45
1607	116.4
5552	120.95
2151	122.15
3635	122.35
81	123.4
8832	123.45
5054	124.75
5328	125.05
226	125.95
5321	126.0
5627	126.2
55423	128.85
5175	129.75
3827	129.8
9056	130.35
7056	131.25
857	133.75
5327	134.4
1398	134.85
11069	135.65
213	139.15
801	140.15
5291	140.4
8525	140.45
805	140.75
1675	141.55
87	143.35
8140	144.15
1525	144.55
4099	145.2
54331	148.8
7058	148.85
2277	149.75
7410	150.25
2162	150.75
23539	151.95
51744	152.2
6714	152.55
3655	153.95
2316	156.25
7059	157.4
335	157.8
5335	158.55
813	159.3
928	159.35
140885	161.5
3309	162.35
7424	162.6
7414	162.8
2335	164.95
2785	167.4
6915	168.05
3673	168.2
4893	168.45
2791	170.4
207	171.35
3688	172.15
2886	172.4
7040	174.3
2155	174.8
3675	175.75
5216	175.85
57126	176.15
27154	177.4
5624	177.45
221955	181.7
462	183.1
7422	183.35
51764	184.4
3845	185.55
2771	186.45
2885	186.65
3676	188.45
7114	188.6
7018	189.6
5579	189.8
5582	189.9
6814	189.95
2773	190.1
7035	190.45
962	190.55
55970	190.55
11136	190.8
9123	192.95
440915	193.4
3937	194.45
2782	194.55
5341	194.85
54210	196.05
3690	197.25
6403	198.55
710	199.6
3818	200.2
5770	200.75
3265	202.25
9630	202.95
10487	209.0
3479	209.7
6810	211.75
5660	212.25
5345	212.65
2159	212.65
3709	212.7
2534	213.45
808	214.55
967	214.55
120425	215.15
54518	215.6
5781	215.6
5265	216.35
6693	218.55
3685	218.9
10000	219.15
22927	219.95
7044	220.7
9948	221.2
5294	221.65
151	221.75
5296	222.45
2768	222.8
9057	223.15
2244	226.95
5908	227.0
7409	227.05
2786	227.3
3710	229.75
25780	229.8
208	231.35
4312	231.4
8526	231.6
2161	231.9
3689	232.1
1277	232.3
7094	232.6
2621	233.1
2811	233.25
351	233.8
83700	234.15
2793	235.35
152	236.0
160851	236.0
961	236.15
6404	236.5
6678	236.65
50848	240.0
1072	240.15
1609	240.2
2790	240.9
682	242.3
708	245.3
5170	247.1
2149	247.15
5478	248.1
1278	248.25
7043	248.4
10672	248.55
7057	252.35
10235	252.75
2776	252.95
7277	253.3
