# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.72
Weighted average F-Measure	0.74014337
Weighted average true positive rate	0.75
Weighted average false positive rate	0.48333333
Weighted average sensitivity (recall)	0.75
Total number correct	15
Total number incorrect	5
Accuracy	0.75
Error rate	0.25
Error rate expected by chance	0.25
Improvement over error rate expected by chance	0.0
Kappa statistic	0.28571429
Mean absolute error	0.3252404
Mean prior absolute error	0.38636364
Root mean squared error	0.40331952
Root mean prior squared error	0.43360873
Relative absolute error (%)	84.17986702
Root relative squared error (%)	93.01462308
Kononenko & Bratko information score (bits)	2.39690303
Kononenko & Bratko information score (bits / instance)	0.11984515
Kononenko & Bratko relative information score (%)	283.53940724
Class complexity - order (bits)	16.26381987
Class complexity - order (bits / instance)	0.81319099
Class complexity - scheme (bits)	16.72069063
Class complexity - scheme (bits / instance)	0.83603453
Complexity improvement (bits)	-0.45687076
Complexity improvement (bits / instance)	-0.02284354
