# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
79172	1.35
348235	3.45
91687	3.55
5518	5.3
991	8.05
10735	8.95
332	10.2
1062	12.65
701	14.4
5905	15.0
151648	16.5
9183	17.2
5527	17.2
6232	17.6
23421	17.85
81930	17.85
10726	19.05
8379	20.8
64105	21.95
79023	23.25
5347	24.35
10274	24.45
699	25.15
5885	25.2
5525	27.15
57082	27.2
79019	28.3
80776	30.95
8243	31.2
81929	32.05
3619	33.6
378708	33.85
5519	35.05
348995	35.3
79682	38.05
55055	38.1
5048	38.6
1058	38.9
401541	39.55
4085	40.5
79902	40.55
9212	41.05
54820	42.05
147841	42.95
5903	44.95
1060	45.65
55839	46.55
9793	47.45
83540	48.8
55746	49.15
79003	50.7
9126	50.8
55920	52.05
79980	52.8
11004	54.35
3796	55.35
25909	57.25
220134	58.0
11243	59.25
23279	60.25
80152	60.85
81565	61.55
7514	62.85
23332	63.9
9985	64.5
9735	67.0
5515	67.5
5516	67.6
57122	68.55
84643	69.0
55166	70.05
5501	70.15
54908	70.45
2491	70.9
1063	71.1
57551	71.95
10403	73.15
11130	73.2
23122	73.6
57405	74.85
5526	76.15
54821	77.75
4928	78.85
5528	79.4
64946	79.45
151246	81.4
9184	81.85
55143	82.25
25936	84.35
6249	85.85
22919	86.4
