# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
4173	2.5
5424	3.85
10213	3.95
1026	6.4
5714	9.25
6119	9.85
6117	11.95
5001	12.15
4174	12.4
10714	12.65
1017	13.3
5717	14.2
5718	14.8
4998	15.75
8318	16.8
5682	17.5
5684	17.5
5982	19.5
5689	20.2
9491	23.3
4175	24.8
5702	25.5
5985	25.9
5721	26.5
3978	28.65
23649	30.65
5696	30.75
5707	31.25
5704	31.75
5686	32.25
51659	32.5
990	35.0
5691	35.35
5427	35.7
5692	36.8
4171	37.6
9861	39.8
5711	40.3
1763	41.4
5716	42.6
890	42.75
5694	43.2
5984	43.3
5426	43.5
2237	44.0
84515	45.1
84296	46.4
5425	47.35
4176	47.45
5690	48.55
6118	50.55
5000	51.4
5720	53.05
5983	55.35
5715	56.85
5693	57.15
5713	57.3
5701	58.1
5719	59.45
9837	60.3
5700	60.6
5706	62.2
5558	64.5
5695	65.05
51343	66.0
5111	66.2
5685	67.05
5687	67.4
8900	67.5
5708	69.1
5925	69.2
5705	70.0
5557	70.1
57804	71.15
4999	71.25
5698	72.05
5709	72.6
10197	73.15
5683	73.25
23595	73.95
5981	75.25
4172	75.8
23594	76.15
7314	77.05
5688	77.6
5422	78.05
81620	78.15
5699	79.8
5710	80.9
