# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.64
Weighted average F-Measure	0.671875
Weighted average true positive rate	0.7
Weighted average false positive rate	0.63333333
Weighted average sensitivity (recall)	0.7
Total number correct	14
Total number incorrect	6
Accuracy	0.7
Error rate	0.3
Error rate expected by chance	0.25
Improvement over error rate expected by chance	-0.05
Kappa statistic	0.07692308
Mean absolute error	0.35162831
Mean prior absolute error	0.38636364
Root mean squared error	0.4390363
Root mean prior squared error	0.43360873
Relative absolute error (%)	91.00968071
Root relative squared error (%)	101.25172156
Kononenko & Bratko information score (bits)	0.87202435
Kononenko & Bratko information score (bits / instance)	0.04360122
Kononenko & Bratko relative information score (%)	103.15530624
Class complexity - order (bits)	16.26381987
Class complexity - order (bits / instance)	0.81319099
Class complexity - scheme (bits)	20.18439141
Class complexity - scheme (bits / instance)	1.00921957
Complexity improvement (bits)	-3.92057154
Complexity improvement (bits / instance)	-0.19602858
