# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.63210702
Weighted average F-Measure	0.52430556
Weighted average true positive rate	0.61111111
Weighted average false positive rate	0.62114456
Weighted average sensitivity (recall)	0.61111111
Total number correct	23
Total number incorrect	13
Accuracy	0.63888889
Error rate	0.36111111
Error rate expected by chance	0.36111111
Improvement over error rate expected by chance	0.0
Kappa statistic	-0.01204819
Mean absolute error	0.42580867
Mean prior absolute error	0.46345029
Root mean squared error	0.46920245
Root mean prior squared error	0.4803783
Relative absolute error (%)	91.87795996
Root relative squared error (%)	97.67353117
Kononenko & Bratko information score (bits)	2.51304026
Kononenko & Bratko information score (bits / instance)	0.06980667
Kononenko & Bratko relative information score (%)	264.68322971
Class complexity - order (bits)	33.97563898
Class complexity - order (bits / instance)	0.94376775
Class complexity - scheme (bits)	32.60501358
Class complexity - scheme (bits / instance)	0.90569482
Complexity improvement (bits)	1.3706254
Complexity improvement (bits / instance)	0.03807293
