# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	37.0
Number instances predicted as [BRCACancer] correctly	15.0
Number instances predicted as [BRCACancer] incorrectly	22.0
Number instances predicted as [Control]	87.0
Number instances predicted as [Control] correctly	63.0
Number instances predicted as [Control] incorrectly	24.0
Proportion instances predicted as [BRCACancer]	0.2983871
Proportion instances predicted as [BRCACancer] correctly	0.40540541
Proportion instances predicted as [BRCACancer] incorrectly	0.59459459
Proportion instances predicted as [Control]	0.7016129
Proportion instances predicted as [Control] correctly	0.72413793
Proportion instances predicted as [Control] incorrectly	0.27586207
Number [BRCACancer] instances predicted correctly	15.0
Number [BRCACancer] instances predicted incorrectly	24.0
Number [Control] instances predicted correctly	63.0
Number [Control] instances predicted incorrectly	22.0
Proportion [BRCACancer] instances predicted correctly	0.38461538
Proportion [BRCACancer] instances predicted incorrectly	0.61538462
Proportion [Control] instances predicted correctly	0.74117647
Proportion [Control] instances predicted incorrectly	0.25882353
