# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.51170569
Weighted average F-Measure	0.47076023
Weighted average true positive rate	0.58333333
Weighted average false positive rate	0.67028986
Weighted average sensitivity (recall)	0.58333333
Total number correct	22
Total number incorrect	14
Accuracy	0.61111111
Error rate	0.38888889
Error rate expected by chance	0.36111111
Improvement over error rate expected by chance	-0.02777778
Kappa statistic	-0.10655738
Mean absolute error	0.45254683
Mean prior absolute error	0.46345029
Root mean squared error	0.49019683
Root mean prior squared error	0.4803783
Relative absolute error (%)	97.6473278
Root relative squared error (%)	102.04391664
Kononenko & Bratko information score (bits)	0.6497614
Kononenko & Bratko information score (bits / instance)	0.01804893
Kononenko & Bratko relative information score (%)	68.43541193
Class complexity - order (bits)	33.97563898
Class complexity - order (bits / instance)	0.94376775
Class complexity - scheme (bits)	35.33005062
Class complexity - scheme (bits / instance)	0.98139029
Complexity improvement (bits)	-1.35441164
Complexity improvement (bits / instance)	-0.03762255
