# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
4040	1.0
1499	2.0
2535	3.0
6423	4.0
6425	5.0
6500	6.0
11197	7.0
4089	8.0
7473	9.0
5515	10.0
8607	11.0
7855	12.0
1487	13.0
81029	14.0
27123	15.0
7474	16.0
8323	17.0
7479	18.0
7475	19.0
51701	20.0
7484	21.0
6932	22.0
387	23.0
8324	24.0
56998	25.0
7480	26.0
51176	27.0
7471	28.0
51384	29.0
5530	30.0
85409	31.0
5879	32.0
7477	33.0
896	34.0
144165	35.0
1452	36.0
89780	37.0
5526	38.0
595	39.0
23002	40.0
122011	41.0
5532	42.0
10297	43.0
6093	44.0
57680	45.0
5599	46.0
5330	47.0
8325	48.0
5613	49.0
1457	50.0
5663	51.0
5566	52.0
8313	53.0
7483	54.0
64321	55.0
1857	56.0
8312	57.0
8326	58.0
5578	59.0
11261	60.0
7157	61.0
5527	62.0
81839	63.0
6477	64.0
8945	65.0
4773	66.0
817	67.0
85407	68.0
816	69.0
5332	70.0
5582	71.0
1460	72.0
27121	73.0
5467	74.0
90665	75.0
1856	76.0
9978	77.0
1454	78.0
2932	79.0
9350	80.0
324	81.0
23236	82.0
63928	83.0
1459	84.0
5602	85.0
10023	86.0
22943	87.0
5529	88.0
9475	89.0
8061	90.0
79718	91.0
5567	92.0
11211	93.0
5880	94.0
7481	95.0
23500	96.0
5881	97.0
3725	98.0
7976	99.0
894	100.0
5534	101.0
7472	102.0
4775	103.0
8454	104.0
6907	105.0
23291	106.0
6885	107.0
5601	108.0
818	109.0
7482	110.0
5579	111.0
7476	112.0
2033	113.0
6424	114.0
4776	115.0
80326	116.0
5331	117.0
1387	118.0
54361	119.0
4609	120.0
4088	121.0
1488	122.0
5518	123.0
5533	124.0
4772	125.0
5528	126.0
6422	127.0
5519	128.0
6934	129.0
7478	130.0
4316	131.0
83439	132.0
59343	133.0
4041	134.0
8322	135.0
27101	136.0
166336	137.0
57216	138.0
23401	139.0
4087	140.0
5516	141.0
80319	142.0
5525	143.0
1855	144.0
64840	145.0
8321	146.0
5568	147.0
815	148.0
10725	149.0
