# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.59615385
Weighted average F-Measure	0.66086673
Weighted average true positive rate	0.6626506
Weighted average false positive rate	0.34563429
Weighted average sensitivity (recall)	0.6626506
Total number correct	51
Total number incorrect	32
Accuracy	0.61445783
Error rate	0.38554217
Error rate expected by chance	0.46987952
Improvement over error rate expected by chance	0.08433735
Kappa statistic	0.31887456
Mean absolute error	0.48738402
Mean prior absolute error	0.49822821
Root mean squared error	0.50403015
Root mean prior squared error	0.49909244
Relative absolute error (%)	97.8234498
Root relative squared error (%)	100.98933838
Kononenko & Bratko information score (bits)	2.69829303
Kononenko & Bratko information score (bits / instance)	0.03250955
Kononenko & Bratko relative information score (%)	270.50487683
Class complexity - order (bits)	82.78271576
Class complexity - order (bits / instance)	0.99738212
Class complexity - scheme (bits)	84.79977047
Class complexity - scheme (bits / instance)	1.02168398
Complexity improvement (bits)	-2.01705471
Complexity improvement (bits / instance)	-0.02430186
