# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	31.0
Number instances predicted as [BRCACancer] correctly	17.0
Number instances predicted as [BRCACancer] incorrectly	14.0
Number instances predicted as [Control]	52.0
Number instances predicted as [Control] correctly	30.0
Number instances predicted as [Control] incorrectly	22.0
Proportion instances predicted as [BRCACancer]	0.37349398
Proportion instances predicted as [BRCACancer] correctly	0.5483871
Proportion instances predicted as [BRCACancer] incorrectly	0.4516129
Proportion instances predicted as [Control]	0.62650602
Proportion instances predicted as [Control] correctly	0.57692308
Proportion instances predicted as [Control] incorrectly	0.42307692
Number [BRCACancer] instances predicted correctly	17.0
Number [BRCACancer] instances predicted incorrectly	22.0
Number [Control] instances predicted correctly	30.0
Number [Control] instances predicted incorrectly	14.0
Proportion [BRCACancer] instances predicted correctly	0.43589744
Proportion [BRCACancer] instances predicted incorrectly	0.56410256
Proportion [Control] instances predicted correctly	0.68181818
Proportion [Control] instances predicted incorrectly	0.31818182
