# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
387	1.0
596	2.0
27018	3.0
10603	4.0
10782	5.0
9261	6.0
5296	7.0
27330	8.0
4915	9.0
572	10.0
9252	11.0
10019	12.0
6196	13.0
7533	14.0
1432	15.0
4908	16.0
25	17.0
1399	18.0
396	19.0
1398	20.0
7532	21.0
7157	22.0
5906	23.0
10971	24.0
6272	25.0
814	26.0
4794	27.0
5294	28.0
51806	29.0
208	30.0
356	31.0
5595	32.0
5894	33.0
5580	34.0
5295	35.0
4793	36.0
1445	37.0
5664	38.0
4804	39.0
627	40.0
53358	41.0
397	42.0
4803	43.0
4893	44.0
163688	45.0
207	46.0
2889	47.0
4214	48.0
5598	49.0
57498	50.0
5335	51.0
5605	52.0
6655	53.0
5607	54.0
5290	55.0
5599	56.0
51135	57.0
5781	58.0
5970	59.0
3845	60.0
808	61.0
581	62.0
5603	63.0
3656	64.0
3725	65.0
2932	66.0
5601	67.0
5908	68.0
5594	69.0
25759	70.0
5663	71.0
8660	72.0
801	73.0
6197	74.0
3551	75.0
2549	76.0
7531	77.0
6195	78.0
4792	79.0
6464	80.0
5879	81.0
11213	82.0
3265	83.0
4914	84.0
998	85.0
10818	86.0
7161	87.0
9500	88.0
817	89.0
5336	90.0
5602	91.0
8986	92.0
815	93.0
4215	94.0
4916	95.0
3654	96.0
399694	97.0
818	98.0
7529	99.0
8471	100.0
6300	101.0
10000	102.0
2885	103.0
6654	104.0
5600	105.0
25970	106.0
7189	107.0
4909	108.0
805	109.0
2309	110.0
810	111.0
816	112.0
5609	113.0
8767	114.0
7534	115.0
5293	116.0
468	117.0
11108	118.0
673	119.0
4217	120.0
4790	121.0
5604	122.0
8503	123.0
23533	124.0
5291	125.0
