# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
9252	1.0
387	2.0
785	3.0
25	4.0
5788	5.0
5747	6.0
6091	7.0
2064	8.0
10570	9.0
64221	10.0
6711	11.0
9901	12.0
5621	13.0
5595	14.0
9037	15.0
7094	16.0
23365	17.0
131873	18.0
8128	19.0
4627	20.0
1298	21.0
23129	22.0
9723	23.0
56924	24.0
10398	25.0
1287	26.0
2909	27.0
389	28.0
1290	29.0
5894	30.0
6655	31.0
64096	32.0
5361	33.0
1291	34.0
3688	35.0
23396	36.0
57144	37.0
5365	38.0
783	39.0
1289	40.0
23380	41.0
1281	42.0
6712	43.0
8911	44.0
1020	45.0
1297	46.0
6237	47.0
9826	48.0
5058	49.0
8829	50.0
6092	51.0
80031	52.0
10507	53.0
7408	54.0
7305	55.0
1278	56.0
1809	57.0
27289	58.0
256076	59.0
79784	60.0
5786	61.0
4233	62.0
91584	63.0
55740	64.0
6708	65.0
4690	66.0
4684	67.0
1277	68.0
57731	69.0
3672	70.0
4902	71.0
784	72.0
1292	73.0
1400	74.0
5062	75.0
3984	76.0
5879	77.0
1284	78.0
5362	79.0
1286	80.0
2674	81.0
998	82.0
23122	83.0
1285	84.0
3320	85.0
8913	86.0
80728	87.0
5605	88.0
8440	89.0
3985	90.0
375790	91.0
388	92.0
775	93.0
779	94.0
57556	95.0
27	96.0
23332	97.0
9855	98.0
9048	99.0
57522	100.0
971	101.0
8912	102.0
2817	103.0
8482	104.0
55558	105.0
6900	106.0
4637	107.0
2260	108.0
103910	109.0
8851	110.0
2675	111.0
2534	112.0
1299	113.0
5364	114.0
5604	115.0
5216	116.0
3265	117.0
10298	118.0
1463	119.0
5594	120.0
6093	121.0
5623	122.0
1280	123.0
56896	124.0
6710	125.0
782	126.0
1385	127.0
10371	128.0
4893	129.0
54209	130.0
51466	131.0
5880	132.0
7903	133.0
1282	134.0
5217	135.0
3326	136.0
9353	137.0
1293	138.0
778	139.0
10486	140.0
9475	141.0
51332	142.0
6714	143.0
2242	144.0
6709	145.0
2668	146.0
2885	147.0
2932	148.0
4628	149.0
1072	150.0
10487	151.0
10154	152.0
5063	153.0
391	154.0
6654	155.0
3845	156.0
7529	157.0
