# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.66033183
Weighted average F-Measure	0.61256769
Weighted average true positive rate	0.66935484
Weighted average false positive rate	0.60962633
Weighted average sensitivity (recall)	0.66935484
Total number correct	83
Total number incorrect	41
Accuracy	0.66935484
Error rate	0.33064516
Error rate expected by chance	0.31451613
Improvement over error rate expected by chance	-0.01612903
Kappa statistic	0.07226277
Mean absolute error	0.39413354
Mean prior absolute error	0.43228367
Root mean squared error	0.45323115
Root mean prior squared error	0.46433221
Relative absolute error (%)	91.17474674
Root relative squared error (%)	97.60924129
Kononenko & Bratko information score (bits)	8.14564409
Kononenko & Bratko information score (bits / instance)	0.06569068
Kononenko & Bratko relative information score (%)	903.46717273
Class complexity - order (bits)	111.39501066
Class complexity - order (bits / instance)	0.89834686
Class complexity - scheme (bits)	108.69905417
Class complexity - scheme (bits / instance)	0.87660528
Complexity improvement (bits)	2.69595649
Complexity improvement (bits / instance)	0.02174158
