# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.60952381
Weighted average F-Measure	0.63309144
Weighted average true positive rate	0.58974359
Weighted average false positive rate	0.402442
Weighted average sensitivity (recall)	0.58974359
Total number correct	49
Total number incorrect	29
Accuracy	0.62820513
Error rate	0.37179487
Error rate expected by chance	0.19230769
Improvement over error rate expected by chance	-0.17948718
Kappa statistic	0.12421053
Mean absolute error	0.46577931
Mean prior absolute error	0.31538462
Root mean squared error	0.47975415
Root mean prior squared error	0.39418855
Relative absolute error (%)	147.68612143
Root relative squared error (%)	121.70676896
Kononenko & Bratko information score (bits)	-52.84189589
Kononenko & Bratko information score (bits / instance)	-0.6774602
Kononenko & Bratko relative information score (%)	-7319.55111065
Class complexity - order (bits)	55.1103914
Class complexity - order (bits / instance)	0.70654348
Class complexity - scheme (bits)	73.26022739
Class complexity - scheme (bits / instance)	0.93923368
Complexity improvement (bits)	-18.14983599
Complexity improvement (bits / instance)	-0.23269021
