# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
2787	1.0
10488	2.0
2782	3.0
2791	4.0
51764	5.0
2771	6.0
113	7.0
5595	8.0
3760	9.0
9586	10.0
3786	11.0
1137	12.0
64764	13.0
814	14.0
8503	15.0
5568	16.0
5566	17.0
468	18.0
59345	19.0
5594	20.0
1103	21.0
817	22.0
2353	23.0
5578	24.0
108	25.0
90993	26.0
54331	27.0
1129	28.0
5582	29.0
84699	30.0
3708	31.0
2786	32.0
1133	33.0
55970	34.0
5332	35.0
2775	36.0
2770	37.0
2792	38.0
60482	39.0
3784	40.0
2793	41.0
5296	42.0
1143	43.0
5290	44.0
5293	45.0
43	46.0
115	47.0
10000	48.0
1131	49.0
148327	50.0
5604	51.0
5567	52.0
3710	53.0
3265	54.0
816	55.0
1385	56.0
56479	57.0
818	58.0
1132	59.0
2784	60.0
10681	61.0
1136	62.0
196883	63.0
4893	64.0
207	65.0
3759	66.0
2773	67.0
5613	68.0
5294	69.0
5579	70.0
3845	71.0
2785	72.0
23533	73.0
114	74.0
3761	75.0
5291	76.0
775	77.0
112	78.0
5331	79.0
107	80.0
3768	81.0
5330	82.0
8973	83.0
1141	84.0
2783	85.0
3770	86.0
1139	87.0
3763	88.0
109	89.0
3717	90.0
774	91.0
778	92.0
815	93.0
23236	94.0
773	95.0
2767	96.0
779	97.0
2776	98.0
3785	99.0
9132	100.0
208	101.0
111	102.0
2534	103.0
5295	104.0
596	105.0
94235	106.0
1128	107.0
3709	108.0
