# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	56.0
Number instances predicted as [BRCACancer] correctly	23.0
Number instances predicted as [BRCACancer] incorrectly	33.0
Number instances predicted as [Control]	27.0
Number instances predicted as [Control] correctly	11.0
Number instances predicted as [Control] incorrectly	16.0
Proportion instances predicted as [BRCACancer]	0.6746988
Proportion instances predicted as [BRCACancer] correctly	0.41071429
Proportion instances predicted as [BRCACancer] incorrectly	0.58928571
Proportion instances predicted as [Control]	0.3253012
Proportion instances predicted as [Control] correctly	0.40740741
Proportion instances predicted as [Control] incorrectly	0.59259259
Number [BRCACancer] instances predicted correctly	23.0
Number [BRCACancer] instances predicted incorrectly	16.0
Number [Control] instances predicted correctly	11.0
Number [Control] instances predicted incorrectly	33.0
Proportion [BRCACancer] instances predicted correctly	0.58974359
Proportion [BRCACancer] instances predicted incorrectly	0.41025641
Proportion [Control] instances predicted correctly	0.25
Proportion [Control] instances predicted incorrectly	0.75
