# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.3978836
Weighted average F-Measure	0.44524441
Weighted average true positive rate	0.38461538
Weighted average false positive rate	0.65445665
Weighted average sensitivity (recall)	0.38461538
Total number correct	31
Total number incorrect	47
Accuracy	0.3974359
Error rate	0.6025641
Error rate expected by chance	0.19230769
Improvement over error rate expected by chance	-0.41025641
Kappa statistic	-0.15769944
Mean absolute error	0.52769793
Mean prior absolute error	0.31538462
Root mean squared error	0.55546011
Root mean prior squared error	0.39418855
Relative absolute error (%)	167.31885668
Root relative squared error (%)	140.91228731
Kononenko & Bratko information score (bits)	-66.16853372
Kononenko & Bratko information score (bits / instance)	-0.84831453
Kononenko & Bratko relative information score (%)	-9165.52966815
Class complexity - order (bits)	55.1103914
Class complexity - order (bits / instance)	0.70654348
Class complexity - scheme (bits)	93.39926409
Class complexity - scheme (bits / instance)	1.19742646
Complexity improvement (bits)	-38.28887269
Complexity improvement (bits / instance)	-0.49088298
