# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.6021164
Weighted average F-Measure	0.62148604
Weighted average true positive rate	0.57692308
Weighted average false positive rate	0.35470085
Weighted average sensitivity (recall)	0.57692308
Total number correct	44
Total number incorrect	34
Accuracy	0.56410256
Error rate	0.43589744
Error rate expected by chance	0.19230769
Improvement over error rate expected by chance	-0.24358974
Kappa statistic	0.14028056
Mean absolute error	0.49211674
Mean prior absolute error	0.31538462
Root mean squared error	0.51942566
Root mean prior squared error	0.39418855
Relative absolute error (%)	156.03701365
Root relative squared error (%)	131.77086304
Kononenko & Bratko information score (bits)	-57.17798803
Kononenko & Bratko information score (bits / instance)	-0.73305113
Kononenko & Bratko relative information score (%)	-7920.17770711
Class complexity - order (bits)	55.1103914
Class complexity - order (bits / instance)	0.70654348
Class complexity - scheme (bits)	83.97292158
Class complexity - scheme (bits / instance)	1.07657592
Complexity improvement (bits)	-28.86253018
Complexity improvement (bits / instance)	-0.37003244
