@relation thedata

@attribute 10535 real
@attribute 10714 real
@attribute 1763 real
@attribute 2237 real
@attribute 23649 real
@attribute 246243 real
@attribute 29935 real
@attribute 3978 real
@attribute 4171 real
@attribute 4172 real
@attribute 4173 real
@attribute 4174 real
@attribute 4175 real
@attribute 4176 real
@attribute 5111 real
@attribute 54107 real
@attribute 5422 real
@attribute 5424 real
@attribute 5425 real
@attribute 5426 real
@attribute 5427 real
@attribute 5557 real
@attribute 5558 real
@attribute 56655 real
@attribute 57804 real
@attribute 5981 real
@attribute 5982 real
@attribute 5983 real
@attribute 5984 real
@attribute 5985 real
@attribute 6117 real
@attribute 6118 real
@attribute 6119 real
@attribute 6742 real
@attribute 79621 real
@attribute 84153 real
@attribute DependentVariable {BRCA,Control}

@data
7.431374588,7.2083497295,6.8981231695,8.6356430945,9.058425498,11.15845524,6.59544818,8.306085763,8.086681778,10.884339601,8.5947996215,9.155963663,10.54158093,7.993275958,7.30666968733,12.09842044,7.122160823,7.558728975,12.66507944,7.905163024,7.168850407,7.9259666445,5.97561041567,12.18335943,8.824450546,8.7287213215,6.4996565905,6.65416022267,8.8069355085,7.105454747,10.83471386,11.61752958,10.66108355,11.16852814,6.25616681,6.517083235,Control
7.882063906,7.3078710955,6.8766851245,8.8318933355,9.413279443,11.93792927,6.81198833,9.214775128,8.805543271,10.9670802135,9.53925189,9.501827795,10.45125262,9.089962561,7.18042006333,12.28769659,6.409474951,7.88603356,12.99332148,7.56639873,7.041826475,7.9503875055,6.06639047267,11.96427598,8.865378449,8.46553658,6.4959528655,6.803627506,8.3511951665,7.5130075585,10.800436875,11.88379655,10.48441034,11.40257259,6.478329262,6.397294391,BRCA
8.42512265,7.33191487,6.9445841975,9.620597091,9.650235514,11.4871292,6.899994664,9.862320087,10.14873431,11.361670225,10.065924884,10.31119801,11.09109172,9.42760480833,7.63223048933,12.41833894,7.180493836,8.575114814,13.23568448,8.099283532,8.010949209,8.517100268,5.72399821567,11.79461296,8.72987657,8.908217113,7.0004963375,7.26523884267,9.396101263,7.613135391,11.330452225,12.02968073,10.72737618,11.26465094,6.23055429,6.291866548,BRCA
9.027609637,6.472480484,7.4451283935,9.0906394765,10.18060575,11.62683849,7.123296633,9.825110289,10.15416657,10.974153029,9.7613002345,10.38957787,10.85352421,10.2614579577,6.55166353833,12.60891324,7.023923823,9.123553123,13.52549699,8.251862414,7.627900667,8.4986833315,5.36854192167,12.17272761,9.24062507,8.594608411,6.4544177505,6.47039307033,8.859174667,7.7690752125,11.057611095,12.38193096,10.83441597,11.28752498,6.803844148,6.415662027,Control
8.333715684,7.2216641085,6.885292262,9.329909791,9.590110341,12.03158587,6.667115534,8.767556421,9.39316579,10.972083198,9.919961329,9.989394899,10.66574031,8.69428477733,7.35432909133,12.31128435,6.9330908945,7.821010387,12.73729283,7.31664612,7.098298285,8.3791173545,5.95280065933,11.84868564,8.91062109,8.8095545205,7.0312218105,7.072920173,8.74540583,7.403741513,10.93374845,11.96009799,10.45090222,11.55749974,7.362647683,6.888137814,BRCA
7.716066843,7.523174648,6.6341623465,9.476334725,9.225973251,11.25368222,6.578490159,9.430484502,9.344385311,11.3658813,9.3913479745,9.829620128,10.61958751,8.713813284,7.408697217,12.64120964,6.8500213875,8.467973436,12.65702034,8.336909437,7.395150919,8.4061773715,6.237969269,10.82382918,7.992656742,8.81729114,7.138537016,7.68158217733,9.358156732,7.0064152045,11.641461875,11.54965727,9.132050545,10.6829685,6.676243162,6.531424838,BRCA
8.688749592,6.6588492955,7.7532903405,8.2961196055,9.935902096,11.90255517,6.497057936,8.95908991,8.860746456,10.2529778765,9.8864762635,9.718905756,11.31896656,10.761045422,6.44602920733,12.39881323,6.349361739,8.346005182,13.63244094,7.690279365,6.452575359,7.114956815,5.788693131,11.99297383,9.121676695,7.738491062,6.220650197,6.54805513767,7.4871109445,7.0904318015,10.3458464955,12.52245777,10.38702135,10.3818136,7.921396347,7.30433107,BRCA
7.422655866,7.325273656,6.773364932,8.609435701,9.369358036,10.83188538,6.167122676,9.111501597,8.42352683,10.8098750475,8.483937859,9.461746027,10.45750942,8.35263474667,8.02092389867,12.0199261,7.048256226,7.539955806,12.59766508,7.956610113,6.995289824,8.4155051985,6.32473713233,12.10871075,9.20124246,8.303306849,6.9810465865,6.93605146533,9.1247667975,7.5927585855,11.06229666,11.90810746,10.88785292,11.27762466,5.945801539,6.460910954,Control
8.696325232,7.244781381,6.7731098095,9.642109982,9.357783524,11.38201077,6.640032041,9.394248914,10.16944939,11.446472425,9.9714342365,10.12722736,11.10430408,9.039656623,7.82590120133,12.5708958,7.4543940705,8.608200408,13.17297049,8.048106907,7.782983675,9.0643521695,6.02795948867,11.97488965,8.811664588,8.9257842175,7.2222320135,7.65912161233,9.70168359,7.7796863265,11.49735519,11.92126273,10.77226531,11.51195041,7.015919907,6.578942957,BRCA
8.409052632,7.099785483,6.7659262955,8.75940589,9.162543096,11.57041325,6.536368163,9.143141549,8.675799285,10.736889649,9.5799737185,9.648331121,10.32795428,8.80992016633,7.315615812,12.25692522,7.011695558,8.45693048,12.92825655,7.391761545,6.840718531,8.3222045595,5.43016628233,12.17272761,9.25541878,8.7210455935,6.8236640905,6.42676862133,8.509561114,7.4371940695,10.656153568,12.52742331,10.47860813,10.94214079,6.877072814,6.74143707,BRCA
