@relation thedata

@attribute 10411 real
@attribute 10681 real
@attribute 11069 real
@attribute 111 real
@attribute 112 real
@attribute 114 real
@attribute 26251 real
@attribute 2641 real
@attribute 2740 real
@attribute 2770 real
@attribute 2771 real
@attribute 2775 real
@attribute 2778 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 3630 real
@attribute 3708 real
@attribute 3709 real
@attribute 3710 real
@attribute 3745 real
@attribute 3747 real
@attribute 3767 real
@attribute 3790 real
@attribute 51764 real
@attribute 54331 real
@attribute 5566 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 55970 real
@attribute 5906 real
@attribute 5908 real
@attribute 59345 real
@attribute 6616 real
@attribute 6804 real
@attribute 6812 real
@attribute 6833 real
@attribute 6844 real
@attribute 6861 real
@attribute 773 real
@attribute 775 real
@attribute 776 real
@attribute 777 real
@attribute 783 real
@attribute 784 real
@attribute 8826 real
@attribute 9254 real
@attribute 94235 real
@attribute 9495 real
@attribute DependentVariable {BRCA,Control}

@data
9.235386689,6.888464479,7.241175503,6.614529956,10.327292123,5.645450388,5.8304193005,5.006535067,5.651059765,7.1915641815,11.95442182,5.32399731333,8.533866741,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.169936271,10.99802289,9.844635599,11.35799469,9.199452197,5.35666533467,5.261729425,7.3458626735,5.232287804,9.177283189,6.36946717,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,10.1038422,7.005431822,6.582741757,7.4230773135,6.78737685,6.586768964,7.410489684,7.354780789,10.05577764,5.354567863,5.584807399,7.11619091,5.857677033,5.135464327,5.3368584114,9.864136271,9.638590278,6.4084029945,5.641987591,5.51286784,Control
8.739072693,7.24025073833,6.635395722,5.841225451,10.2384186075,5.65593226,5.521001402,5.663779561,5.394043544,6.0573658185,11.95691889,5.80333317067,8.84345400733,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.773212576,10.75503384,9.525335383,12.08864757,8.555107826,5.26574968367,5.648473532,7.450467363,5.31868854,7.381134364,6.0929297895,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,9.681370693,6.434568757,6.355006684,8.3643319965,6.609192948,6.975192016,7.18529977367,7.397078021,10.58383522,5.309804873,5.792651171,6.780445033,6.190817922,5.926302666,5.5997153768,10.03404273,10.06753558,6.3285160135,5.277995204,5.291687581,BRCA
8.061480724,6.84021840933,6.918270314,6.323194968,9.769915947,6.0290173,5.3193077685,5.862458365,5.539167536,5.457103785,11.84327345,5.697396068,9.29076107,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,5.870864797,11.137683,10.74066222,12.01135666,7.158006546,4.811665929,5.485435883,7.802053703,5.206732344,6.36768175,5.9034588485,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,9.362086899,6.699751273,6.466000385,7.196995946,7.114893166,7.081033649,6.48546311533,7.545024544,10.30762238,5.496822826,5.7152048405,6.671085011,6.360369215,5.210828387,5.5487285326,10.64948099,9.809000815,6.69622707,5.72110688,5.751484642,BRCA
9.674898929,6.610917172,5.903768142,6.331145921,10.3820872935,5.876032641,5.468042825,5.646026713,5.03343539,5.725019338,11.56304622,5.12699757367,8.629147321,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,5.793122872,10.00164081,9.439182162,11.97218475,8.727955437,4.81166389233,6.114997467,6.3817998255,4.790526167,4.851263383,6.323322532,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,7.986995525,5.6556447465,6.3700012095,6.7231615275,8.223815268,7.715191761,6.57239004733,9.99314401,10.51475871,5.134643221,5.8742058665,6.621982704,6.966479856,4.645326303,5.542221699,10.47438056,9.305851495,6.642795088,5.842043069,5.259471408,Control
7.997322226,6.84786461333,6.64810992,5.680472929,9.671974648,5.824138541,5.3608415355,5.421401099,5.218210843,6.8901006515,12.12850358,5.43099958733,9.35589447533,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,5.536217098,10.864964,9.689574849,11.58766984,7.436713884,4.75630398567,5.580832327,8.0653889735,4.850263431,7.573687183,6.52394041,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,9.546605663,6.4308542,6.499527711,9.010303599,7.3756054295,6.458370212,6.82339386,6.751447402,10.6829685,5.771100681,5.812614186,6.262194115,6.091970181,4.940179966,5.3915724186,9.820243246,10.42552569,6.5955976525,5.615159695,5.575169544,BRCA
8.241317194,6.695170111,6.912892703,6.872247394,9.753034207,6.352798794,5.9299836535,5.614718124,5.357033992,6.5536864175,11.63993091,5.06825095367,9.078168623,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.73607124,11.45443311,9.814991395,12.06588572,7.746952815,5.063180499,6.010897998,8.181390762,5.178725843,8.547261958,5.9174340255,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,11.06412655,7.3002942325,6.8410633585,7.9243325035,6.477823674,6.86505622,7.517797043,7.622731127,9.907754874,5.036295892,4.8024680715,6.244178877,5.840847932,5.066316611,5.1447686846,9.840207941,10.7254091,6.3549356545,5.093825554,5.719464975,BRCA
9.018235741,7.252915346,5.946152572,5.057462456,9.1297731835,5.779661087,5.4986208805,5.319230665,5.544509535,5.366277458,11.48011881,5.72716198833,8.46320594233,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,5.705709271,9.557684409,7.511675823,12.23463043,8.795261354,5.91541417267,5.540408023,6.666869391,4.959319531,6.049582442,6.330484187,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,9.132211242,7.2132301705,7.062352436,8.7523926965,8.418540522,6.698639127,6.31398031067,10.26424938,9.785085055,4.920902135,5.83224047,6.679695168,7.11691865,5.105815554,5.2238573746,10.87936138,9.083067818,7.0119988995,5.486079796,5.114586962,BRCA
7.568927286,6.439102376,7.211745052,6.091811548,9.643814388,5.862458365,5.731165932,5.632130956,5.796890531,6.2928801065,11.95442182,5.32302536333,8.875123686,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,5.451879748,10.66388964,9.583290187,11.37383049,6.764676316,5.44528943267,5.388371455,7.697436341,5.229406468,8.11035427,5.9718598575,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,10.18190731,6.7375606535,6.2456860685,7.0132000305,6.8454990825,6.560413565,7.00778646933,8.376419679,10.28801852,5.593212758,5.67851949,6.842353879,6.444274162,5.409145868,5.5835800438,10.26782285,9.918028798,6.497368881,5.42266296,5.290029217,Control
8.057817296,6.907508702,7.451110377,6.099511534,9.557649091,5.813403636,5.3469146595,5.894703343,5.469406774,6.2675959045,11.46383867,5.793978829,9.29028807333,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,5.541182786,10.78521972,10.67301333,11.74966846,6.949946687,5.30316465067,6.124695819,7.86465928,5.411944154,6.738839176,6.3825279205,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,9.085353696,6.6237057305,6.516538676,7.2793614545,7.2681816375,6.832007438,6.956630158,8.463423345,10.82820416,4.314057196,5.8641492925,6.535201976,6.015254046,5.427950757,5.4135094614,10.02337358,10.28837619,6.4613233895,5.104977394,5.529517425,BRCA
8.457730865,6.995387545,6.356941039,6.072647808,10.0619138165,5.659004925,5.9332104895,5.308713308,5.163308771,6.489380715,11.67867508,5.527496062,8.55731348,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,5.233822166,11.44285036,9.67905828,11.77144213,9.047881282,5.493173752,5.476390801,7.4389758455,4.607083101,7.211063618,6.3457281585,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,8.350852048,6.458550254,6.496219087,7.9356885615,6.8123894965,6.971661738,6.571316384,8.043247602,10.65531183,5.71081418,5.2712024945,6.666902575,6.271748387,5.32446073,5.3116906826,10.02260748,9.733392952,7.036744875,5.034976365,5.353156751,BRCA
