Feature	Mean Rank
3551	1.3
7133	6.7
5443	8.9
1375	9.1
7186	10.3
948	11.2
23205	14.2
8517	14.4
84254	15.0
7124	15.9
5602	17.8
6258	18.7
4790	18.9
2181	19.0
3953	19.4
9370	19.7
181	20.7
5465	23.4
81616	23.4
6257	24.3
5601	24.6
1374	25.5
4792	28.1
6517	28.9
6794	29.0
2180	29.2
207	29.8
5106	30.4
6513	31.1
10891	32.3
10645	32.8
5105	33.2
5563	33.8
8660	34.1
9021	34.3
2538	34.9
5599	35.5
23305	35.6
3717	36.6
3952	39.3
51703	39.6
51422	40.1
7132	40.1
8717	43.4
4793	43.7
126129	43.8
32	44.1
53632	45.1
1147	45.6
57818	45.7
208	46.3
4852	46.7
4794	47.6
2182	49.3
5571	50.9
6774	51.7
8471	51.8
5564	52.2
10000	52.2
5970	52.8
79602	53.6
6256	56.5
51094	56.5
3667	57.7
5588	59.3
5565	59.6
2475	62.4
5781	62.4
5562	63.0
