Feature	Mean Rank
23624	2.3
5747	3.2
8218	6.2
9564	9.6
1399	9.6
8503	10.1
1785	11.6
10093	14.2
859	14.4
10163	15.3
858	16.3
5296	16.5
5290	16.7
999	19.2
79658	19.3
4233	19.4
857	21.2
23533	22.0
5291	22.9
60	23.1
10059	23.2
23607	24.8
867	25.5
71	25.7
5879	27.5
5293	28.7
1398	29.3
10459	30.9
10092	32.4
5294	32.7
1759	32.8
10552	34.5
26052	35.2
7454	36.5
391	37.4
1499	39.5
1212	40.8
3611	43.5
653888	44.3
387	45.1
1211	45.9
3678	46.5
3688	46.5
81873	46.8
2335	46.9
2017	47.1
10095	47.3
7414	47.7
1731	48.3
53358	48.4
29119	48.6
8976	49.1
399694	49.2
998	50.2
26084	50.4
6464	50.8
10094	51.1
5295	51.1
1496	51.3
25759	51.9
6714	52.3
9844	52.6
3059	53.7
1793	53.9
1213	53.9
5829	54.2
8936	54.5
868	58.1
2549	58.9
10109	62.7
1495	62.7
