Feature	Mean Rank
3551	2.5
8503	4.4
1027	6.4
23624	6.7
1869	6.8
5605	8.4
1029	10.7
1399	12.2
4193	12.9
2122	14.7
25	15.8
7042	16.0
5293	16.6
23533	17.1
4790	18.7
8517	20.2
25759	20.8
5290	21.0
7046	21.3
595	21.9
6654	23.9
4792	24.6
6777	25.2
1026	25.6
6464	28.0
5604	28.1
861	28.5
4609	31.7
207	32.1
10000	32.2
1398	32.6
613	33.6
5970	34.6
4088	36.4
5594	39.4
1019	39.6
9846	40.1
3845	40.1
868	41.5
1147	42.9
3066	44.2
369	44.5
3265	44.6
3065	44.9
399694	46.0
5294	46.8
53358	47.8
4893	48.0
7043	49.2
572	49.6
673	50.5
7048	50.6
598	50.7
5291	51.9
5296	52.5
6776	54.5
5894	54.7
1871	54.8
2885	55.3
5295	56.1
1870	56.3
7157	56.4
7040	56.5
1487	57.2
867	57.8
4089	57.8
5781	60.0
5925	60.4
208	60.6
1488	60.8
1021	61.0
5595	61.1
6655	62.1
