Feature	Mean Rank
1445	1.0
58494	2.6
3551	2.9
3579	5.5
534	9.6
8517	10.7
535	12.0
5602	12.7
23545	13.0
3577	13.1
9114	14.1
28964	15.0
127124	17.2
528	18.5
50617	20.5
1432	22.3
51382	22.7
5601	23.5
5970	24.1
51606	24.7
3725	25.7
4792	26.4
527	27.4
5058	28.0
5336	28.0
533	29.1
6868	29.4
6300	30.4
4233	31.7
2919	31.9
4790	32.7
10312	32.9
4067	34.1
6352	34.5
155066	34.7
3576	36.1
245973	36.2
6416	37.3
5803	38.0
5335	38.1
5879	42.8
529	44.0
245972	44.3
83700	44.4
6714	44.4
523	44.7
90423	45.0
537	47.1
10392	47.3
7082	48.0
150084	48.6
5603	49.3
526	49.4
5599	49.7
9020	50.2
102	51.0
998	51.9
1956	52.3
1839	52.5
836	54.0
8992	54.0
1147	54.7
525	54.8
5600	54.9
5781	56.4
50848	58.2
9296	60.3
9550	63.5
