Feature	Mean Rank
4121	6.6
821	7.3
1388	11.4
6184	11.7
80331	13.3
80700	14.1
578	14.7
51128	14.8
27102	15.0
143630	15.2
6238	16.4
10905	18.3
7353	19.6
3326	20.0
573	20.7
3703	21.0
5602	24.5
267	26.0
23640	26.9
51619	28.8
22926	30.2
10484	30.2
285126	30.5
26232	31.5
3300	31.9
3309	32.1
10970	36.1
50613	36.3
10525	36.8
9978	37.1
27248	37.5
56681	37.7
823	37.9
3306	38.7
56886	39.2
1409	39.3
5611	41.7
3310	44.2
51726	44.2
824	45.1
7327	48.6
9373	49.9
79748	51.3
1649	51.4
468	55.4
118424	56.2
23471	57.0
9451	59.3
811	59.4
1410	59.9
6747	62.4
7184	63.3
9871	63.5
80267	63.6
56893	64.0
3312	64.6
84447	65.8
7991	66.3
2081	66.3
64215	67.5
6048	68.9
51009	69.3
81567	69.9
7186	70.4
1603	70.7
1650	70.7
23193	70.8
10952	72.0
10477	73.1
5071	75.6
5034	75.9
54431	76.2
5601	76.5
51360	77.3
3998	77.8
7325	79.5
55757	80.0
10134	80.5
4780	80.5
91319	81.6
26270	83.8
1965	83.8
10130	84.7
10299	86.0
10960	86.4
5599	87.3
29927	89.3
7494	90.4
23480	90.6
64374	90.7
7324	91.5
10961	91.6
2923	92.1
10808	92.5
51465	92.7
10483	95.8
6745	96.4
7323	97.0
30001	99.7
55176	99.8
10802	102.3
596	103.0
581	103.4
3337	103.4
6500	104.2
3305	105.1
55666	105.7
23645	107.0
22824	109.0
201595	109.1
92552	110.6
29978	111.0
9632	111.6
11253	111.7
10113	112.3
8720	113.0
85479	113.1
55768	114.5
10294	115.1
9695	115.4
7326	115.7
7321	117.1
5589	117.8
10956	118.5
25956	119.2
3320	119.4
9709	119.8
3301	120.7
4217	121.7
3304	121.7
57134	122.1
7841	122.5
8454	122.5
9601	122.7
6400	122.8
55829	123.2
7095	125.0
54788	125.1
55432	125.2
11231	127.2
3303	127.7
6746	127.8
5609	128.2
7466	128.7
7322	130.1
55741	131.2
5887	131.3
56605	131.4
79139	134.0
10277	134.9
7415	135.3
10427	136.8
5886	137.5
55968	137.8
22872	138.7
10273	138.7
4287	140.8
29979	140.8
6748	142.8
6185	143.3
440275	146.4
5610	148.9
