Feature	Mean Rank
9641	2.2
3441	6.1
3551	6.4
8503	6.9
3663	9.2
5605	10.1
51284	12.7
7187	13.5
3593	15.4
4790	15.7
23643	16.8
5602	17.0
1432	17.2
5293	19.3
3569	19.7
3442	21.3
3452	23.3
7189	24.9
3443	26.0
5604	27.5
51135	29.7
941	30.2
5879	31.1
8517	32.0
23533	32.2
5606	32.9
54106	33.6
7098	34.1
5594	34.9
7099	35.6
3449	37.3
1326	38.9
6352	38.9
1147	39.5
3456	40.8
3654	41.5
5295	41.7
23118	42.7
7096	43.9
207	43.9
3451	44.8
4615	48.6
10454	49.6
7100	49.7
5601	51.3
8737	52.1
841	52.7
3576	53.0
5609	53.2
3446	54.1
5608	54.3
5290	54.6
6300	55.4
4792	55.9
3661	57.4
6696	57.9
3444	58.1
5603	58.9
5296	59.6
3725	60.2
3627	61.3
958	61.3
3454	61.5
7124	62.8
1513	63.4
5599	64.2
6373	64.4
148022	64.5
6351	65.4
3665	66.0
3445	67.5
3592	68.7
6772	69.7
10333	69.9
5595	70.0
6348	70.5
114609	71.5
5291	71.7
3448	71.8
54472	72.0
3439	72.8
6885	73.7
3447	74.3
5970	75.8
942	75.9
208	77.6
10000	78.5
3553	78.8
2353	79.4
4283	81.1
7097	81.1
929	81.8
6416	81.8
5600	82.3
353376	82.5
8772	83.1
51311	85.4
3929	85.9
3455	87.2
5294	87.4
3440	88.7
29110	91.8
