Feature	Mean Rank
5568	3.5
535	5.0
2778	8.2
5336	8.8
23545	10.0
5567	10.2
127124	10.6
11015	11.0
55176	12.7
533	13.2
11014	15.4
9114	16.5
3784	16.5
5613	17.4
90423	17.7
534	19.8
51382	20.0
71	21.5
5566	22.0
51606	22.3
10945	22.4
7082	24.0
245973	24.3
8992	25.0
60	25.3
4583	27.0
10312	27.0
30001	27.6
9414	28.4
529	28.5
10952	28.6
50617	29.3
527	30.6
9296	31.0
5578	31.2
155066	31.6
375	31.9
5579	34.0
528	34.8
23480	36.5
526	39.4
537	40.4
9601	40.5
5335	43.1
29927	43.2
115	43.4
6558	43.7
5582	43.9
525	44.3
1080	46.1
109	47.0
523	48.8
245972	49.1
9550	50.8
