Feature	Mean Rank
991	3.4
10213	6.5
51433	6.6
5714	8.4
29882	9.5
983	10.2
5696	11.2
996	11.7
5684	12.9
10197	15.6
5691	17.8
7324	18.0
5689	18.0
9491	21.8
5721	21.8
701	22.2
4085	22.3
51529	22.6
5707	23.1
10393	24.1
11065	24.2
5711	26.0
8697	26.4
7321	26.7
5709	27.8
5682	29.3
7314	29.4
5718	30.0
5720	30.6
5685	32.8
8881	33.7
8900	34.6
5694	35.2
5702	35.5
5692	35.7
5710	35.9
5719	36.4
5704	37.2
64682	37.5
5715	38.2
5695	38.2
5717	38.7
5701	39.5
5699	39.6
9861	40.9
5698	41.1
5706	41.2
5687	43.4
51434	43.6
5683	44.3
5686	45.2
5693	45.6
246184	46.8
5716	47.5
5713	47.9
5708	49.8
890	50.6
5688	51.8
5705	52.2
9184	52.2
5700	53.6
5690	54.7
29945	56.8
