Feature	Mean Rank
2068	3.5
7508	4.6
902	5.6
4331	7.8
2073	8.2
5429	8.6
57697	12.4
2074	16.7
2187	16.7
3014	16.9
4350	16.9
5893	18.0
2071	19.1
2178	19.6
1642	20.4
5424	20.9
5982	21.0
6117	25.3
5439	26.4
2966	27.0
10459	27.2
10714	29.0
672	29.3
3978	29.4
6119	29.9
7398	30.0
2072	31.9
2175	32.3
472	32.4
328	33.2
5985	33.5
5591	34.9
5980	36.2
545	37.6
5425	37.6
2237	38.6
5426	38.7
7158	41.0
27033	41.0
5423	41.4
5983	41.8
5430	42.8
4361	44.0
4913	44.3
3981	45.5
5427	47.9
5441	48.1
1022	48.6
7507	50.4
5433	50.5
2547	51.5
221120	53.7
121642	56.6
9656	56.6
56949	56.7
6118	58.7
23583	61.7
51455	61.9
5888	62.4
7518	64.2
55775	64.3
2965	64.6
5984	64.7
4968	64.7
5432	65.4
2188	65.8
80233	66.4
55120	67.1
5435	67.1
10111	67.5
5431	68.6
2176	69.7
5437	72.1
2067	72.3
675	73.2
5436	74.1
5981	74.7
2177	74.9
2967	75.3
1643	76.3
5440	76.8
79728	77.1
91442	77.3
2968	78.9
1161	79.0
29089	79.1
6917	79.5
7515	79.7
7520	80.3
7314	80.4
5887	80.7
55215	81.0
8930	84.7
5111	84.8
6996	86.5
10309	86.6
4595	86.8
2189	88.0
4683	88.3
5438	90.4
3980	90.6
57804	90.8
4255	91.3
