Feature	Mean Rank
54578	4.5
10941	6.3
2940	6.6
54576	7.4
10249	7.4
2937	8.4
4837	10.5
7367	12.0
7363	12.5
4259	12.8
6820	13.6
27284	16.4
4258	16.5
221357	17.2
54657	17.2
9	17.2
7364	20.0
116285	20.1
4257	20.4
6818	20.9
27430	24.8
10720	26.8
2941	26.9
7358	27.8
23169	28.7
54658	28.8
4144	29.1
2944	30.1
54490	34.3
6799	34.9
2949	34.9
2938	35.0
2948	37.3
7366	37.5
9446	38.3
27233	39.3
10	39.7
2730	40.0
6822	40.1
6783	40.6
119391	40.8
348158	40.9
54600	41.0
445329	41.6
54579	41.6
6817	41.7
25830	42.6
7360	42.7
54577	42.7
54659	43.2
6819	44.1
2939	44.5
7172	44.7
7365	45.0
1312	46.0
4548	47.9
2950	48.4
191	48.4
4143	49.0
2729	50.4
