Feature	Mean Rank
5578	1.0
115111	2.0
483	3.0
109	4.0
477	5.0
196883	6.0
2771	7.0
3759	8.0
478	9.0
54207	10.0
5332	11.0
23439	12.0
482	13.0
6548	14.0
60	15.0
3784	16.0
5567	17.0
5568	18.0
6750	19.0
3772	20.0
114	21.0
9992	22.0
85366	23.0
113	24.0
760	25.0
51806	26.0
3766	27.0
3773	28.0
818	29.0
5613	30.0
2770	31.0
7430	32.0
5330	33.0
496	34.0
5566	35.0
1080	36.0
816	37.0
2520	38.0
808	39.0
3709	40.0
107	41.0
5331	42.0
3274	43.0
111	44.0
480	45.0
1131	46.0
23236	47.0
6752	48.0
115	49.0
163688	50.0
2773	51.0
3710	52.0
3758	53.0
887	54.0
4638	55.0
801	56.0
389015	57.0
805	58.0
5582	59.0
6522	60.0
817	61.0
815	62.0
3708	63.0
3776	64.0
2776	65.0
495	66.0
2778	67.0
91807	68.0
476	69.0
108	70.0
481	71.0
5579	72.0
810	73.0
112	74.0
