Feature	Mean Rank
27018	1.0
221472	2.0
84033	3.0
7074	4.0
9181	5.0
10276	6.0
836	7.0
8878	8.0
23263	9.0
7314	10.0
51107	11.0
9459	12.0
572	13.0
9828	14.0
1894	15.0
23365	16.0
835	17.0
4804	18.0
10451	19.0
26230	20.0
5599	21.0
57449	22.0
6655	23.0
5663	24.0
5924	25.0
4803	26.0
393	27.0
7531	28.0
83464	29.0
55851	30.0
64857	31.0
26574	32.0
50650	33.0
23385	34.0
121512	35.0
5664	36.0
2245	37.0
50649	38.0
23421	39.0
4168	40.0
8997	41.0
10018	42.0
5879	43.0
6654	44.0
7204	45.0
7410	46.0
8874	47.0
27237	48.0
89846	49.0
57580	50.0
9826	51.0
7189	52.0
5923	53.0
7409	54.0
6453	55.0
23229	56.0
11214	57.0
25791	58.0
29	59.0
23370	60.0
9500	61.0
