Feature	Mean Rank
2335	1.0
3687	2.0
3384	3.0
3684	4.0
3689	5.0
3381	6.0
3655	7.0
2266	8.0
54518	9.0
5906	10.0
8516	11.0
3680	12.0
8174	13.0
3674	14.0
1287	15.0
1277	16.0
3386	17.0
7094	18.0
10235	19.0
3682	20.0
999	21.0
3908	22.0
3913	23.0
3383	24.0
5175	25.0
2244	26.0
3690	27.0
7057	28.0
5747	29.0
6696	30.0
3371	31.0
284217	32.0
3676	33.0
3696	34.0
5770	35.0
3694	36.0
682	37.0
3672	38.0
3695	39.0
1282	40.0
83700	41.0
1398	42.0
3685	43.0
3691	44.0
3683	45.0
3688	46.0
1284	47.0
3679	48.0
7448	49.0
3915	50.0
58494	51.0
50848	52.0
22801	53.0
5908	54.0
2885	55.0
7450	56.0
2200	57.0
6714	58.0
3693	59.0
1445	60.0
3681	61.0
1286	62.0
3678	63.0
6654	64.0
1285	65.0
7412	66.0
2243	67.0
120425	68.0
1280	69.0
10411	70.0
3911	71.0
3385	72.0
10319	73.0
3675	74.0
3912	75.0
25780	76.0
1278	77.0
8515	78.0
11069	79.0
9564	80.0
3673	81.0
