	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs	NumControlNonMut	NumControlMut	NumCancerNonMut	NumCancerMut	Utah Exome 24vs35	Rank.p.value	Rank.p.value
Byers_EMT	0.7325175	0.8247768	0.6971342	0.7190476	0.8	0.9305556	0.001	0.001	0.001	0.001	0.02	0.002	13	3	12	7	0.148268988981226	0.00890275207668796	0.000836524000061325
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.6491841	0.5323661	0.6775264	0.6349206	0.88	0.9027778	0.005	0.341	0.001	0.026	0.007	0.007	10	6	8	11	0.147932154308396	0.207798853044756	0.00127182522115131
KEGG_SMALL_CELL_LUNG_CANCER	0.77331	0.7059152	0.7312217	0.681746	0.7866667	0.8888889	0.001	0.004	0.001	0.007	0.03	0.003	13	3	11	8	0.0901649534073515	0.0047209390347451	0.00136110894280026
REACTOME_SIGNALLING_BY_NGF	0.6754079	0.655692	0.6959276	0.6634921	0.8266667	0.7916667	0.005	0.023	0.002	0.01	0.015	0.032	9	7	5	14	0.0453526918382686	0.0176686779260742	0.0015650438741067
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.6083916	0.6590402	0.6374057	0.6595238	0.8133333	0.8611111	0.056	0.016	0.01	0.008	0.019	0.006	14	2	13	6	0.105263382096473	0.0764428426958804	0.00309750310338435
BIOCARTA_BCR_PATHWAY	0.7097902	0.7790179	0.7215686	0.6825397	0.8	0.8611111	0.001	0.002	0.001	0.003	0.035	0.009	16	0	17	2	0.126223639753789	0.00605587170212614	0.00317624858004664
KEGG_GLIOMA	0.6182984	0.7075893	0.7031674	0.6706349	0.84	0.6388889	0.025	0.002	0.001	0.011	0.019	0.196	12	4	8	11	0.0348849651021161	0.0235422541264964	0.00335677826849851
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.7537879	0.6808036	0.7402715	0.6277778	0.7733333	0.8611111	0.001	0.013	0.001	0.037	0.038	0.007	14	2	11	8	0.0348849651021161	0.00409254953915102	0.00379704437739759
KEGG_INSULIN_SIGNALING_PATHWAY	0.7441725	0.5669643	0.7248869	0.6095238	0.7866667	0.8472222	0.001	0.185	0.001	0.059	0.033	0.012	13	3	10	9	0.0524138015180882	0.0292160410527687	0.00556224946913849
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.6491841	0.5491071	0.6669683	0.6515873	0.8533333	0.75	0.012	0.257	0.001	0.014	0.01	0.051	9	7	8	11	0.29901718256548	0.328828677775467	0.00581997779674893
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.673951	0.7053571	0.7170437	0.6690476	0.8	0.6111111	0.003	0.002	0.001	0.008	0.026	0.249	12	4	8	11	0.0348849651021161	0.00644829464318055	0.00633572161903201
BIOCARTA_GH_PATHWAY	0.5413753	0.6808036	0.6328808	0.6444444	0.8	0.8194444	0.262	0.008	0.009	0.025	0.025	0.019	15	1	13	6	0.0390891932362208	0.0932197443996418	0.00728013010353926
KEGG_ERBB_SIGNALING_PATHWAY	0.724359	0.6651786	0.6932127	0.6384921	0.7466667	0.7777778	0.001	0.015	0.001	0.023	0.056	0.03	14	2	10	9	0.015925586037332	0.00398767271713454	0.00779775048425905
REACTOME_SIGNALING_IN_IMMUNE_SYSTEM	0.7342657	0.6227679	0.8021116	0.5857143	0.8	0.7638889	0.001	0.059	0.001	0.122	0.027	0.037	11	5	4	15	0.00345424028705654	0.00819566707034969	0.00873616674742166
BIOCARTA_CSK_PATHWAY	0.7331002	0.5904018	0.6742081	0.5984127	0.8266667	0.9444444	0.001	0.12	0.002	0.084	0.018	0.001	16	0	19	0	NA	0.0771525312493117	0.00916930367732273
REACTOME_G2_M_TRANSITION	0.7007576	0.5770089	0.7191554	0.5801587	0.8266667	0.7222222	0.002	0.155	0.001	0.131	0.018	0.068	16	0	16	3	0.0584014564040313	0.040181642285885	0.00953563005068366
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.6649184	0.6082589	0.678733	0.7079365	0.6933333	0.75	0.003	0.076	0.001	0.002	0.096	0.046	12	4	7	12	0.0135563277433403	0.0225028110094239	0.00979213483857843
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.7162005	0.6071429	0.8422323	0.5587302	0.8266667	0.8194444	0.001	0.084	0.001	0.211	0.013	0.019	16	0	17	2	0.126223639753789	0.0257889526504326	0.0111409073365429
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.6410256	0.5401786	0.7028658	0.5928571	0.8133333	0.7361111	0.018	0.316	0.001	0.086	0.024	0.059	14	2	13	6	0.105263382096473	0.219197561836623	0.0111415115745089
REACTOME_TRANSLATION	0.7156177	0.390625	0.7285068	0.5753968	0.7866667	0.8055556	0.002	0.946	0.001	0.143	0.026	0.027	15	1	14	5	0.0878934421477746	0.282588835253429	0.0122801521192872
KEGG_PROSTATE_CANCER	0.6340326	0.7159598	0.7324284	0.584127	0.8	0.75	0.015	0.001	0.001	0.119	0.024	0.056	10	6	7	12	0.0901649534073515	0.0243526477246941	0.0128649046745879
REACTOME_HEMOSTASIS	0.6620047	0.6467634	0.6838612	0.6246032	0.7866667	0.7083333	0.003	0.038	0.001	0.042	0.032	0.085	5	11	2	17	0.0901649532008874	0.021791121407655	0.0128695187977011
REACTOME_TRKA_SIGNALLING_FROM_THE_PLASMA_MEMBRANE	0.6532634	0.6049107	0.66727	0.5992063	0.7866667	0.7777778	0.006	0.103	0.003	0.073	0.027	0.041	13	3	9	10	0.0238455707066118	0.0439189369643476	0.0129301520357536
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.6526807	0.4888393	0.6742081	0.6539683	0.8	0.8055556	0.008	0.576	0.001	0.017	0.025	0.021	12	4	13	6	0.392434653256401	0.566345552128877	0.0133254470225385
KEGG_ECM_RECEPTOR_INTERACTION	0.7791375	0.6194196	0.7315234	0.6134921	0.7866667	0.8611111	0.001	0.066	0.001	0.045	0.026	0.004	12	4	13	6	0.392434653256401	0.0935889389710116	0.0142023597001594
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.6299534	0.7929688	0.6325792	0.7015873	0.7466667	0.8888889	0.017	0.001	0.012	0.001	0.062	0.007	13	3	10	9	0.0524138015180882	0.0205964131056155	0.0149231049752535
BIOCARTA_FCER1_PATHWAY	0.722028	0.5345982	0.6582202	0.6309524	0.76	0.7777778	0.001	0.336	0.003	0.029	0.045	0.021	16	0	16	3	0.0584014564040313	0.0576556553651148	0.0152904545055654
BIOCARTA_TNFR1_PATHWAY	0.7138695	0.5959821	0.6850679	0.631746	0.8	0.5833333	0.001	0.094	0.001	0.03	0.02	0.295	13	3	12	7	0.148268988981226	0.0390057690158663	0.0165150487600276
KEGG_ENDOMETRIAL_CANCER	0.6590909	0.6227679	0.6705882	0.6472222	0.84	0.5555556	0.005	0.047	0.003	0.02	0.013	0.397	14	2	13	6	0.105263382096473	0.03647475232977	0.0165872054259508
REACTOME_CREB_PHOPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	0.6733683	0.6383929	0.6262443	0.6333333	0.8	0.9444444	0.001	0.037	0.015	0.033	0.02	0.004	16	0	19	0	NA	0.030835358446095	0.0180271642327234
BIOCARTA_HCMV_PATHWAY	0.636655	0.5602679	0.6621418	0.6190476	0.8	0.9027778	0.019	0.212	0.005	0.046	0.023	0.006	15	1	16	3	0.299008846014946	0.321409064341378	0.018098032520743
KEGG_ACUTE_MYELOID_LEUKEMIA	0.6672494	0.6227679	0.6564103	0.5753968	0.8	0.875	0.009	0.057	0.003	0.135	0.032	0.004	14	2	12	7	0.0594865497958512	0.0434950212067475	0.0182699460465018
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	0.7039627	0.5424107	0.6684766	0.6484127	0.8	0.8333333	0.003	0.281	0.003	0.015	0.031	0.014	16	0	19	0	NA	0.26195156703704	0.0183160823131973
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.6515152	0.671875	0.6238311	0.5992063	0.8	0.8333333	0.013	0.015	0.012	0.086	0.022	0.008	16	0	17	2	0.126223639753789	0.0424023186659488	0.019489891006452
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.6555944	0.6104911	0.7173454	0.5468254	0.8666667	0.6527778	0.005	0.073	0.001	0.252	0.012	0.152	14	2	9	10	0.00964963011801259	0.0278415617886165	0.0200352425977434
KEGG_OSTEOCLAST_DIFFERENTIATION	0.5562354	0.6121652	0.6624434	0.652381	0.76	0.7777778	0.176	0.074	0.003	0.015	0.054	0.035	8	8	5	14	0.091852837816429	0.208825160713143	0.0206174814720412
KEGG_CHOLINERGIC_SYNAPSE	0.6177156	0.5970982	0.7472097	0.5849206	0.7466667	0.8194444	0.033	0.103	0.001	0.121	0.065	0.014	13	3	9	10	0.0238455707066118	0.0958396607397836	0.0211827920296564
REACTOME_FORMATION_OF_PLATELET_PLUG	0.6684149	0.6283482	0.6932127	0.6480159	0.8	0.7222222	0.002	0.058	0.001	0.014	0.031	0.066	8	8	7	12	0.29901718256548	0.081852139600738	0.0214967401944027
KEGG_FOCAL_ADHESION	0.743007	0.7131696	0.7211161	0.6071429	0.84	0.5972222	0.001	0.004	0.001	0.064	0.015	0.281	8	8	6	13	0.157939692532524	0.0105373527052625	0.0216286145780301
REACTOME_TRANSCRIPTION	0.7191142	0.5758929	0.7176471	0.6222222	0.8266667	0.7083333	0.001	0.175	0.001	0.04	0.014	0.09	7	9	7	12	0.392434653256403	0.165581124444454	0.0229457180884323
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.6430653	0.5558036	0.6555053	0.5992063	0.8533333	0.7638889	0.015	0.236	0.005	0.08	0.013	0.049	14	2	14	5	0.230558918839363	0.240602275139195	0.0231913733843528
KEGG_SALIVARY_SECRETION	0.6806527	0.5122768	0.6208145	0.6174603	0.8	0.9305556	0.004	0.449	0.012	0.04	0.021	0.002	11	5	11	8	0.325413189767125	0.382095623906236	0.024910287030371
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.539627	0.7282366	0.4778281	0.6801587	0.88	0.9722222	0.305	0.003	0.647	0.009	0.005	0.001	16	0	18	1	0.283260628088936	0.208619067148077	0.0250336990839665
REACTOME_DIABETES_PATHWAYS	0.6783217	0.53125	0.6817496	0.6329365	0.7733333	0.7916667	0.005	0.345	0.001	0.028	0.036	0.025	5	11	4	15	0.313773871607354	0.337862041676125	0.025414214082806
BIOCARTA_HIVNEF_PATHWAY	0.7791375	0.5340402	0.7375566	0.5920635	0.8133333	0.6666667	0.001	0.339	0.001	0.102	0.02	0.137	11	5	10	9	0.230558918839363	0.120132716647757	0.0255748395081524
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.7261072	0.4715402	0.7168929	0.6230159	0.72	0.7777778	0.001	0.662	0.001	0.029	0.084	0.033	15	1	15	4	0.147932152047134	0.200263678235419	0.0282410494472122
SIG_CHEMOTAXIS	0.6806527	0.5396205	0.6657617	0.5865079	0.8	0.7083333	0.002	0.291	0.003	0.121	0.026	0.087	15	1	13	6	0.0390891932362208	0.0668982766571134	0.0295768294659102
BIOCARTA_STRESS_PATHWAY	0.7016317	0.6863839	0.6392157	0.6809524	0.8266667	0.5416667	0.001	0.004	0.006	0.004	0.02	0.416	15	1	15	4	0.147932152047134	0.00882527066616908	0.0301116123020606
KEGG_ALZHEIMERS_DISEASE	0.6311189	0.5345982	0.6606335	0.5809524	0.8133333	0.875	0.018	0.326	0.003	0.116	0.018	0.009	9	7	9	10	0.326828324341707	0.471651500236164	0.0321826534046934
REACTOME_INFLUENZA_LIFE_CYCLE	0.7027972	0.4542411	0.7040724	0.5555556	0.8	0.7083333	0.002	0.745	0.002	0.207	0.017	0.085	14	2	13	6	0.105263382096473	0.232415620994216	0.0339326798207381
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.7634033	0.5602679	0.6503771	0.5738095	0.8133333	0.7222222	0.001	0.236	0.005	0.133	0.027	0.066	16	0	14	5	0.0159255859754158	0.0302539389754189	0.0341824557797341
KEGG_PATHWAYS_IN_CANCER	0.752331	0.6997768	0.7666667	0.6222222	0.8	0.6805556	0.001	0.004	0.001	0.031	0.029	0.112	3	13	2	17	0.313206964581333	0.0251469277245643	0.0344022426993831
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	0.6914336	0.6735491	0.6221719	0.6603175	0.7866667	0.9305556	0.001	0.014	0.014	0.013	0.038	0.003	16	0	19	0	NA	0.0188126999251773	0.0358384922697482
REACTOME_GAB1_SIGNALOSOME	0.534965	0.4799107	0.6063348	0.5904762	0.7866667	0.9166667	0.287	0.624	0.038	0.099	0.027	0.001	16	0	17	2	0.126223639753789	0.652624477899134	0.0366660021054599
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.6532634	0.4866071	0.560181	0.6666667	0.8	0.7083333	0.004	0.595	0.139	0.003	0.028	0.08	16	0	15	4	0.0348849651021161	0.171022714515838	0.0369909975900335
REACTOME_SEMAPHORIN_INTERACTIONS	0.6206294	0.4542411	0.6470588	0.584127	0.8266667	0.5555556	0.039	0.742	0.003	0.114	0.011	0.381	15	1	14	5	0.0878934421477746	0.463642031680561	0.0373964148160221
REACTOME_INNATE_IMMUNITY_SIGNALING	0.6882284	0.640625	0.6693816	0.5638889	0.8533333	0.875	0.001	0.033	0.003	0.186	0.014	0.008	12	4	12	7	0.299017324688537	0.0440216450359142	0.0376050552053322
BIOCARTA_CXCR4_PATHWAY	0.6853147	0.5982143	0.7444947	0.5952381	0.8	0.6388889	0.002	0.095	0.001	0.109	0.026	0.183	15	1	15	4	0.147932152047134	0.0539343292643322	0.038594045233272
REACTOME_HIV_LIFE_CYCLE	0.6794872	0.4642857	0.6992459	0.5599206	0.8133333	0.5972222	0.004	0.683	0.001	0.187	0.02	0.278	12	4	10	9	0.104119802308224	0.248668668981986	0.0392094232507627
Taube_EMT	0.6567599	0.6841518	0.6897436	0.6246032	0.8133333	0.6527778	0.012	0.012	0.003	0.038	0.017	0.148	8	8	7	12	0.29901718256548	0.0978312922057058	0.0393259752877706
REACTOME_CENTROSOME_MATURATION	0.7377622	0.6238839	0.7390649	0.515873	0.8	0.7916667	0.001	0.056	0.001	0.445	0.021	0.023	16	0	17	2	0.126223639753789	0.018777114352254	0.0396099906826011
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN_ALPHA_BETA_CASCADE	0.6573427	0.5608259	0.6657617	0.5404762	0.8133333	0.8888889	0.005	0.211	0.001	0.277	0.025	0.006	15	1	16	3	0.299008846014946	0.214780687402747	0.0398932755918251
REACTOME_APOPTOSIS	0.7692308	0.7287946	0.7381599	0.6746032	0.8133333	0.7361111	0.001	0.003	0.001	0.006	0.023	0.054	10	6	14	5	0.99854262983839	0.111247797053971	0.0403733893022575
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.6328671	0.7020089	0.6570136	0.6666667	0.68	0.8194444	0.021	0.004	0.001	0.013	0.116	0.016	12	4	12	7	0.299017324688537	0.110871713581912	0.0414327261644696
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.7325175	0.671875	0.6950226	0.547619	0.8	0.8194444	0.001	0.012	0.001	0.243	0.03	0.015	9	7	7	12	0.14826898902543	0.0130601394634021	0.042282634695143
REACTOME_DOWNSTREAM_EVENTS_IN_GPCR_SIGNALING	0.6917249	0.5234375	0.6622926	0.6896825	0.8	0.8055556	0.001	0.397	0.004	0.007	0.031	0.016	2	14	2	17	0.479819232415823	0.32362377332534	0.0424095679021867
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.7412587	0.6986607	0.7342383	0.6575397	0.8266667	0.5555556	0.001	0.005	0.001	0.011	0.016	0.367	11	5	13	6	0.524563922587007	0.05900922712789	0.0428230796234349
BIOCARTA_GPCR_PATHWAY	0.6544289	0.6875	0.7776772	0.6230159	0.72	0.8194444	0.008	0.013	0.001	0.035	0.085	0.015	16	0	19	0	NA	0.0719688170018899	0.0428924758850273
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.6911422	0.4787946	0.5945701	0.5857143	0.8	0.8472222	0.001	0.61	0.044	0.097	0.029	0.011	16	0	16	3	0.0584014564040313	0.113147988377985	0.0430459692393208
REACTOME_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	0.7121212	0.4609375	0.745098	0.5595238	0.8	0.5277778	0.001	0.706	0.001	0.193	0.018	0.447	15	1	14	5	0.0878934421477746	0.150225097363643	0.0438485208565775
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.6541375	0.6573661	0.6799397	0.597619	0.7066667	0.8472222	0.004	0.024	0.002	0.085	0.093	0.014	12	4	10	9	0.104119802308224	0.021201477374481	0.0458881017764229
REACTOME_RHO_GTPASE_CYCLE	0.650641	0.6071429	0.7321267	0.547619	0.8533333	0.875	0.008	0.094	0.001	0.257	0.01	0.008	13	3	15	4	0.479819232415823	0.288635728017166	0.0466295409648097
KEGG_TRYPTOPHAN_METABOLISM	0.6439394	0.578125	0.6328808	0.6928571	0.8933333	0.5	0.014	0.166	0.008	0.004	0.003	0.524	13	3	13	6	0.299017182565478	0.274422376334949	0.0466909178433717
REACTOME_PLATELET_ACTIVATION_TRIGGERS	0.6238345	0.5424107	0.6959276	0.4865079	0.8	0.8194444	0.026	0.296	0.001	0.582	0.029	0.012	14	2	12	7	0.0594865497958512	0.204316850912401	0.0469775930177867
BIOCARTA_BARR_MAPK_PATHWAY	0.6812354	0.53125	0.679638	0.5507937	0.8266667	0.7777778	0.002	0.345	0.001	0.242	0.02	0.037	16	0	19	0	NA	0.273633797813371	0.0483097828790915
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	0.5990676	0.6601562	0.6778281	0.6333333	0.8	0.9027778	0.057	0.014	0.001	0.034	0.022	0.002	13	3	19	0	1	0.615977562504679	0.0488867748797917
REACTOME_PLATELET_ACTIVATION	0.6780303	0.6395089	0.7098039	0.6436508	0.7333333	0.75	0.003	0.054	0.001	0.019	0.07	0.051	9	7	8	11	0.29901718256548	0.0939963638683238	0.0491457943550959
BIOCARTA_CASPASE_PATHWAY	0.5454545	0.5496652	0.6953243	0.6388889	0.7733333	0.75	0.241	0.275	0.001	0.023	0.039	0.057	12	4	13	6	0.392434653256401	0.71108687760861	0.0501063345825454
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.6509324	0.4252232	0.707089	0.5206349	0.8266667	0.7083333	0.013	0.843	0.002	0.38	0.015	0.098	16	0	16	3	0.0584014564040313	0.369841534118284	0.0502927639440879
REACTOME_SIGNALING_BY_EGFR	0.6331585	0.5753348	0.681448	0.6	0.8133333	0.6805556	0.017	0.158	0.001	0.066	0.028	0.118	14	2	15	4	0.325413189762337	0.314690094897235	0.0523010676348329
REACTOME_GLUCOSE_REGULATION_OF_INSULIN_SECRETION	0.6713287	0.6127232	0.6733032	0.6365079	0.8266667	0.6527778	0.006	0.063	0.002	0.02	0.015	0.176	9	7	11	8	0.998540103068967	0.250680815132388	0.0530340652663058
REACTOME_AXON_GUIDANCE	0.6608392	0.5926339	0.7013575	0.5373016	0.88	0.7638889	0.003	0.122	0.001	0.309	0.007	0.035	10	6	10	9	0.325413190194502	0.169336903122093	0.0530800732761885
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	0.5629371	0.6964286	0.6648567	0.6428571	0.8	0.9444444	0.173	0.004	0.001	0.024	0.027	0.001	13	3	19	0	1	0.681526566974839	0.0543317466575502
