sample	sample	Batch
A01	A01	1
A02	A02	1
A03	A03	1
A04	A04	1
A05	A05	1
A06	A06	1
A07	A07	1
A08	A08	1
A09	A09	1
A10	A10	1
A11	A11	1
A12	A12	1
B01	B01	1
B02	B02	1
B03	B03	1
B04	B04	1
B05	B05	1
B06	B06	1
B07	B07	1
B08	B08	1
B09	B09	1
B10	B10	1
B11	B11	1
B12	B12	1
C01	C01	1
C02	C02	1
C03	C03	1
C04	C04	1
C05	C05	1
C06	C06	1
C07	C07	1
C08	C08	1
C09	C09	1
C10	C10	1
C11	C11	1
C12	C12	1
D01	D01	1
D02	D02	1
D03	D03	1
D04	D04	1
D05	D05	1
D06	D06	1
D07	D07	1
D08	D08	1
D09	D09	1
D10	D10	1
D11	D11	1
D12	D12	1
E01	E01	1
E02	E02	1
E03	E03	1
E04	E04	1
E05	E05	1
E06	E06	1
E07	E07	1
E08	E08	1
E09	E09	1
E10	E10	1
E11	E11	1
E12	E12	1
F01	F01	1
F02	F02	1
F03	F03	1
F04	F04	1
F05	F05	1
F06	F06	1
F07	F07	1
F09	F09	1
F10	F10	1
F11	F11	1
F12	F12	1
G01	G01	1
G02	G02	1
G03	G03	1
G04	G04	1
G05	G05	1
G06	G06	1
G07	G07	1
G08	G08	1
G09	G09	1
G10	G10	1
G11	G11	1
G12	G12	1
H01	H01	1
H02	H02	1
H03	H03	1
H04	H04	1
H06	H06	1
H07	H07	1
H08	H08	1
H09	H09	1
H10	H10	1
H11	H11	1
H12	H12	1
I01	I01	1
I02	I02	1
I03	I03	1
I04	I04	1
I05	I05	1
I06	I06	1
I07	I07	1
I08	I08	1
I09	I09	1
I10	I10	1
I11	I11	1
I12	I12	1
I13	I13	1
J01	J01	1
J02	J02	1
J03	J03	1
J04	J04	1
J05	J05	1
J06	J06	1
J07	J07	1
J08	J08	1
J09	J09	1
J10	J10	1
J11	J11	1
J12	J12	1
K01	K01	1
K02	K02	1
K03	K03	1
K04	K04	1
K05	K05	1
AA3226	AA3226	2
AB3227	AB3227	2
AC3228	AC3228	2
AD3231	AD3231	2
AE1543	AE1543	2
AF3229	AF3229	2
AG3230	AG3230	2
AH3232	AH3232	2
AI3233	AI3233	2
AJ3234	AJ3234	2
AK3235	AK3235	2
AL3236	AL3236	2
AM3237	AM3237	2
AN757	AN757	2
C474	C474	2
D480	D480	2
E519	E519	2
F548	F548	2
G660	G660	2
H663	H663	2
I782	I782	2
J787	J787	2
K1162	K1162	2
L1176	L1176	2
M1263	M1263	2
P1075	P1075	2
Q1080	Q1080	2
R1104	R1104	2
S1133	S1133	2
T1463	T1463	2
U2017	U2017	2
V432	V432	2
W433	W433	2
X524	X524	2
Y546	Y546	2
Z3225	Z3225	2
AA_RR.849	AA_RR.849	3
AE_RR.3300	AE_RR.3300	3
AF_RR.3276	AF_RR.3276	3
AG_RR.3298	AG_RR.3298	3
AH_RR.3295	AH_RR.3295	3
AI_RR.3291	AI_RR.3291	3
AJ_RR.3296	AJ_RR.3296	3
AM_RR.1949	AM_RR.1949	3
AN_RR.3297	AN_RR.3297	3
AO_RR.3288	AO_RR.3288	3
AP_RR.3280	AP_RR.3280	3
AR_RR.3278	AR_RR.3278	3
AS_RR.3277	AS_RR.3277	3
A_RR96.12	A_RR96.12	3
B_RR.1519	B_RR.1519	3
C_RR.3293	C_RR.3293	3
D_RR.3301	D_RR.3301	3
E_RR.2070	E_RR.2070	3
J_RR.1226	J_RR.1226	3
K_RR.3290	K_RR.3290	3
L_RR.3286	L_RR.3286	3
N_RR.3294	N_RR.3294	3
O_RR.3285	O_RR.3285	3
P_RR.3274	P_RR.3274	3
Q_RR.3283	Q_RR.3283	3
RR.3275	RR.3275	3
RR.3281	RR.3281	3
RR.3287	RR.3287	3
RR.3289	RR.3289	3
RR.3299	RR.3299	3
T_RR.3292	T_RR.3292	3
U_RR.2236	U_RR.2236	3
V_RR.1455	V_RR.1455	3
W_RR.922	W_RR.922	3
X_RR.1083	X_RR.1083	3
Y_RR.841	Y_RR.841	3
Z_RR.778	Z_RR.778	3
