@relation data

@attribute id string
@attribute 1017 numeric
@attribute 1019 numeric
@attribute 1111 numeric
@attribute 1432 numeric
@attribute 4661 numeric
@attribute 472 numeric
@attribute 5925 numeric
@attribute 7157 numeric
@attribute 7465 numeric
@attribute 7533 numeric
@attribute 983 numeric
@attribute 994 numeric
@attribute 995 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2967640855,1.6509813072,-0.0207608909,0.4174692793,0.0545480790,-0.0661986022,0.4170598776,0.9853307140,0.7796234821,0.2917555586,-0.0425476541,1.0736579266,-0.2176256242,BRCA
GSM481003,0.3862321187,2.0218701660,0.0788576193,0.3061586227,-0.0030421575,-0.1056909030,0.4086979734,0.9925875762,0.8240081359,0.1337018074,0.0396829150,1.7012932566,-0.1199287043,BRCA
GSM481004,0.2243766762,2.4203961939,0.1553593973,0.4136280409,-0.0020656624,-0.0821350421,0.2011434678,0.8802483742,0.9888391265,0.1884460379,0.0847969585,1.9835826158,-0.1036322659,BRCA
GSM481005,0.2160567825,1.6965493859,-0.0509479857,0.3984561536,-0.0042599766,-0.0263808509,0.7030548256,0.9015575944,1.1646198406,0.2495623258,-0.0386178835,1.1929960980,-0.1536551538,BRCA
GSM481006,0.2957256202,2.0035383105,-0.0875418057,0.3921763096,-0.0341230482,-0.0131001265,0.6889269474,1.3752852871,1.0816936776,0.2052513845,0.0396803746,1.3423867920,-0.1093827218,BRCA
GSM481007,0.2692059731,2.3997609466,-0.0663335973,0.2309822093,0.0020974583,-0.0317684311,0.6629691342,1.2977375326,0.9833582546,0.1259042048,-0.0570031899,1.8028394779,-0.1601817525,BRCA
GSM481008,0.7145212810,2.6693531871,0.3485994223,0.3457279783,0.0818191260,-0.0287524567,0.6538910852,0.9878225434,0.8807206629,0.1918546055,0.9505239390,2.6956056886,0.2834503252,Control
GSM481009,0.1897917593,1.6445278376,0.0690172817,0.2764711754,-0.0226241486,-0.0741165462,0.6089003728,0.9829903326,0.9655744929,0.0990213254,0.1236259342,1.6744657689,-0.2186074609,Control
GSM481010,0.4230568399,1.7503523453,-0.0126356082,0.3582406002,0.0121718499,-0.0522969667,0.6300583106,0.7534921082,1.2663386790,0.2326778048,0.2772498125,1.4865737623,-0.0506326197,Control
GSM481011,0.3164373107,2.3434683681,0.0717280289,0.1895736574,0.0347555925,-0.0514790472,0.2998918322,0.9952894231,0.6878570232,0.2838056297,0.1786498111,1.8906037143,-0.1966596610,Control
GSM481012,0.2761391737,2.0338871329,0.1184790361,0.3378831189,-0.0249216722,-0.0600952140,0.3807823643,0.8725762112,0.7136856386,0.1470073037,0.3306824619,2.1704689529,-0.0452570854,Control
GSM481013,0.8216111784,3.3255677223,0.2857089378,0.4947108470,-0.0229317712,-0.0336836739,0.6071917989,1.3992428302,0.8400474893,0.3801371773,1.0239650297,3.1160226530,0.1773199289,Control
GSM481014,0.4313007615,2.3293440788,0.0022970923,0.5363523807,0.0265891972,0.0231110066,0.8343954146,1.0247983021,1.1185733833,0.1596780305,0.5877937729,2.2261820369,-0.0666358589,BRCA
GSM481015,0.4306591945,2.6663715245,0.0366658645,0.3073236268,0.0059219360,-0.0129703451,0.6405201038,1.2436508052,1.4266185826,0.0989421942,0.2450593735,2.3653379414,0.0083375298,BRCA
GSM481016,0.5725742598,1.6919438839,0.3492143929,0.4468257379,0.0079146275,-0.0307458420,0.6720304335,0.7893344704,1.0616554181,0.2317060418,0.4232646390,1.8186811208,0.0268437909,BRCA
GSM481017,0.4536998044,1.1116818788,0.4148975645,0.4272267166,-0.0507989537,0.0540303805,1.1168828047,0.5631712906,1.0835725331,0.2450007459,0.7531574298,1.0743768348,-0.0328106757,BRCA
GSM481018,0.4052431551,2.8581576942,-0.0146909018,0.4488102300,0.0360449233,-0.0797911159,0.0730488367,1.3061695902,1.3063179516,0.2048367715,0.0481968442,3.0988125538,-0.0706015539,BRCA
GSM481019,0.4803836849,2.1261038185,0.2385587941,0.4176905511,0.0177863305,-0.0548910358,0.7332620420,0.8534259407,0.6415343426,0.1860101620,0.6176992623,1.8523388173,-0.0360136517,BRCA
