# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
7067	1.0
6257	2.0
126382	3.0
3164	4.0
8431	5.0
367	6.0
29982	7.0
2101	8.0
9572	9.0
9975	10.0
2104	11.0
5916	12.0
5241	13.0
2063	14.0
4306	15.0
3174	16.0
7101	17.0
5468	18.0
7376	19.0
5914	20.0
7182	21.0
190	22.0
2494	23.0
2649	24.0
8856	25.0
7068	26.0
7421	27.0
2099	28.0
6096	29.0
29959	30.0
2103	31.0
9971	32.0
2100	33.0
4929	34.0
5465	35.0
10002	36.0
7181	37.0
5467	38.0
6097	39.0
6095	40.0
5915	41.0
7025	42.0
5469	43.0
6256	44.0
8013	45.0
10062	46.0
2908	47.0
3172	48.0
