@relation data

@attribute 5361 numeric
@attribute 5058 numeric
@attribute 5362 numeric
@attribute 3326 numeric
@attribute 5062 numeric
@attribute 1072 numeric
@attribute 2242 numeric
@attribute 3984 numeric
@attribute 91584 numeric
@attribute 10371 numeric
@attribute 8829 numeric
@attribute 3320 numeric
@attribute 2534 numeric
@attribute 5879 numeric
@attribute 55558 numeric
@attribute Class {Control,BRCA}

@data
9.04464761,9.037678125,6.442740861,13.42222975,8.225782395,12.5506675,9.792831413,5.7690473375,6.139557107,7.743759193,10.158127895,11.0093826917,9.2289642325,8.85850435833,8.287228851,Control
8.83564079,9.447476465,6.107327595,13.65917147,8.658878356,12.5801856,9.972305339,5.7228877405,5.372787809,8.276811994,9.137476819,11.030777654,8.8907159655,9.23532012167,8.148376321,BRCA
8.737501821,9.822754492,6.18913825,13.91614961,7.83784169,12.67483341,9.533437358,5.848293342,5.469732364,7.286698963,8.616895971,11.1437694107,8.275073194,9.280236709,7.90251248,BRCA
9.085698921,10.03852848,6.323194968,13.80946823,7.70770520067,12.73346456,10.1090997,6.1942824925,5.30196368,6.966479856,8.2676729985,10.6939344647,8.08464112175,9.422761191,8.803470139,Control
8.562730038,9.507874464,6.119673262,13.95556321,8.07563913267,12.90048482,9.680329247,6.176314587,5.846249617,8.324744376,9.144599091,11.2182175033,8.34620788925,9.29741101033,8.518791936,BRCA
8.703316278,9.3312535,5.969767112,14.03142469,8.35808952433,12.64577331,9.819365272,5.789661595,5.79064906,7.918477361,10.134166214,11.374489615,8.716652398,9.14697742367,7.702278545,BRCA
9.879085849,9.354305108,5.66903474,13.34981755,8.02893851733,13.07861622,9.790479288,5.703437493,4.713162871,8.402085935,7.834786368,10.4929184813,8.39165280725,9.62804284167,8.852499177,BRCA
8.616430414,8.901176988,5.982771878,13.53466038,7.68379282967,12.73346456,9.352739287,5.9416429115,5.083438106,7.797176966,9.863085986,10.7716702567,8.80415305075,8.82865486733,7.743893804,Control
8.298281562,9.625618044,6.127793825,14.18150639,7.77701585767,12.83574159,9.402735565,5.8969290325,5.281894103,7.373259136,8.737701857,11.3126835957,8.0162301535,9.29235500067,7.988799878,BRCA
8.601288997,9.599773923,5.956644051,13.74350963,7.95022355167,12.64987931,9.464102115,5.715837508,5.883749862,7.777684566,8.911799081,10.9901063043,8.42904151725,9.23513699733,8.661084302,BRCA
8.597718431,9.29724939,6.499212576,13.91975024,7.58494976267,12.6255337,10.04541878,6.0195573385,5.123305363,8.656783369,9.2948509005,10.8381684493,8.9502413505,8.92818876867,8.678425073,BRCA
8.173503659,9.270109064,6.227669487,13.62077142,7.93261710267,12.73839215,9.401200125,5.7070276755,5.201056716,7.398617851,10.0002065505,11.034315424,8.477755757,8.97755484267,7.669064202,Control
8.509419853,9.21638279,6.097300677,13.44751595,7.94302709167,12.71973005,9.670745253,5.7043025945,6.47151722,8.397504713,9.9281851165,10.7678923323,8.5293685075,8.882604615,8.215958981,Control
9.877656504,10.06933601,6.114268757,14.10257573,7.87233796567,12.72471214,10.16124563,5.8907386725,5.481404906,7.386080459,8.832306626,10.9296346363,8.5706565075,8.867882958,9.702986948,BRCA
9.92487229,9.423032438,6.086301455,13.51553049,7.52928093467,12.41466417,10.18422484,6.1120078265,6.2085325,7.748010194,9.6690879865,10.482276888,8.93480514275,8.552349278,8.778833709,BRCA
9.507616831,9.880142578,6.342701959,14.11030021,7.75599573933,13.01183005,9.697975811,6.217322425,5.482696044,7.32591507,8.771707186,10.592174145,8.1157153055,8.787767491,9.139564862,BRCA
9.619138373,10.12536217,6.142827586,13.76528768,7.607699735,12.62816419,9.749777737,6.3668044235,5.769514729,7.297744257,8.473825855,10.5236420607,7.9997957695,8.934366304,9.362930698,BRCA
9.258413586,10.00810682,6.29655434,14.03490428,7.474927603,12.80568549,9.385178158,6.101992557,5.388026974,7.409584255,8.945314097,10.635449282,8.34669283075,9.01840760867,8.887647971,BRCA
9.151613494,10.13367562,6.351695128,14.45371146,7.58342234833,12.5850741,9.778192608,6.1958131935,5.238988625,6.95239509,8.316603575,10.359324125,8.21665827025,9.258466301,9.41509797,BRCA
9.136145956,9.841965701,6.018707189,13.81715158,7.32187888267,13.78053775,10.59849016,5.899944074,5.167730486,7.825835106,7.5528271515,9.11059015067,7.74146486825,8.91017192567,7.565846802,BRCA
