@relation data

@attribute id string
@attribute 10298 numeric
@attribute 2817 numeric
@attribute 4690 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5879 numeric
@attribute 6091 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 8440 numeric
@attribute 9353 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.7444360137,0.3564517632,0.9588077316,0.3334267199,1.9176566821,0.2940123944,0.6115640560,-0.1086105190,2.7923812542,0.4087458890,0.1797246685,0.5492388602,0.5084218903,-0.1009344438,BRCA
GSM480985,0.6800185540,0.2673678872,0.9287990430,0.5376056928,1.5525041097,0.9674722773,0.2890646078,-0.0886895525,2.9129755730,0.5270812866,0.2011654340,0.6409502427,0.5190573038,-0.0827883298,BRCA
GSM480986,0.9048564412,0.6010419997,0.9228339706,0.5214103467,2.0052070367,0.4927383830,0.3945332915,-0.0471249062,3.0052631994,0.5873867289,0.0952468054,0.4793911673,0.4703850285,-0.0098110282,BRCA
GSM480987,0.5215355268,0.7033107808,0.7341811885,0.4951465396,1.8267602669,0.1303720306,-0.0295104620,-0.0378936660,3.1002503070,0.8372122751,0.0700896732,0.1445394283,0.3914669100,0.1274034072,BRCA
GSM480988,0.9508889556,0.4409819435,0.8401416463,0.4710813121,1.9803916247,0.2542246198,0.4609995752,-0.0761343380,3.0203843170,0.6867759943,0.0896705153,0.3725107078,0.4398411243,-0.0780076649,BRCA
GSM480989,1.1523790095,0.5663686701,0.5486960764,0.5198385118,1.8099314634,0.1801736687,0.3935015834,-0.0274831994,3.3091132243,0.4590963260,-0.0037837656,0.2630944657,0.2460107125,-0.1059299497,BRCA
GSM480990,0.9801169453,0.8338166969,0.6484077813,0.6607572544,2.1385234782,0.5839403074,0.6784652798,-0.0090193702,3.4219261243,0.6623037608,0.0120991491,0.3107558547,0.4045072549,0.0054202974,Control
GSM480991,1.1151435263,0.8415282519,0.7775347619,0.5980931108,1.9004271532,0.3437215163,0.3850563242,-0.0346813186,3.2534763878,0.5845104582,0.0441448208,0.3851343730,0.4099016467,-0.0769866918,Control
GSM480992,1.4277543859,1.0292807859,0.6407662356,0.4647197556,2.0045540961,0.3293317450,0.8328277925,-0.0477632556,3.4460021522,0.6728563567,0.0183351703,0.4019502806,0.4004930503,-0.0960925674,Control
GSM480993,1.1702798946,0.6964196564,0.6903401651,0.5712389041,1.9982736738,0.2987102078,0.6463455347,-0.0256107600,3.0886874926,0.5167426877,0.0562111053,0.4506590302,0.4365587016,-0.0782973294,Control
GSM480994,1.0270897434,0.4575167334,0.6761134958,0.4971079265,1.8144347636,0.1289592564,0.4921677027,-0.1084226398,3.4762011070,0.3491600047,0.0193436113,0.3033324619,0.3993443953,-0.0936471821,Control
GSM480995,0.6036248319,0.7506554291,0.8051835368,0.6911351234,2.1501699967,0.1662332492,0.3742701226,-0.0721072991,3.1679063242,0.6145894518,0.1126998567,0.4493591258,0.5479461465,-0.0479943066,Control
GSM480996,0.8120197759,0.8969236688,0.8114125488,0.6041922049,2.0233463645,0.0783540833,0.8090709352,-0.0215681478,3.0532128612,0.5938240774,0.0632607096,0.3174927423,0.4211879654,-0.0289832559,BRCA
GSM480997,0.7572724319,1.2161297747,0.5277756739,0.4464887556,1.6034002132,-0.0150662719,0.0724363887,-0.0674397348,3.0110673772,0.7198610230,0.0117709752,0.2430323267,0.2127544222,0.2221493179,BRCA
GSM480998,0.9348872744,0.5596416246,0.8927062351,0.5039749793,1.7726184914,0.4399868349,0.2697818877,-0.0445308744,3.1387746831,0.5133838602,0.1207393635,0.3985268459,0.4871271078,-0.0849813078,BRCA
GSM480999,0.7358393444,0.3868124675,0.8779586159,0.6734050700,1.7348763849,0.7481886585,0.2780053084,-0.1069825251,2.9392873114,0.5187489431,0.2268848883,0.7502182755,0.6689895197,-0.0983850295,BRCA
GSM481000,0.8405214983,0.3707985075,0.9765519250,0.6563936570,1.7619267168,0.6239053574,0.3241420379,-0.0812474839,2.9357543340,0.5955137967,0.1196501524,0.5558766501,0.6435899356,-0.0611093539,BRCA
GSM481001,0.5723851590,0.3771027230,0.9056467605,0.5111789067,2.2096938209,0.5993116486,0.1910705818,-0.0398896489,3.4267272817,0.5813116399,0.1188062851,0.5942313997,0.6022127244,-0.0502075323,BRCA
