@relation data

@attribute id string
@attribute 10197 numeric
@attribute 10213 numeric
@attribute 5682 numeric
@attribute 5683 numeric
@attribute 5684 numeric
@attribute 5685 numeric
@attribute 5686 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 5690 numeric
@attribute 5691 numeric
@attribute 5692 numeric
@attribute 5693 numeric
@attribute 5694 numeric
@attribute 5695 numeric
@attribute 5696 numeric
@attribute 5698 numeric
@attribute 5699 numeric
@attribute 5701 numeric
@attribute 5702 numeric
@attribute 5704 numeric
@attribute 5705 numeric
@attribute 5707 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 5717 numeric
@attribute 5719 numeric
@attribute 5720 numeric
@attribute 60489 numeric
@attribute 8065 numeric
@attribute 9491 numeric
@attribute 9861 numeric
@attribute 9978 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.6738451626,2.0527479051,1.8159400190,0.9416194924,0.2567013761,2.1901534266,0.1864337945,2.5581915303,1.7343971795,0.8690999905,1.7441548903,4.3147891045,2.6218083204,1.6679702071,1.5007596282,0.5930373193,0.0948233559,0.6908062434,0.4767773701,0.4137865176,1.6636433237,1.7810388281,1.8831490138,2.6197904943,0.5662944559,0.9842089611,1.0583215319,0.2940934600,2.6118838787,1.8763102591,0.6435214766,0.6202070082,1.5839039186,1.5325153833,0.1023060136,0.7164874125,1.4491622901,0.8020191408,1.6136349440,BRCA
GSM481003,1.6992633063,1.6335437745,1.4727092077,0.6611500725,0.1544844994,1.9052286347,0.1662331131,2.4744767026,1.5903061752,1.0760128464,1.7814379137,4.4430053392,2.7771415710,1.8147506847,1.3958061802,0.9280487112,0.6292650508,1.2284612431,0.3904295950,0.5076932630,1.9988487297,1.7448618338,1.7551688621,3.2713532845,0.8363947943,0.9699453029,0.9747160873,0.2034174171,2.5043580137,1.8717820830,0.5673383294,0.7436864516,1.5754164327,2.2685171897,0.3837915422,0.3298915249,1.4677737740,0.6159312086,1.4739625027,BRCA
GSM481004,1.7723498195,1.7072597741,1.7533806518,0.6227301211,0.1162916337,1.9332705668,0.1968941802,2.2731753289,1.7125247685,1.0002518175,1.2316615980,4.0048973084,2.7003967762,1.6353940633,1.4842581792,0.8090367038,0.5321352119,0.7772948294,0.4884542154,0.3452819240,1.9966628156,1.8487552554,2.0524100977,3.0304102500,0.6907679671,0.9536992859,1.0102897927,0.2844656181,2.7660346827,1.8081668651,0.5110874796,0.8219513373,1.5240470535,2.1128847401,0.4354731122,0.5116986839,1.6060704223,0.6562707479,1.0936510564,BRCA
GSM481005,1.5599300078,2.1695532204,1.6560580592,0.8148354041,0.2645038757,2.3797452187,0.1949750777,2.4213250726,1.5723965866,0.9060801048,1.5403858423,4.0223623277,2.7144659907,1.7148717244,1.3731225228,0.2613419561,0.0201135667,0.7916917169,0.7134718597,0.3918113433,1.7394168112,1.8183650896,2.0410535686,2.8971875510,0.6475819739,0.8211572299,1.1057120721,0.2546665659,2.6286514997,1.9930572434,0.8154593582,0.7433540598,1.4280080000,1.5133188500,0.2411589499,1.0209925686,1.2971920554,0.7147000026,1.8273197924,BRCA
GSM481006,1.6064058580,1.7807956489,1.5811888011,0.7550677622,0.3146370875,2.0638683371,0.1289928798,2.8683363571,1.4597036634,1.1735575124,2.2614440123,4.2693567277,2.7208554446,1.8926719692,1.5596651835,1.3788318260,0.7674210518,1.0863824449,0.5902456128,0.6061208750,1.6818278597,1.6304256096,1.5194914200,2.3012226620,0.9323784001,1.1557352251,1.1636027598,0.2421859070,2.7934896150,1.8038906007,0.7206309512,0.9081259256,1.7768181165,2.0707664888,0.2772218078,0.8349302326,1.7072771922,0.7875789786,1.7121042693,BRCA
GSM481007,1.2485547140,1.2220723854,1.2673711873,0.6811011502,0.1401527014,1.7182117303,0.0966674671,2.4933420419,1.1511982013,1.0347847308,2.1193977993,4.3532934029,2.6538662463,1.8896059791,1.1411154405,1.7699125409,0.6771491348,1.3358904720,0.2597851135,0.2662795463,1.6526423823,1.2983347251,1.0893662098,2.3030294380,0.9829413295,1.0539548550,1.0986000624,0.1549096278,2.5330266953,1.4022798241,0.3935637878,0.7725091391,1.4361651904,1.8083590269,0.2820264179,0.7135690812,1.5105487858,0.5977900766,1.4867990613,BRCA
GSM481008,1.4346678649,2.3513552099,1.5120520081,0.6396369888,0.4030745154,2.1771657469,0.1174926700,2.2891377956,1.2748848116,1.1509291225,1.9077722233,4.0321799437,2.5476031156,1.7645532820,1.2468131570,1.1392428355,1.3091744333,0.9500272161,0.4961231979,0.1959771194,2.0505630373,2.1155795454,2.1342651668,2.8148888748,0.8754903713,0.8768678155,0.8500592999,0.2724911920,2.3066327573,1.7540325374,0.3922997092,0.8150627947,0.9213188795,1.8682854640,0.5068843254,0.6861086626,1.2631243495,0.7574420411,1.1244572740,Control
GSM481009,1.2361891112,1.6511094271,1.6196986654,0.5493963470,0.1943304261,2.0588545202,0.1189352619,2.2783477865,1.4393705626,0.8075163673,1.2277624807,4.8199692727,2.4997578934,1.3486013363,1.3640365572,0.3928519024,0.5264987499,0.2862428301,0.4300426333,0.1116802940,1.3921404270,1.4322553725,1.6956942152,2.1188873550,0.2689969856,0.7828766788,1.2574071402,0.0802398406,2.3834086260,1.5735545121,0.4603130589,0.3745919642,1.0751262042,1.3525239891,0.1155210368,0.7324686960,1.1285554702,0.4690800012,0.9562944259,Control
GSM481010,1.6432634554,2.5049641729,1.7940255640,1.4100942657,0.3074949513,2.4509170850,0.2203730272,2.4222768023,1.7405861315,1.0346734672,1.5880995990,3.9894852161,2.5013724120,1.4051172536,1.3405036329,0.7204279117,0.5893098712,0.9541471229,0.7338087111,0.4299290776,1.8385142950,1.9493536874,2.5257176020,2.7604640922,0.7812320319,0.8712215970,1.1533191363,0.3142677744,2.3319111667,1.7301260083,0.8495002364,0.8431336136,1.4571809603,2.0996140904,0.3722678614,1.0691578944,1.4638007580,0.8488398601,1.9437944209,Control
GSM481011,1.8372667487,1.7207750380,1.5874533258,0.4626399876,0.2152468930,1.6971317762,0.1758092423,2.7429658249,1.4594285641,1.2195015140,1.6331438623,4.3698803425,2.8978922666,1.8646869792,1.3077086934,0.6229523020,0.6152269136,1.0459256395,0.3455736895,0.4344210476,1.8850405579,1.4347315953,1.3635210281,2.5665733218,0.9184809019,1.1181267537,0.8827924452,0.1958014469,3.0421144960,2.1916008665,0.3949827650,0.8199424006,1.5289352204,1.5297581687,0.4753451749,0.6417325080,1.6247811692,0.6278304482,1.4774084773,Control
