@relation data

@attribute id string
@attribute 2043 numeric
@attribute 2047 numeric
@attribute 2534 numeric
@attribute 3672 numeric
@attribute 3688 numeric
@attribute 3897 numeric
@attribute 4067 numeric
@attribute 58 numeric
@attribute 6403 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0581067202,-0.1106604398,0.4023514937,0.0703873523,0.1496797397,0.0100887044,0.3161357614,0.0679258947,-0.0841577866,BRCA
GSM481003,0.0438425784,-0.0341460558,0.4055141435,0.0857827171,0.1592926320,1.9680034484,0.1219394536,0.1291449847,0.1046401950,BRCA
GSM481004,0.2265205208,-0.0728190320,0.6183126943,0.0463520392,0.1403264253,0.8025180521,0.3341139361,-0.0467283995,-0.0368857761,BRCA
GSM481005,0.2024274179,0.0478569919,0.4258142904,0.1258562207,0.2270940179,0.6637284379,0.1698534251,0.0532636040,-0.0726067910,BRCA
GSM481006,0.1012934635,-0.0876785014,0.4241999837,0.2863816976,0.1351042711,0.7707452903,0.3630817666,0.0001257657,-0.0867700028,BRCA
GSM481007,0.0204356421,-0.0750455146,0.3561066310,0.1095050505,0.2527581179,1.0668325206,0.3024995799,0.0793707802,-0.0686965311,BRCA
GSM481008,0.1412842146,-0.0537893806,0.5704126423,0.1862932138,0.1197325149,0.1107529538,0.2535372900,-0.1092741431,-0.0026418858,Control
GSM481009,0.4324794536,-0.1211189647,0.1867759509,0.0512844025,0.0098238778,0.1556326580,0.1738289398,-0.3500569901,-0.0233045753,Control
GSM481010,0.3460945811,0.0152978014,0.7505683312,0.0979645552,0.0508783250,0.9326328587,0.5541188944,0.0814061654,-0.0515904378,Control
GSM481011,0.0946595171,-0.0967931516,0.2638565085,-0.0307999963,0.1527878153,0.1880361112,0.1055537684,-0.0297662362,-0.0073142439,Control
GSM481012,0.3310261821,-0.0154908654,0.5053003297,0.1815947662,0.1729949372,0.3007234389,0.2065362660,-0.0674421145,0.0281337942,Control
GSM481013,0.0319381959,0.0253082844,0.3244512499,-0.0069518834,-0.0007205301,0.1727913677,0.3131716978,-0.0855688448,-0.0719567493,Control
GSM481014,0.2249344757,-0.0078177310,0.4565880785,0.4806616549,0.0683831126,0.6523422622,0.1578708318,-0.0167199773,-0.0531795066,BRCA
GSM481015,-0.0892237846,-0.0902391179,0.3263746346,0.1256414754,0.1483293002,2.1580781880,0.5117873584,-0.0098485164,-0.0801765774,BRCA
GSM481016,0.2675008260,-0.0953214732,0.3551377050,0.1938479512,0.2070733712,0.2943641124,0.2431975798,0.0151427380,-0.0770240764,BRCA
GSM481017,0.6671202061,0.0441617124,0.5065160892,0.4164042649,0.2638286827,-0.0746896305,0.2874109277,-0.1128233403,-0.0767297216,BRCA
GSM481018,0.0803700936,-0.1121123107,0.5307765908,-0.1195802791,0.0458605471,0.1037854657,0.1513330281,0.0094903570,-0.0373760082,BRCA
GSM481019,0.7472828447,-0.0082394092,0.3458688945,0.0693233066,0.1505348011,0.7762693079,0.4161726558,0.0200367135,-0.0984403353,BRCA
