@relation data

@attribute id string
@attribute 10053 numeric
@attribute 10618 numeric
@attribute 10717 numeric
@attribute 1174 numeric
@attribute 1211 numeric
@attribute 1213 numeric
@attribute 130340 numeric
@attribute 1362 numeric
@attribute 152503 numeric
@attribute 162 numeric
@attribute 164 numeric
@attribute 1785 numeric
@attribute 23431 numeric
@attribute 23557 numeric
@attribute 2495 numeric
@attribute 2580 numeric
@attribute 25977 numeric
@attribute 26258 numeric
@attribute 2647 numeric
@attribute 27131 numeric
@attribute 286451 numeric
@attribute 3482 numeric
@attribute 375 numeric
@attribute 408 numeric
@attribute 4952 numeric
@attribute 51429 numeric
@attribute 5286 numeric
@attribute 54885 numeric
@attribute 55330 numeric
@attribute 5878 numeric
@attribute 6272 numeric
@attribute 6456 numeric
@attribute 6643 numeric
@attribute 6844 numeric
@attribute 7037 numeric
@attribute 7163 numeric
@attribute 7164 numeric
@attribute 81567 numeric
@attribute 8301 numeric
@attribute 84062 numeric
@attribute 8546 numeric
@attribute 8673 numeric
@attribute 8775 numeric
@attribute 8905 numeric
@attribute 8907 numeric
@attribute 9026 numeric
@attribute 9685 numeric
@attribute 9698 numeric
@attribute 9829 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.6143120651,0.7687159996,0.2466831178,0.5540406950,1.1994170448,0.9762964896,0.5078475111,0.9659789391,0.4307413983,0.7254632358,1.1585602116,0.3430034544,1.0073865155,1.4344799353,3.1328550280,1.3784631465,1.4604039565,1.1194636765,1.1512985494,0.9773772558,1.7302228080,0.6702738365,0.5565806307,0.0554376271,0.5004134193,1.0439481785,0.3863091977,0.3681788838,0.4272578015,1.0918344888,0.5360182768,-0.1447004753,0.9323327383,0.8580837143,1.3681627906,0.7659148016,1.9875256699,0.9612040492,0.4875788534,0.3710326749,0.5279663356,2.5548545631,0.4468883373,0.6612468096,0.7030178067,0.2218221776,0.7986003951,2.0431925998,0.5295058199,BRCA
GSM480985,0.6951283606,0.9732159538,0.2525860690,0.3196732650,1.0686403018,0.9761699387,0.1873514526,1.7227159328,0.4946209471,0.6563419980,1.1584935838,0.3140053197,0.8204888168,1.3161283202,3.4191643298,1.5022206138,1.0562448130,0.8441882033,1.0042642784,0.3766792986,1.4469154808,0.8405749302,0.4381162637,0.2742048036,0.5589856206,1.1109378213,0.4744679228,0.6166218625,0.4493215624,0.8155272795,1.1041426435,-0.1547232822,1.2179129679,0.9750290668,0.8690071621,0.6912926708,2.3999425312,0.8455186985,0.7269585885,0.4216695419,0.4418233717,2.8399772304,0.5526012248,0.5436569304,0.4508681191,0.3710298134,0.8667062166,2.1508887662,0.6205767288,BRCA
GSM480986,0.7918008389,0.8591452928,0.2376826298,0.5463974501,1.1128240418,0.9186360455,0.5657338353,1.1333395047,0.3546962151,0.9777050502,1.2626870058,0.4156449989,0.8856714644,1.3697754973,3.3080026506,1.5889140789,1.4072741271,0.8518829063,1.0116872523,0.6771448116,1.6663788821,0.9549328711,0.4480022348,0.1259096748,0.4798941449,0.8370235450,0.3043355414,0.4288376787,0.4741490725,1.2441045095,0.7396011026,-0.1315359111,0.7888612559,0.8724778892,1.3430922982,0.7575105822,1.8821067951,0.8858468954,0.4561478725,0.2772249448,0.3258018047,2.4843749320,0.6092461423,0.6076434631,0.6861353857,0.1400076641,0.7068877871,2.0544028168,0.5609728737,BRCA
GSM480987,-0.0504469688,0.8761357074,0.2020422903,0.4076746446,1.1973683200,0.8633190452,-0.1297463610,1.4940083400,0.2412392268,0.5528650573,0.8222441140,0.1814545716,0.7101139965,1.2439389130,3.3092569112,1.3694012534,1.2721856236,0.8611855343,0.9439790846,0.5062829323,1.3783355686,1.4631114166,0.4711683532,0.1687367030,0.4505901078,0.9176901825,0.1610914717,0.1709276768,0.6033245451,1.2096861226,-0.0382217098,-0.0626066458,0.6923539846,0.6637983796,1.3718096891,-0.0390269417,0.9964988602,1.1900740553,0.2763472757,0.3568519895,0.1845626915,0.1856535159,0.4348964114,0.6556489000,0.7343495455,0.0248908816,0.7370533469,2.0435729187,0.4611084835,BRCA
GSM480988,0.6651541619,0.6983045010,0.2336625432,0.2232566630,0.9692984145,0.8550069128,0.3142159817,1.0654537761,0.1684665312,1.2317149324,1.3477626990,0.3676225796,0.6436327224,1.2266721412,3.3062348066,1.9407786880,1.2517982571,0.7415405741,0.7479501199,0.5584292601,0.8773585242,0.6083950446,0.2954098738,0.2814985048,0.5731448325,0.9068654046,0.3237008886,0.5222743224,0.3217235347,0.8276696512,0.8737116543,-0.0852009718,0.6966436872,0.3810517959,1.3236518110,0.6352692460,1.9527647091,0.7548881449,0.3738049475,0.2942270345,0.4540266042,1.7552840710,0.2227951030,0.4668352327,0.4123464040,0.0754397458,0.7145282342,2.0402326650,0.5038671709,BRCA
GSM480989,1.0872009703,0.8251270595,0.1861731648,0.6577190819,1.1803665832,0.7178036943,0.6118485513,0.7459085390,0.1916543555,1.2957978994,0.9433390029,0.4657025909,0.6242749002,1.8204244576,3.6045370697,1.5376369564,1.1003102324,0.5497243513,1.5151599514,0.5292762422,1.5469326046,0.7905578685,0.5821658545,0.4955436357,0.3620273296,0.8133639846,0.0565122416,0.2058213179,0.3658836880,1.4573610425,0.7747299092,-0.0809819875,0.3292566095,1.1429643371,1.0504724495,0.5448655745,1.9855212781,0.7990202320,0.2816665395,0.4222446117,0.2330075028,3.0016457696,0.7007613891,0.3172533265,0.5764628719,0.3143039883,0.6925835714,1.9005660736,0.3150542961,BRCA
GSM480990,0.5226657964,0.6444589033,0.1207801240,0.8094430494,1.1604397012,0.8432761808,0.1051962484,0.7170216546,0.2293798212,0.9441063161,0.8705823336,0.3704887947,0.6846161561,1.3197778462,3.4969482421,1.5706765324,0.9666625299,0.6861469716,0.8085274100,0.4650693184,1.0170611442,0.8685073141,0.5786951939,0.0462740930,0.4023818896,0.8287467100,0.1453730482,0.0326886634,0.3695924393,1.3745097716,0.2185356793,-0.1013617099,0.3443387650,1.1297013738,0.8566975353,0.4330444266,1.5900880466,0.5647266576,0.3585353248,0.3481876440,0.1399117160,2.3759251664,0.4398871036,0.4127825990,0.8928001613,0.1705633278,0.6610513691,2.0353666372,0.1684767521,Control
GSM480991,1.0181285433,0.7512577828,0.2020101688,0.5996197004,1.2246226268,0.7870749709,0.4232417083,1.0923220907,0.2046388227,1.1160722226,1.1671589347,0.5611051288,0.6857462334,1.2923393117,3.5593869387,1.8284948870,1.1921557635,0.6823730825,1.1038432751,0.3443030604,1.4722804958,0.9589034978,0.5024416536,0.2782712412,0.4156799545,0.9162853342,0.2390621652,0.2851380435,0.4568375109,1.3862332976,0.8800035584,-0.1344325018,0.5929456238,1.3279897193,1.1075460687,0.5443361877,2.0196437485,0.7225126972,0.4085313558,0.3172059536,0.2412065082,2.8323804650,0.7550796271,0.4500272210,0.6971781336,0.2663377011,0.6473237516,2.0037107307,0.5188726094,Control
GSM480992,1.1948922251,0.6353673401,0.1826894088,0.7700731896,1.1392125174,0.8327260339,0.1149376764,0.9768322762,0.2614394415,1.3331444340,1.1930996416,0.6633116213,0.6504899056,1.2506081163,3.6979402301,1.9667296067,0.7522331019,0.4798682471,0.9040769637,0.5593692195,0.9390059112,0.9608591059,0.5279573448,0.2617882261,0.3535468542,0.7772229200,0.1244313952,0.1498630229,0.5021328118,1.5691242666,0.6332261280,-0.0834216501,0.3268781059,1.3015146424,0.7931768090,0.7476871907,1.9056693472,0.7271751387,0.2557879632,0.4195973409,0.1618323695,2.6346176011,0.8482192782,0.1409345185,0.8833835256,0.3988757780,0.6437681106,2.1678175388,0.4059181931,Control
GSM480993,1.0236971223,0.9099354434,0.1741620189,0.5045885989,1.0328274289,0.8213512268,0.4566361214,1.0181019688,0.3363181943,1.0990368054,1.1070815918,0.5442133550,0.7431815034,1.4773399566,3.6103550195,1.8281337935,1.3369491046,0.8761497781,1.0798985677,0.7054856003,1.5382025640,0.9929613224,0.4610399691,0.2252131654,0.4211950318,0.9434959316,0.1627912049,0.2768883215,0.6548408596,1.2453332606,0.8611144647,-0.0805082122,0.7029142569,1.1745911652,1.1312178531,0.7043515551,1.9029057796,0.9016363684,0.4138019705,0.3785451208,0.2503771845,2.6604627200,0.6946873999,0.3061990543,0.6751166826,0.1823949650,0.6695269465,2.0056043004,0.5118881156,Control
GSM480994,1.0382601924,0.7930181404,0.1978066607,0.4917638707,1.1190751405,0.7921578592,0.2743097221,0.8509054486,0.1574943874,1.0419284339,1.0774862790,0.5377672456,0.5038239871,1.3832526399,4.0632829964,1.5451801737,1.0760338847,0.7788655738,1.2479370682,0.3502186568,1.3171662558,0.8661567919,0.6060395644,0.2117869047,0.3932101449,0.8622164024,0.1281854299,0.2372185163,0.4278412699,1.2420181115,0.8107802283,-0.1798437973,0.4403747837,1.2335666316,1.0665142647,0.5571164027,1.9554204381,0.8655574481,0.2807522232,0.3265190722,0.1406551576,3.1111178401,0.6509801234,0.1893030123,0.6197589091,0.2673910820,0.6309802084,2.0339589692,0.3304503484,Control
