@relation data

@attribute id string
@attribute 10621 numeric
@attribute 10622 numeric
@attribute 10623 numeric
@attribute 11128 numeric
@attribute 171568 numeric
@attribute 25885 numeric
@attribute 30834 numeric
@attribute 51082 numeric
@attribute 51728 numeric
@attribute 5430 numeric
@attribute 5431 numeric
@attribute 5432 numeric
@attribute 5433 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5438 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 55703 numeric
@attribute 55718 numeric
@attribute 64425 numeric
@attribute 661 numeric
@attribute 84172 numeric
@attribute 84265 numeric
@attribute 9533 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.9404020906,0.2935356120,0.7725674619,0.5303733296,0.8751095352,0.2008899247,0.3472520234,0.9023981647,0.0620994904,0.5999198465,1.1703704466,0.9321065918,1.4741522832,0.9073006092,0.4790607486,1.7162887493,1.4991112350,2.0225933196,0.9153220130,1.7382117063,0.5806491123,0.4403497991,0.6329672182,1.2858133689,0.4965385087,1.0307717687,0.5657953464,BRCA
GSM481003,0.4884172179,0.3017853447,0.8272774742,0.5453837947,0.9287738163,0.1597507681,0.3667853262,1.1144299707,0.0960201174,0.6650603986,1.0737781454,1.1258171098,1.7355406609,0.9993794023,0.5170908664,1.9700247826,1.5653517170,2.5304655898,0.7923391349,2.0476801031,0.2550790264,0.4804655812,0.8393967250,1.2927863710,0.5047635508,0.9984209488,0.8373964438,BRCA
GSM481004,0.5799007417,0.3220629923,1.0343788486,0.7126382003,1.1852693863,0.3496965550,0.3346762372,1.1426664886,0.0387701505,0.7186753850,1.1400992890,1.2078082544,1.6407811478,0.9113441620,0.4213451779,1.9015568991,1.4534333797,2.2714820702,0.7345321434,1.6009336627,0.6014087507,0.6111049382,0.8095160304,1.0716585033,0.6577509254,1.1602818073,0.9082585516,BRCA
GSM481005,0.9651959386,0.5857814906,0.8897146792,0.5477521055,0.8842039306,0.1000552172,0.3152180591,0.8104518377,0.3165733756,0.7103806155,1.3566492122,1.0428239462,1.3264736316,0.8533831697,0.4386936296,1.7013532322,1.7193023414,1.9966017007,1.0200565478,1.9018808902,0.7810026334,0.5129538703,0.5458109777,1.1193533224,0.4969510529,1.1512824562,0.7090634045,BRCA
GSM481006,1.0807759314,0.3633669913,0.6749294058,0.5011046692,0.8027723710,0.1770868898,0.4864527663,1.1371770176,0.1551021756,0.5777717888,1.1537876290,0.8935009884,1.3338032147,1.1468729097,0.8161036820,1.9389057817,1.9559061824,1.9949334397,0.9471551222,1.5737857412,0.3455584514,0.4345050365,0.7462869198,1.1781731640,0.5778273534,1.1078984374,0.9082028208,BRCA
GSM481007,0.5043807208,0.1931929521,0.2865017037,0.2143322451,0.9310187200,0.0507915364,0.4560124915,1.0532175887,0.2289655151,0.6028448843,1.1978196736,0.9925808908,1.1345281925,1.2312760055,0.5469112565,1.5477014357,1.8655931726,2.2120503649,1.2255379280,2.0267416139,0.3261864799,0.5056066930,0.4128061583,1.1521388887,0.6017660825,0.5656717886,0.9247528228,BRCA
GSM481008,0.7842137841,0.8023700200,0.6016147946,0.6201612264,1.0101404887,0.2569300941,0.6282395625,0.8337008117,0.1954710959,0.7579538683,1.2731039599,1.2073366213,1.9825742786,1.0815599343,0.4978935979,1.6882617438,1.5542730316,3.0121067630,0.9354278338,1.7811089233,0.5569950314,0.7886105172,0.6611489497,1.1571573986,0.6019344543,0.6552203167,0.6630804169,Control
GSM481009,0.7772449198,0.3833437171,0.4381475578,0.1949775058,0.5907674773,0.0061776342,0.1987709960,0.6908349632,-0.0536692183,0.3907827812,1.1732181000,0.6326582934,1.3352790693,0.6703982333,0.2487644386,1.6573938705,0.8164385689,1.6586243511,0.5219870231,1.2621933153,0.4249932566,0.4827055344,0.2555052689,1.0098809580,0.3708207787,0.9157647359,0.3087187416,Control
GSM481010,1.2062191218,0.5517675152,0.7522239853,0.5648343187,0.9318340829,0.2350251254,0.4048966715,1.0638414165,0.0481766134,0.5453053902,1.5307855830,0.9316960965,1.5254069404,0.9289203385,0.4621615706,1.8113816211,1.6379111709,2.1416127816,0.9562062303,1.7091990142,0.8829263728,0.5626336970,0.8098163247,0.9371940070,0.6456532692,1.0574765502,0.8195864373,Control
GSM481011,0.6460539483,0.3093889356,0.1930735398,0.4644886757,1.1175465656,0.1727465264,0.5286302940,0.8355024279,0.1630272016,0.7055492616,0.9410156570,1.2711931691,1.2921597741,1.2070852319,0.7072479838,2.0018711016,1.7775148304,2.3741526338,1.2171910213,2.2196026619,0.3184439989,0.4036354136,0.7584823608,1.1976552494,0.3552309740,1.5028709107,0.5723968971,Control
