@relation data

@attribute id string
@attribute 10018 numeric
@attribute 140735 numeric
@attribute 1869 numeric
@attribute 207 numeric
@attribute 27113 numeric
@attribute 5366 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5599 numeric
@attribute 572 numeric
@attribute 596 numeric
@attribute 637 numeric
@attribute 7027 numeric
@attribute 7529 numeric
@attribute 90427 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.1524220372,0.6545094989,0.8789772263,1.9397812022,0.0239596368,1.4456629788,0.9049248654,0.5655952376,0.7139937217,0.2177100353,0.0813294935,0.7954551236,1.0284706676,2.8649117788,0.0324349749,BRCA
GSM480985,0.1118061828,0.5626409157,0.0818430733,1.4054429928,0.0785158289,1.1908403144,0.8493034308,0.4722626175,0.7487222366,0.2315313540,0.1096045168,0.8824251903,0.3033442030,2.6496851841,0.1677120386,BRCA
GSM480986,0.1247908180,0.7801658012,0.3414531027,1.7577156492,0.0129383448,0.9137061851,0.6729391185,0.5177595145,0.7966307569,0.3771760837,-0.0262396362,1.1835862659,0.7894512997,3.0484460116,0.0647069429,BRCA
GSM480987,0.0641107020,0.6791869249,0.4329001224,1.6769249506,0.0935844723,1.6374730222,0.9346764925,0.4873980932,0.7170214796,0.1247138026,0.1066961603,1.0083390245,0.7839339237,2.8611823956,-0.0478529319,BRCA
GSM480988,0.0686467013,0.5836941418,0.2557647115,1.1675294143,0.0499345936,0.5550585359,0.7414630045,0.1617906544,0.6912962379,0.0354253387,-0.0332379836,1.0864184139,0.7349518405,2.7963664452,0.1193227720,BRCA
GSM480989,0.1115567636,0.9194895384,0.6630024992,2.3074461223,-0.0185529106,0.5995011515,0.5870933372,0.4391528262,0.5911021925,0.5766588003,0.0373846114,1.1803532361,0.9755881841,2.9099976381,0.0783848653,BRCA
GSM480990,0.1162255702,0.7850042028,0.4578135087,2.3939645291,0.0284083723,0.8585260274,0.5830522417,0.4347083518,0.5124700949,0.4847173588,-0.0140931005,0.5828239298,0.9321988967,3.0515313069,0.1339803252,Control
GSM480991,0.1162118429,0.9531700880,0.2786995493,1.8290236989,0.0608475572,0.8064820518,0.6608008562,0.3957455124,0.7236467786,0.4295866277,-0.0490740068,1.2640591513,0.7361247614,2.9438177745,0.0724671993,Control
GSM480992,0.2180758546,1.0135374924,0.5189908397,2.3328941266,0.0887204598,0.3610368095,0.4972681324,0.4195187698,0.4097217267,0.4719536303,-0.0325755605,0.7394272332,0.9405100065,3.0823179564,0.1494165940,Control
GSM480993,0.1327235562,0.9398610898,0.7052419788,1.9907199673,0.0559652076,0.7839237925,0.7091649962,0.5504608139,0.7140314231,0.4597184245,0.0269303651,1.0875472625,0.8964617675,2.9598939657,-0.0087979564,Control
GSM480994,0.1356644541,0.7728999888,0.5327108407,2.2647942436,0.0594331741,0.3735528059,0.4535895987,0.3938926492,0.3175909795,0.4635025530,-0.0009334706,0.9045411969,0.7270935709,3.1602119763,-0.0450383297,Control
GSM480995,0.1184470326,0.7146521096,0.2847148575,2.2447793616,0.1322916858,2.0433951335,1.0622602218,0.4106701625,0.8682190766,0.2460421790,-0.0677927909,0.7799409057,0.6668035775,2.7772637924,0.1287714334,Control
GSM480996,0.1171696384,1.1160237807,0.6467501357,2.1184759934,0.0562771509,1.4867254742,1.1742941980,0.4686576233,0.6656352630,0.3102930195,0.0301983259,0.6183796450,1.1222156413,3.0095430215,0.0097635968,BRCA
GSM480997,-0.0058788235,0.9861937083,0.3578723763,2.3593104947,0.0989694720,0.4751989714,0.9376632374,0.3072649004,0.6271673251,0.6042272312,-0.0789440982,0.9208882858,0.6429206294,2.7525665045,-0.0072737054,BRCA
GSM480998,0.1574080871,0.9507497421,0.9194724611,2.0572760636,0.0663512783,0.7485649713,0.5803620688,0.2767297098,0.6147042501,0.3052498243,-0.0368336106,0.9302312470,1.0441173319,3.0515260857,0.1063079103,BRCA
GSM480999,0.1729335302,0.6875483227,0.2494339945,1.6031868988,0.0630828763,0.5539622719,0.6862187239,0.4406716228,0.6894101039,0.2949257643,0.1652119465,1.0165034843,0.4769015244,2.9135858059,0.1493406283,BRCA
GSM481000,0.1068627153,0.7378787317,0.3163991596,1.3439433907,0.0437753070,1.1321863076,0.9713452984,0.3498914120,0.6225341240,0.2215918433,0.0770338026,0.9381559925,0.6605458096,2.8570286354,0.1745134950,BRCA
GSM481001,0.1633215772,0.4496105313,0.0434197502,1.9257329968,0.0498298037,1.3679933092,0.8110297031,0.4660231103,0.7868789858,0.1429503735,0.0035275387,0.7412259077,0.5252281725,3.1390496413,0.1141906016,BRCA
