@relation data

@attribute id string
@attribute 27304 numeric
@attribute 348180 numeric
@attribute 4337 numeric
@attribute 4338 numeric
@attribute 4357 numeric
@attribute 55687 numeric
@attribute 7263 numeric
@attribute 81605 numeric
@attribute 9054 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1046541065,0.1835913925,-0.0275695094,1.0387998224,0.5367374590,0.1213899195,1.8886302642,0.3487004931,0.0868497249,BRCA
GSM481003,0.0351474941,0.4836797304,0.0808467501,0.6636997934,0.6639762271,0.2275939523,2.5411204631,0.4697409967,0.2764082027,BRCA
GSM481004,0.0086510456,0.2216968767,0.1434733589,1.2973571818,0.6040136359,0.1755681821,2.0710546109,0.4170341079,0.2629287562,BRCA
GSM481005,-0.0157174033,0.1807250627,0.0912384091,1.3588088153,0.3874953514,0.1516404594,2.1860967279,0.2959236775,0.1712478745,BRCA
GSM481006,-0.0130234223,0.2460678665,0.0364594842,1.1765116786,0.6893956176,0.1319246399,1.7940121921,0.4060315731,0.1564387104,BRCA
GSM481007,0.0279715231,0.2891643371,0.1333177817,0.7649447904,1.0571331326,0.1948030664,2.5652434959,0.5253585389,0.0842519884,BRCA
GSM481008,-0.0799763894,0.8943489360,0.1155438538,1.1724832058,0.7069181401,0.1424588901,2.0993581712,0.6823733889,0.2290533326,Control
GSM481009,-0.2678617326,-0.0223755304,-0.2305423240,0.9443089697,0.1858969297,-0.0889128099,1.6330875490,0.0933684384,0.1390176488,Control
GSM481010,-0.0093617129,0.2079905654,0.3059971276,1.3313191202,0.5552503921,0.2536455322,2.3874067996,0.3688666505,0.2242251494,Control
GSM481011,-0.0376883541,0.6169707021,0.3291126994,1.0192468498,0.6468949956,0.0872006248,2.7885611719,0.4778166065,0.1106650909,Control
GSM481012,-0.0197232181,0.5401588566,0.1321023042,1.2478287221,0.4461753344,0.1022066899,1.9517344103,0.4143570233,0.2268418650,Control
GSM481013,0.0063148695,1.1066331751,0.1256404151,1.0922441682,0.8947960560,0.2736675973,2.4335176216,0.7674795877,0.3994532591,Control
GSM481014,-0.0796061249,0.8374103531,0.0440298518,1.3572679493,0.9073852914,0.4782729005,1.9409295189,0.3428104231,0.2260993166,BRCA
GSM481015,-0.0444279286,0.6556325571,0.2063622534,0.6772648460,0.7879811493,0.2375348946,2.4662240877,0.5764696192,0.2049548687,BRCA
GSM481016,-0.0109335349,0.3006850389,-0.0500361202,1.4964213173,0.3451239350,0.1382210445,1.9094206749,0.3356654103,0.0947442504,BRCA
GSM481017,-0.0729385739,0.1436236618,-0.0485900242,1.4214111501,0.2401112511,0.1453913245,1.1122140898,0.2083988211,0.1162684025,BRCA
GSM481018,-0.0586330941,0.5957937353,0.2075828861,0.9366542398,0.4975999810,0.0789418139,1.8741399433,0.4281979377,0.2260147854,BRCA
GSM481019,0.0541202108,0.5264089631,0.1723917957,1.1379534800,0.7966766026,0.2653716255,2.6107588674,0.4551749953,0.2928700247,BRCA
