@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10298 numeric
@attribute 112398 numeric
@attribute 112399 numeric
@attribute 1387 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 201163 numeric
@attribute 2033 numeric
@attribute 2034 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2113 numeric
@attribute 2271 numeric
@attribute 2277 numeric
@attribute 23533 numeric
@attribute 2549 numeric
@attribute 2885 numeric
@attribute 2889 numeric
@attribute 3082 numeric
@attribute 3091 numeric
@attribute 3265 numeric
@attribute 369 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 405 numeric
@attribute 4233 numeric
@attribute 4893 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5155 numeric
@attribute 5228 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 54583 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5781 numeric
@attribute 5879 numeric
@attribute 5894 numeric
@attribute 5906 numeric
@attribute 6513 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 7039 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7422 numeric
@attribute 7423 numeric
@attribute 7424 numeric
@attribute 7428 numeric
@attribute 8453 numeric
@attribute 8503 numeric
@attribute 9915 numeric
@attribute 9978 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,0.7444360137,0.0663821852,0.1613771930,0.6728254087,1.7323923409,1.2744317606,0.2344156038,1.8174475579,0.3333520180,1.9397812022,0.1866127024,1.0538994806,1.0553807621,-0.0629719339,-0.0448427393,0.1568159528,1.3452941188,0.3178953150,-0.0906822892,1.8091058754,1.0380567778,0.4352205655,0.7463167697,0.4153290968,0.4789999664,0.8759700277,1.3243965731,0.3334267199,1.9176566821,0.2940123944,0.1111394250,0.0673178224,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,0.1698759370,0.5276523813,0.4586358647,0.0778244350,0.6115640560,-0.1086105190,0.6681025633,2.7923812542,0.6409841057,0.5759782564,1.3464175017,0.1797246685,0.5492388602,0.3043230119,0.6874072086,-0.0716510054,1.2115081400,0.2120186358,1.3665688769,0.0686248548,0.8612987929,0.2761754226,0.9090813623,0.8580704628,-0.0216060693,2.1878641161,0.2693405723,BRCA
GSM480985,0.6712534413,0.6800185540,0.0696221088,0.3717576172,0.6472114695,1.8688574894,1.0173018566,0.3196836460,1.6404941344,0.3492773199,1.4054429928,0.2867683454,0.9065748011,0.7269123974,-0.0129602510,-0.0263181581,0.2529188136,1.1583383579,0.4014708128,-0.0898872891,1.9684665731,0.5481084954,0.4021199361,0.9612028782,0.4587173745,0.5797612157,0.7798522333,0.8611773475,0.5376056928,1.5525041097,0.9674722773,0.1417041606,-0.0204180353,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,0.1786725581,0.4521202200,0.5649788797,0.0538346215,0.2890646078,-0.0886895525,0.5670814931,2.9129755730,0.6127393824,0.6223576221,0.7513453467,0.2011654340,0.6409502427,0.3713752488,0.4516910960,0.0824852629,2.2415468245,0.3937102099,1.2024457616,0.1525115207,0.9331703361,0.1926531600,0.7436182985,1.1287610356,-0.1003643756,1.9761838061,0.2437138550,BRCA
GSM480986,0.3637514705,0.9048564412,0.1017797560,0.8538892233,0.7199448316,1.9836026755,1.3584635346,0.2268882039,1.9671993852,0.4155260286,1.7577156492,0.2145363198,1.0341746304,0.9591500253,-0.1302052508,-0.0236322101,0.1934399384,1.5127595663,0.4010225801,-0.1205275572,1.7601516247,0.9493732134,0.4833758425,0.9059672051,0.4106089262,0.5630136645,0.9021996147,1.3830056341,0.5214103467,2.0052070367,0.4927383830,0.1096048629,-0.0447395305,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,0.3411586140,0.5276161861,0.5706250406,0.0844743560,0.3945332915,-0.0471249062,0.6322140187,3.0052631994,0.4839221177,0.3411915212,1.5701801711,0.0952468054,0.4793911673,0.3954231461,0.7014513494,0.0753126589,1.7475938090,0.3265607800,1.2605346517,0.0833565186,1.1830323526,0.2804196700,0.6386430078,0.9668687962,-0.0844601572,1.9765978370,0.2337614380,BRCA
GSM480987,0.4741756265,0.5215355268,0.1149770578,0.2545698777,0.6522740087,2.0277992866,1.4724773936,0.2715740477,1.9626392814,0.7969365079,1.6769249506,0.2593453904,1.2893649143,0.8919026117,0.0969642452,-0.0190172376,0.0150168047,1.4599798470,0.3367471980,-0.0090221537,2.1107997927,0.6616964770,0.4795592507,1.2356612913,0.2296363310,0.6129394923,0.2276951068,1.3380605279,0.4951465396,1.8267602669,0.1303720306,-0.0844146820,0.0734348032,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,0.2194889148,0.4570317386,0.5260457562,0.0511663564,-0.0295104620,-0.0378936660,0.4882750814,3.1002503070,0.3882937707,0.3683751977,0.5868319288,0.0700896732,0.1445394283,0.2871097813,-0.0404288970,0.1392795458,0.3280445553,0.7380631556,1.0447641260,0.1967300554,0.7070286259,0.2834855569,0.6064468550,0.1919102957,-0.0221448200,1.9492992501,0.2226472523,BRCA
GSM480988,0.3666419161,0.9508889556,0.0241301061,0.8552687135,0.6896800634,1.5429041887,1.2323150354,0.1708699822,1.8828163351,0.4069513985,1.1675294143,0.1712146028,0.5734419211,0.7964728831,-0.0832899991,-0.0933597851,0.0162218561,1.6300611323,0.1791264165,-0.0750667196,1.6976259146,0.4589619954,0.3179003717,0.5378554523,0.2562269165,0.5558981230,0.6423381358,1.0662603861,0.4710813121,1.9803916247,0.2542246198,0.1243722733,-0.0289066475,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,0.4667089506,0.4923907940,0.4829891018,-0.0383270433,0.4609995752,-0.0761343380,0.3691913686,3.0203843170,0.4704262694,0.1660498078,1.3603920108,0.0896705153,0.3725107078,0.2504118828,0.4312892117,-0.0270612048,1.3875513934,0.3109506394,1.1743175082,0.1766428340,0.8957621546,0.3362991625,0.6263642386,1.0844853694,0.0022664317,1.5272548286,0.1930281139,BRCA
GSM480989,0.2517094096,1.1523790095,-0.0137662699,0.9119509496,0.5010443183,1.7117121220,1.5450224582,0.3631871452,1.8141472619,0.3969090892,2.3074461223,0.2270790681,0.6215369407,0.8969154216,-0.2187389196,-0.0318046184,0.0295218532,1.6843677122,0.4287965108,-0.0368859072,1.4947991996,1.1103506463,0.4588489833,0.5993327181,0.2400973081,0.4375504357,0.7024636094,1.2916537300,0.5198385118,1.8099314634,0.1801736687,0.0830807900,0.1523999498,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,0.3086027509,0.4168803811,0.8519349658,0.0375365682,0.3935015834,-0.0274831994,0.3199180766,3.3091132243,0.4437155496,0.2493194217,1.7297552293,-0.0037837656,0.2630944657,0.2245239546,0.5828868937,0.0133025040,1.2185817174,0.1787676166,1.3540151653,0.2277008619,0.8898641691,0.5611702317,0.2396193660,1.0210926999,-0.0474988749,1.6914763451,0.2852107126,BRCA
GSM480990,0.3166647480,0.9801169453,0.1492496802,0.5527271259,0.6429370626,1.7694421830,1.5518309150,0.3568575100,2.2293557487,0.6559870842,2.3939645291,0.2749733657,0.7611951813,0.5011959878,-0.1126115849,-0.0240894286,0.0224591854,1.6475978081,0.5643529125,-0.0446085129,1.9377601024,1.1067612915,0.4235380454,0.9502829010,0.3191353141,0.5236334685,0.5615265150,0.9421872181,0.6607572544,2.1385234782,0.5839403074,-0.0246153800,0.5197653237,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,0.2352809587,0.4040678319,0.5468216389,0.1245269666,0.6784652798,-0.0090193702,0.5040703920,3.4219261243,0.3387474729,0.3149603538,1.9028176201,0.0120991491,0.3107558547,0.2258322309,0.7241745215,0.2451527447,0.8158590440,0.1661497030,1.2007730559,0.1460647002,1.3386224535,0.3248459797,0.3154732271,0.6030732589,-0.0328587839,1.3563763670,0.1617002876,Control
GSM480991,0.2500861962,1.1151435263,0.0627673378,0.4505404260,0.7013037075,1.7440137619,1.3442317928,0.3524559115,1.8172405640,0.3973295954,1.8290236989,0.2449685031,0.7628319399,0.7217283715,-0.0630702980,0.0096481766,0.1424582922,1.5652074934,0.5228143445,-0.1119926799,1.5899892264,0.9763167946,0.4692680691,0.9142568514,0.3643042232,0.4801218219,0.7570488190,1.1985398679,0.5980931108,1.9004271532,0.3437215163,0.1555605578,0.0515845982,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,0.2390660010,0.5071865046,0.6482640730,0.0588836264,0.3850563242,-0.0346813186,0.4281628126,3.2534763878,0.3654298311,0.3179211385,1.5302052647,0.0441448208,0.3851343730,0.2893171571,0.6411663020,0.1592403697,1.9517531172,0.4247659047,0.9592461894,0.1525863922,1.1394003779,0.2157081409,0.4339833241,1.0204976901,0.0108790331,1.6609341250,0.2150321878,Control
GSM480992,0.2476967987,1.4277543859,0.0870898761,0.6633700411,0.7777832307,1.4854351587,1.3367420178,0.3737276310,2.5581991299,0.5169778915,2.3328941266,0.3295684198,0.6125165013,0.4631295692,-0.0990531928,0.0098416810,0.1112684448,1.5792976092,0.6530415769,-0.0559256946,1.7774791785,1.1827308424,0.6180237605,0.5848525959,0.2580534183,0.5257101798,0.4905067957,0.6252961718,0.4647197556,2.0045540961,0.3293317450,0.1326202285,0.0281387187,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,0.2581555042,0.4130200728,0.9082788116,0.1346057261,0.8328277925,-0.0477632556,0.3612510420,3.4460021522,0.3105769333,0.2146456959,2.0403656530,0.0183351703,0.4019502806,0.4011166239,0.6336876206,0.2146601245,1.2877959238,0.3493119074,1.1849431228,0.2981126251,1.3555579576,0.1030871928,0.3037052639,0.7441449755,-0.0653454027,1.2825294479,0.2135051408,Control
GSM480993,0.3786722400,1.1702798946,0.0380838842,0.7317988556,0.7884631976,1.8096325479,1.3998474208,0.2761934924,2.1836648658,0.4183238989,1.9907199673,0.3003267815,0.9053103380,0.8438830453,-0.1284564684,0.0090587195,0.1246793050,1.5582134934,0.4334439807,-0.1118735073,1.7126867690,0.9945207685,0.5771721326,1.0657076714,0.2800151646,0.5307821457,0.6604025472,1.2895348594,0.5712389041,1.9982736738,0.2987102078,0.1729075173,0.2163620768,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,0.3173933882,0.4741801064,0.7940912880,0.0415849929,0.6463455347,-0.0256107600,0.5473878640,3.0886874926,0.3602931440,0.3858551905,1.5635050104,0.0562111053,0.4506590302,0.4162600737,0.7486550461,0.1564938422,1.7717089691,0.2084418686,1.2268478014,0.1946181442,0.9047903614,0.3742510699,0.2897853115,1.0595477061,-0.0517179642,1.5892600333,0.2080415856,Control
