@relation data

@attribute id string
@attribute 10714 numeric
@attribute 23649 numeric
@attribute 5422 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 57804 numeric
@attribute 5981 numeric
@attribute 5982 numeric
@attribute 5983 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4357111652,0.0878751939,0.0603612382,-0.1353485043,0.3578091349,-0.0795651324,-0.0325809552,0.6588075593,0.3816795254,0.3153306678,-0.0087363862,0.7234004603,1.0373973295,BRCA
GSM481003,0.2274992413,0.3134257992,0.0027308773,0.0028041706,0.3861183389,-0.0982767486,-0.0169048130,0.5469102347,0.2651754541,0.1976965829,0.0045687593,0.4106555960,1.0455711573,BRCA
GSM481004,0.4892555573,0.2231258520,0.0486587746,-0.0832465394,0.3749461847,-0.0912889238,-0.0756952716,0.3739375479,0.1874095585,0.2921950936,-0.0067063898,0.7671577072,1.0033372874,BRCA
GSM481005,0.4787933329,0.1721082739,0.0227510889,-0.1238241902,0.2782131666,-0.0960048779,0.0541239166,0.5725545524,0.5792565216,0.1621993348,0.0302901914,0.3827385456,0.8526280613,BRCA
GSM481006,0.7219746874,0.1153987155,-0.0420513736,-0.1093718979,0.3756188528,-0.0376998961,-0.0124659330,0.7732842431,0.4449059242,0.2121967876,0.0378120298,0.6132007042,1.0749186548,BRCA
GSM481007,0.0016192900,0.0960486509,-0.0358105850,0.0210265649,0.3911774081,-0.1368291117,-0.0834962379,0.7441768796,0.3915002394,0.2412814564,-0.0242566722,0.5289818927,0.5846992452,BRCA
GSM481008,0.8999093904,0.4340666698,0.1874638443,0.5310698947,0.5350037411,0.2419769994,-0.0534626984,0.4578721970,0.6097803118,0.8295181207,0.2028517701,1.6502472160,1.2286708913,Control
GSM481009,0.3607809759,-0.1304075974,-0.0327812024,-0.3359343167,0.1465625460,-0.1071946226,-0.1098337934,0.3970553539,0.3624271641,0.0296385280,-0.0177333261,0.4518495524,0.8489706275,Control
GSM481010,0.7100994288,0.1652347021,0.0435483375,-0.0939168603,0.2753915236,-0.0654773861,0.0461212377,0.4094827466,0.7186442502,0.3255983432,0.1257149231,0.7624567913,1.0612251826,Control
GSM481011,0.0915678958,0.1211855995,-0.0011738166,-0.1571170169,0.3933382846,-0.1127375636,0.0537881824,0.6017916450,0.1393381451,0.2367916029,0.0021528411,0.6490977473,0.6507059951,Control
GSM481012,0.6262563713,0.0362383212,0.0220139114,-0.0133819112,0.3163273789,0.0274261234,-0.0374116781,0.4187992348,0.5746602456,0.2496029043,0.0227033037,1.0036828053,0.8933634832,Control
GSM481013,0.4998131857,0.6586367496,0.2024255826,0.5365374665,0.6395328410,0.2205943341,0.0074675469,0.7267436689,0.3339142816,1.2873631679,0.2831630782,1.4034231240,1.0994997221,Control
GSM481014,1.4854790369,0.2972711836,0.4732319817,0.1802582552,0.3229393822,0.1606062993,-0.0073850268,0.4839541981,0.6460262197,0.1017565326,0.2470475032,1.3544055622,0.6918012156,BRCA
GSM481015,0.4798411892,0.1141904337,0.1182136019,0.0893225162,0.6051005846,-0.0208668464,-0.1160813094,0.8907621197,0.4062648660,0.4755129790,0.0103399643,0.5421572990,0.7778604344,BRCA
GSM481016,0.7851841086,0.2402185850,0.0474697691,-0.1635931290,0.2937144812,0.0284363271,0.1315849521,0.4347571201,0.3918142010,0.2817153181,0.1854757754,0.7921826474,1.2164269712,BRCA
GSM481017,1.1674729452,0.1430401979,0.1478417003,-0.1239681861,0.1135405685,0.1952305238,0.1090673134,0.3434726229,1.0234548244,0.2879090218,0.4047024174,1.4448294242,1.0593109268,BRCA
GSM481018,0.7310503422,0.1118563431,-0.0184005817,-0.0878180037,0.3471573350,-0.1482487104,0.0048227181,0.3492762132,0.0818060624,0.3166783945,0.0224053894,0.4968777198,1.1557748077,BRCA
GSM481019,0.6729193529,0.2626897836,0.1126415118,-0.0334627991,0.3330821100,0.0717124319,-0.0227419842,0.8479316493,0.5420698534,0.4642192070,0.1525209425,1.1974935332,0.8920840373,BRCA
