@relation data

@attribute id string
@attribute 1437 numeric
@attribute 1440 numeric
@attribute 2056 numeric
@attribute 2322 numeric
@attribute 3479 numeric
@attribute 3552 numeric
@attribute 3562 numeric
@attribute 3569 numeric
@attribute 3578 numeric
@attribute 3589 numeric
@attribute 4254 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1695937390,-0.0375441256,-0.1176714556,-0.1022564159,-0.0297777642,0.2482422408,-0.0373341867,0.1266020980,-0.1075433137,0.0237731130,0.3179116794,-0.0716510054,1.2115081400,0.2120186358,BRCA
GSM480985,-0.1215593730,0.2360492327,-0.1037268143,-0.1507234600,-0.0726949804,-0.0314154737,-0.0726235659,-0.0603622181,-0.1736836843,0.0411344272,0.0523702992,0.0824852629,2.2415468245,0.3937102099,BRCA
GSM480986,-0.1289680449,-0.0736170338,-0.1132036032,-0.1205043421,-0.0318582082,0.0009803817,-0.0494047877,0.1871303074,-0.1923048248,-0.0552405515,0.2355091976,0.0753126589,1.7475938090,0.3265607800,BRCA
GSM480987,-0.1630511601,0.6482088058,-0.0976477797,-0.0620984703,-0.0316742232,-0.0380365687,-0.0800775427,0.4079698621,-0.1336183191,-0.0182761503,0.5712358197,0.1392795458,0.3280445553,0.7380631556,BRCA
GSM480988,-0.1010744666,-0.0823529740,-0.0829715523,-0.1165077854,-0.0315514604,0.3082212135,-0.0292149216,0.0463543034,-0.1220734088,-0.0936349110,0.1278660525,-0.0270612048,1.3875513934,0.3109506394,BRCA
GSM480989,-0.2037951662,-0.0650946480,-0.1080504811,-0.0670738797,-0.0311918096,0.0643515889,-0.0545651176,0.0336776683,-0.1638495176,-0.0578093122,-0.0080775078,0.0133025040,1.2185817174,0.1787676166,BRCA
GSM480990,-0.1786900770,0.9507265409,-0.1247069044,-0.0467009520,-0.0190866980,0.8070518219,0.0218796361,0.1569095779,-0.1082705263,-0.0445603892,0.1356341301,0.2451527447,0.8158590440,0.1661497030,Control
GSM480991,-0.2068232434,-0.1556206161,-0.0465131439,-0.1373325728,-0.0214013296,0.0797228272,-0.0695734364,0.0010899390,-0.0975519806,-0.0720862555,0.1490339893,0.1592403697,1.9517531172,0.4247659047,Control
GSM480992,-0.2047364831,-0.0647908387,-0.0682990459,-0.0870041018,-0.0093784845,0.2392629278,0.0362902686,0.0448783156,-0.1449303487,-0.0722120477,0.0563978053,0.2146601245,1.2877959238,0.3493119074,Control
GSM480993,-0.1150382765,-0.1131959442,-0.0959958962,-0.0715624650,-0.0238642222,0.1554126427,-0.0319663664,0.2203348601,-0.0816621768,-0.0032965585,0.0958840129,0.1564938422,1.7717089691,0.2084418686,Control
GSM480994,-0.1166294508,-0.1167346010,-0.0687242486,-0.0750758963,-0.0594751502,0.0092144356,-0.0165861143,-0.0132220273,-0.1751840579,-0.0787200359,0.0190410748,0.0934973689,1.2352868021,0.2830755136,Control
GSM480995,-0.0639285749,1.1823750336,-0.0938483744,-0.0742187684,-0.1016897391,0.7119868958,-0.0319906661,0.5635550436,-0.1317230023,0.2862479181,0.1412264558,0.1511007185,2.3456005381,0.1914759521,Control
GSM480996,-0.0839530855,0.2896789221,-0.1388620738,-0.0437998887,-0.0370156614,1.5393664896,-0.0269987019,0.1782354847,-0.1418905274,0.0313396494,0.1866163734,0.0848866863,0.6386009913,0.1289199999,BRCA
GSM480997,-0.1966669837,0.1274556629,-0.0798548029,-0.0728330493,0.0257017259,0.1679684529,0.0107739699,2.3767256472,-0.1022146778,0.0480207875,0.1350655960,0.3728498855,0.8925107346,0.6407599561,BRCA
GSM480998,-0.1191967820,-0.1184361971,-0.0838235843,0.0033897751,-0.0219867196,0.1222713261,-0.0067737223,0.1403453867,-0.0803240450,-0.0231797617,0.1498279293,0.1152363276,1.0785086547,0.1666841402,BRCA
GSM480999,-0.1922475453,-0.0942287322,-0.1145787632,-0.1356930814,-0.0540452566,0.1151532227,-0.0282344856,0.1884283967,-0.1388575386,-0.0353428321,0.1703136018,0.0736307908,2.4733070583,0.3111374271,BRCA
GSM481000,-0.1407545946,-0.1225408824,-0.0716599883,-0.0912318449,-0.0431644030,-0.0575905084,-0.0708965229,-0.0521955974,-0.1371834230,0.0035799987,0.1449846658,-0.0405476010,1.9039973021,0.2146003932,BRCA
GSM481001,-0.1228888870,-0.0335046278,-0.0972328039,-0.1233948674,-0.0083907793,0.5641505893,-0.0766510171,0.7543909830,-0.2188020320,0.0658211525,0.1320679537,-0.0092960717,2.2544402554,0.0674371846,BRCA
