@relation data

@attribute id string
@attribute 10157 numeric
@attribute 10919 numeric
@attribute 1892 numeric
@attribute 1962 numeric
@attribute 217 numeric
@attribute 219 numeric
@attribute 223 numeric
@attribute 224 numeric
@attribute 23067 numeric
@attribute 23127 numeric
@attribute 2639 numeric
@attribute 29072 numeric
@attribute 3030 numeric
@attribute 3033 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 4297 numeric
@attribute 4967 numeric
@attribute 51111 numeric
@attribute 51166 numeric
@attribute 51268 numeric
@attribute 5351 numeric
@attribute 5352 numeric
@attribute 54904 numeric
@attribute 55753 numeric
@attribute 55870 numeric
@attribute 55904 numeric
@attribute 58508 numeric
@attribute 6419 numeric
@attribute 64324 numeric
@attribute 6839 numeric
@attribute 7468 numeric
@attribute 79709 numeric
@attribute 79723 numeric
@attribute 79813 numeric
@attribute 8085 numeric
@attribute 80854 numeric
@attribute 83852 numeric
@attribute 8424 numeric
@attribute 84444 numeric
@attribute 84787 numeric
@attribute 9739 numeric
@attribute 9757 numeric
@attribute 9869 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.3593058226,0.1621143985,2.6660028845,0.2505638963,1.3596210412,0.7289875286,2.8428906733,0.2975739609,2.5767662377,1.5376189648,0.0600116474,0.2421765454,1.3110771498,0.9244120855,0.2329695442,0.8043620022,0.1471739134,0.1014964005,0.1030011864,-0.1664306341,-0.0051024450,1.9015831649,2.3780309434,0.3581604250,0.0757310340,0.1240321839,0.7709345473,0.1618334835,-0.0371846138,0.2571025984,0.0717436257,0.1528465492,0.9964554446,0.0320923570,0.0880609917,1.8373507844,2.0146867037,-0.1196626228,-0.1344212421,-0.1113009891,-0.1353720577,0.9778874704,-0.0128456326,0.2896157701,BRCA
GSM481003,0.0166729242,0.2756867607,3.2305892409,0.1019095926,1.3603782851,0.5956070592,2.2803979187,0.5232550384,2.8772792817,0.7311022560,0.3219359535,0.1845430598,1.1338240419,1.0252349251,0.1626574735,0.6590264871,0.0844726431,0.0486644649,0.0530757676,-0.1243021974,0.3430648993,1.9874511826,1.8715593192,0.2948942070,0.1209927746,0.1287684366,0.6882958424,0.1711451771,-0.0589980235,0.2857595184,0.2060155213,0.1651215678,1.0427193608,-0.0114890665,0.2455736973,2.2309824058,1.6605991324,-0.0594199218,-0.1384841641,0.1179534179,-0.0856340174,1.1704318618,0.0239168711,0.2339046777,BRCA
GSM481004,0.2473668271,0.4762653237,3.1848408877,0.0615678967,1.5765960482,0.5920443669,2.6771345403,0.4387184336,2.7264762967,1.5111132710,0.3702530919,0.1945568400,1.4512041233,1.1561475694,0.1535801164,1.2142931753,0.0604362590,0.0970933052,0.0044338778,-0.1702644243,0.1749582638,2.7397257554,1.9128699408,0.3816598899,0.1324940018,0.1258299396,0.6550256098,0.1628089239,-0.0587081216,0.3832284626,0.2780198564,0.3209919491,0.9786759531,0.0375675071,0.2429887882,1.9050808655,1.8861925868,-0.0441616918,-0.1501162068,0.0499616062,-0.0965047738,1.0804272080,0.0537342452,0.3689349022,BRCA
GSM481005,0.4864396438,0.1880436059,2.6756236701,0.1532871830,1.1894485554,0.7706936300,2.1997977231,0.2393710208,2.5814590305,1.0859189778,0.2195510766,0.2889751179,1.1165049651,1.1556717095,0.1946560883,0.5150022018,0.0958263671,0.0370098016,0.1384831514,-0.0175042200,0.8246687104,2.1280933023,2.5874539684,0.5265306185,0.0425052633,0.2048459668,1.0531913240,0.3231720032,0.0025014398,0.3555336354,0.0546639478,0.0976746387,0.7232587535,0.0640922879,0.2016440274,1.8997343561,2.5744662021,-0.0008851719,-0.0905960013,-0.0205904515,-0.0774792417,0.8978493149,-0.0040517374,0.2476928992,BRCA
GSM481006,0.3347874926,0.2479284624,2.5622581394,-0.0091416504,0.9011514651,0.7918512212,2.4002272552,0.3883146761,2.7299961598,1.2480796427,0.4139217434,0.3326868279,0.9434966796,1.1247779455,0.2236505037,0.5390144610,0.1386643491,0.0995135659,0.0965919632,-0.0117081350,0.4402536238,1.8189290729,2.5514805246,0.4859979800,0.0211164680,0.1742851555,1.0925320708,0.3069318166,-0.0599969347,0.4284087630,-0.1132261074,0.1921996279,1.0596562096,-0.0044455471,0.2054852401,2.1671749905,1.9350755612,0.0353020955,-0.1294410884,0.0149021863,-0.0824962279,1.2798777055,0.0197841699,0.2825205033,BRCA
GSM481007,0.4693443904,0.5069803679,2.6799716949,-0.0824301871,1.1416312754,0.8333636560,2.1771405738,0.5255545913,2.8286245017,1.7034501879,0.3975271427,0.2479405755,0.6343219104,1.0988051215,0.1464285038,0.4731118953,0.1428726501,0.0487666074,-0.0448718577,-0.1357851355,0.2099103099,1.8171757858,1.9471270066,0.5606191864,0.1447800740,0.1771017340,0.7453686108,0.2743952232,-0.0298623596,0.2497229323,0.1743413273,0.1211571916,0.8076902326,-0.0664808499,0.2221948026,2.1162002732,1.4302908314,-0.0199437244,-0.0360699358,-0.0128477246,-0.0952449453,1.4912126663,0.0765863636,0.1538321594,BRCA
GSM481008,0.3190039536,0.4048423872,2.8481054308,0.0738928081,1.7179112501,0.2407050450,2.0121529632,0.1811918107,2.7904527636,0.3440684240,0.5214457038,0.4705099077,1.0770134501,1.0020162798,0.2066257624,1.0673959981,0.1692341218,0.0648288636,0.1001831448,-0.0691217686,-0.1111630627,2.2703409128,2.0558422812,0.5453115893,0.0809079138,0.2407990430,1.3621656553,0.2774010284,-0.0046472874,0.4973845268,0.9275323402,0.5737231389,1.3575588666,0.2032531864,0.3515924760,2.1963373986,1.7169565888,0.0142097946,-0.0597391334,0.3486857886,-0.0785921592,1.2034866342,0.1849146725,0.1470191458,Control
GSM481009,0.2398070552,-0.0389166814,2.0697222800,-0.0799766013,1.5246361561,0.3136098313,2.8812776672,0.0613896178,2.3947028369,1.3589904757,-0.0184499093,0.2801268914,0.8158988580,0.7607716068,0.1189971501,0.3859830366,-0.0150411878,-0.0086393547,0.0237833648,-0.1681183784,0.1315968864,1.5588829591,2.2410585508,0.3405288959,-0.0190244792,0.0595074208,0.8613122721,0.1054027847,0.0261513730,0.2356646625,-0.0624291556,0.0348988825,0.7801656794,-0.0308219143,0.0982919558,1.7901783130,2.0328076020,-0.0601486798,-0.1454765669,-0.1500104688,-0.2361819234,0.5090552178,-0.1120104555,0.0572881215,Control
GSM481010,0.2650153176,0.3184873744,3.1086775659,0.2136401419,1.4316206639,0.5528815033,2.5246802834,0.6241290761,2.1230981312,1.0331399960,0.3125310836,0.3152031232,1.3943034368,1.2880304034,0.2771623034,0.9721961287,0.1417668639,0.0751152021,0.1990361604,-0.1036067594,0.1419140661,1.7169461634,2.9290174177,0.5838360390,0.0228029536,0.2026379245,1.1951800932,0.3031812789,-0.0058417998,0.3975533409,0.1315826969,0.2686935369,0.9584675925,0.1425821185,0.1431894965,1.5389072332,2.2990598811,0.0174668882,-0.1531952964,0.0542099936,-0.0494023850,0.7843211248,0.0055884627,0.2832822168,Control
GSM481011,0.2455049252,0.3495679153,2.9903289974,-0.0053312622,1.3559073807,0.5797773188,2.1697107354,0.2239222685,2.8859373629,1.5511890949,0.4291231129,0.2195566291,0.6216208733,0.8517637458,0.1217276184,0.3153266054,0.0011229114,0.0559968131,-0.0071105111,-0.0368525576,0.4028227371,1.9093536767,1.8289534442,0.2402279153,0.0795947021,0.1050526007,0.6093304643,0.1042965174,-0.0678118459,0.2751542283,0.1664848742,0.0807544647,0.8877163139,0.0977058420,0.2067055857,1.9990659882,1.6735144787,0.0723636374,-0.1522274588,0.0442488191,-0.1156742587,1.1416160443,0.0090945040,0.2095594145,Control
