@relation data

@attribute id string
@attribute 10327 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 130 numeric
@attribute 130589 numeric
@attribute 131 numeric
@attribute 160287 numeric
@attribute 1737 numeric
@attribute 1738 numeric
@attribute 2023 numeric
@attribute 2026 numeric
@attribute 2027 numeric
@attribute 217 numeric
@attribute 218 numeric
@attribute 219 numeric
@attribute 220 numeric
@attribute 2203 numeric
@attribute 221 numeric
@attribute 222 numeric
@attribute 223 numeric
@attribute 224 numeric
@attribute 226 numeric
@attribute 229 numeric
@attribute 230 numeric
@attribute 2538 numeric
@attribute 2597 numeric
@attribute 26330 numeric
@attribute 2645 numeric
@attribute 2821 numeric
@attribute 3098 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 3945 numeric
@attribute 3948 numeric
@attribute 5105 numeric
@attribute 5106 numeric
@attribute 5160 numeric
@attribute 5161 numeric
@attribute 5162 numeric
@attribute 5211 numeric
@attribute 5213 numeric
@attribute 5214 numeric
@attribute 5224 numeric
@attribute 5230 numeric
@attribute 5232 numeric
@attribute 5236 numeric
@attribute 5313 numeric
@attribute 5315 numeric
@attribute 55276 numeric
@attribute 55902 numeric
@attribute 57818 numeric
@attribute 669 numeric
@attribute 7167 numeric
@attribute 80201 numeric
@attribute 83440 numeric
@attribute 84532 numeric
@attribute 8789 numeric
@attribute 92483 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.5914965142,-0.1184595487,-0.0819628058,0.0639061207,-0.0474966607,0.4512813032,-0.1171698399,-0.0779144642,-0.0431909139,-0.1389097128,1.6538785774,1.9244245523,1.1540563426,1.4770269913,-0.1143981450,-0.0491912957,-0.2668245116,0.1755788683,2.2757667639,-0.0691138696,0.4412502707,0.1855376018,1.8984102209,0.8929987569,3.1191021204,-0.1004817850,0.8104996549,-0.0784885340,3.3569518727,-0.1493900672,-0.1242674589,1.1574663612,1.3994206257,1.7011339678,-0.1480660112,2.8475438630,0.0758108609,-0.1444264617,0.9376104511,1.8357770517,-0.0267000546,1.4911907650,0.4608132554,1.6823871507,2.1811593638,-0.1377829202,2.4528030482,-0.0608627491,2.1000959609,0.1637492007,1.2124351915,1.2118067468,0.6766642820,-0.0793040055,0.2664957666,1.0061979023,-0.1124818271,1.0233695146,-0.1330956006,-0.1115180363,-0.1208167450,BRCA
GSM480985,0.6176835527,-0.1736984102,-0.0777201239,-0.0840815690,-0.1239447238,0.4537475746,-0.0842592612,0.1572290764,-0.1364401982,-0.2447528872,1.0647046190,1.4256233209,0.9892546585,1.1891173498,-0.0348445209,0.0875286907,-0.1929265186,0.1119160410,2.5364193469,0.1039610561,0.2577863175,0.2066240002,2.1269488334,0.8534813434,2.8172023893,-0.1190508436,1.1119598416,-0.0786857502,3.2649053733,-0.0903156561,-0.1258860016,0.8091977908,1.3098771902,1.3442627093,-0.1439106563,2.6075811633,0.0630558709,-0.1927850867,0.6580576253,1.6363720596,-0.0095743922,1.5224317424,0.6562312139,1.5224550367,2.0769849486,-0.0767881525,2.0595349175,-0.0482797114,2.2909064160,0.1821799505,1.2593281625,0.8670244665,0.8515447889,-0.0944521300,0.4667138689,0.7876512851,-0.1174212970,0.8223974787,0.0334283203,-0.0920141229,-0.1584236623,BRCA
GSM480986,0.5879962977,-0.1163695061,-0.1226958090,0.2793033820,-0.0750018385,0.4503131894,-0.0887073536,-0.0863036531,-0.0224965492,-0.2156682577,1.5110943032,1.7199706966,1.2265099656,1.2240091974,-0.0169130189,-0.1099596126,-0.1758285071,0.2063474548,2.3085654899,0.0670729885,0.4701460945,0.3686680294,2.3948222002,1.1061738514,3.1729900839,-0.1122202069,1.3892087210,-0.0731760619,3.7341542243,-0.1119092240,-0.0910298228,1.1176056136,1.6515836384,1.8043109128,-0.1370047250,2.7397878072,0.5211776586,-0.1530094652,0.6324311237,1.5470184610,-0.0332451498,1.7284169421,0.7415232734,1.5664965882,2.4997676479,-0.1016126425,2.7481482083,-0.0726953811,2.5644266208,0.0966888740,1.1911504927,1.1603958395,0.6071804908,-0.0920272790,0.2847679494,1.1751203536,-0.0587125160,0.8190340991,-0.0726155119,-0.1279156161,-0.1647878463,BRCA
GSM480987,0.6328920253,-0.0212055102,1.9168397054,0.2749229120,-0.0534404774,0.6368812371,-0.0266269070,0.9890041925,-0.0110032620,-0.1553564064,1.2418197937,1.3682376973,1.2667937372,1.2003767714,-0.0841759911,1.7816735108,-0.1885776429,0.3015840252,1.4595536796,-0.1258200759,0.1898994365,-0.0787535312,2.2666113508,0.7192438530,3.0307256580,-0.1362416810,0.4193452911,-0.0398672999,3.6346909207,-0.1404926991,0.0194667790,0.9951029609,1.4759236767,1.6637811182,-0.1325641309,2.9885296028,0.0414810100,-0.0867086934,1.1945999551,1.2487467602,0.0653704754,1.2465465888,0.4356939420,1.9207103552,2.0673179230,-0.0581494030,2.4801952812,-0.0881550298,2.1161691348,0.0097332111,0.7729866667,0.6631150356,0.3508882271,-0.0684294301,0.0274271693,1.0250765123,-0.0792917933,1.0349260739,-0.0438883776,-0.0662233863,-0.1317364947,BRCA
GSM480988,0.6067299266,-0.0101946282,-0.1136118793,0.0560765837,-0.0037036458,0.5467323747,-0.0868075146,-0.0134917889,-0.1038163970,-0.0768744176,1.2724594953,1.4409479541,0.9353813466,1.0350123030,-0.0436900057,-0.0056832970,-0.1110466703,0.1369016643,2.3123026044,0.2617143734,0.3201709255,0.4591097654,2.2369184494,0.9066358447,2.6860279888,-0.0852625747,1.4752345087,-0.0510585851,2.8867309490,-0.1503134316,-0.0952093873,1.0425981658,2.3745053726,1.4660367218,-0.1056502893,2.6940538747,-0.0092998733,-0.0916519680,0.7069095158,1.3216555156,-0.0551589184,1.6387961059,0.6102328022,1.6181857957,2.6309204763,-0.0163911235,2.5994263617,-0.0274298823,2.4778852198,0.0375145020,0.9312757205,1.0023379406,0.8106647598,-0.0341733339,0.0963970413,1.1771253664,-0.0942539158,0.7025596659,-0.0380705083,-0.0921725004,-0.2619446170,BRCA
GSM480989,0.7911984045,-0.1092425311,-0.2185992312,-0.2166209370,-0.1393070609,0.4294308175,-0.0670945641,0.1127070281,-0.1580546161,-0.1002185958,1.1048022897,1.0125810863,1.3584975356,1.8733662440,-0.0927954214,-0.0242702600,-0.2624165564,0.2410951006,2.6141122133,0.3805141867,0.5365062745,0.2884676186,1.9671972129,0.6953486627,3.7068023680,-0.0405919630,2.0836580592,0.0095998632,4.1127762797,-0.1527719293,-0.0005144539,1.2955676043,1.5326526310,1.7733178045,-0.1354447571,2.1014878023,0.0731121283,-0.0624024301,0.9352218139,1.3325026818,0.0393078690,1.3598845712,0.7433620111,1.4731965326,2.7389387290,-0.1135746031,3.2133402771,-0.0387688208,2.9022392698,0.0825043132,1.1754339944,0.3692548704,0.7847035028,0.0022234869,0.1424265854,1.3883722507,-0.0977247296,0.8468570947,-0.1081529906,-0.1591452546,-0.1814412623,BRCA
GSM480990,0.5817758771,-0.0021078327,-0.1389296834,-0.2175116093,-0.0000704744,0.4452071144,-0.0802872338,0.1108563274,-0.0673863146,-0.2167010738,1.2146143362,1.2734934124,1.2902029069,0.7312256614,-0.0589349617,-0.0668057338,-0.1800428545,0.1896004626,2.2427144833,0.4365825751,0.3836223646,0.2482381464,1.8043094478,0.6985147433,3.6642830071,-0.0880344504,0.7687268687,-0.0116545651,4.0299192270,-0.1348014611,-0.0437816894,1.4479907993,1.6475055946,1.7035346558,-0.1071262657,2.4394841388,0.2768891802,-0.1691237926,1.0199502715,1.1622796319,-0.0420805594,1.0332192485,0.6646611701,1.6591785439,2.5505403279,-0.0157638356,2.0443916720,-0.0395005516,2.4185049138,0.0356109999,1.2384746735,0.8339975891,0.5519344077,0.0249579860,0.0620658872,1.1889467905,-0.0738550263,0.9216723813,-0.0877605259,-0.1214070126,-0.2949720027,Control
GSM480991,0.6266307731,-0.1392230330,-0.1345287368,-0.0756281373,-0.1044962675,0.4093935935,-0.1107637479,-0.1414028134,-0.0932170166,-0.1468769998,1.2609957534,1.3897725733,1.1943576631,0.8049711057,-0.0913220812,-0.0233735611,-0.1843040270,0.2089695791,2.4894548394,0.6979058134,0.5066695825,0.4429829029,2.3212478954,0.8245137883,3.3511493803,0.0187055081,0.9393220113,-0.0304352747,3.5006267230,-0.0731718656,-0.0791121414,1.1540018956,1.6430448198,1.6775755478,-0.1468512447,2.3223583040,0.0602282609,-0.1218489380,0.8585999242,1.3495369666,0.0190630361,1.3733915667,0.7867336054,1.4498729409,2.5239834256,-0.0643736766,2.6388060668,-0.0263332319,2.5110006861,-0.0017519026,1.0837592061,0.8646111682,0.6588608654,0.0565974636,0.3102516709,1.2527781763,-0.0571918005,0.7002253472,-0.0089865239,-0.0757742637,-0.2081959547,Control
GSM480992,0.6654399796,-0.1489883426,-0.1210833825,-0.2411115367,-0.1201597471,0.2841856520,-0.0497721363,-0.1517202389,-0.0217185038,-0.0915932254,1.4483645946,1.1771644925,1.3129814466,0.9358635689,-0.0106469618,-0.0362600798,-0.2244949695,0.1794442621,2.1431246516,0.6483646356,0.6686303736,0.5244848654,1.9536824093,0.5097402134,4.0008762477,-0.1052813891,1.3573195999,-0.0300554221,4.2335794767,-0.0931469454,-0.0514066756,1.4153915515,1.8549194104,1.6706130355,-0.1097586988,2.2018320063,0.3520118228,-0.0546786810,0.9904718334,1.3185275235,0.0208432822,0.9463855718,0.8926648379,1.4949450009,2.7886193726,-0.0659236095,2.3291698586,0.0152414826,2.9159775046,0.0948297891,1.1784894812,0.6539650171,0.6319132452,0.0398278041,0.0007148846,1.3005413837,-0.0763448442,0.6296494984,-0.0669547870,-0.0948739736,-0.1428284347,Control
GSM480993,0.6990027123,-0.1135396622,-0.1010871995,0.4248601697,-0.1484466687,0.4462670538,-0.0579084016,-0.0879215701,0.0161394494,-0.1067345453,1.5150614510,1.2907769317,1.2059193881,1.5582664870,-0.1311150084,-0.0292226803,-0.1646544485,0.3845479185,2.5496581717,0.4405312035,0.5171403062,0.3816242536,2.2813484934,0.8032673724,3.3487095834,-0.1080132356,1.6362959810,-0.0383233076,3.9189611273,-0.1876187269,-0.0899998086,1.2571051989,1.9034907849,1.8064600663,-0.1340181460,2.6810300500,0.1526932196,-0.1323098540,1.0226243456,1.5464859531,0.0175786738,1.5108530763,0.9109335344,1.7650410084,2.7210100094,-0.0033562295,2.8261593364,-0.0469209712,2.6456631024,0.0762583770,0.9992275332,0.8987807321,0.8072736741,-0.0535205999,0.2667542203,1.1868843715,-0.0713515956,0.7350254849,-0.0100685461,-0.1611804952,-0.1105909447,Control
