@relation data

@attribute id string
@attribute 3725 numeric
@attribute 4208 numeric
@attribute 257397 numeric
@attribute 1147 numeric
@attribute 148022 numeric
@attribute 59307 numeric
@attribute 4205 numeric
@attribute 2002 numeric
@attribute 54106 numeric
@attribute 9450 numeric
@attribute 6416 numeric
@attribute 4615 numeric
@attribute 3929 numeric
@attribute 8737 numeric
@attribute 1386 numeric
@attribute 51135 numeric
@attribute 10333 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 4214 numeric
@attribute 5606 numeric
@attribute 9252 numeric
@attribute 30849 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 3551 numeric
@attribute 23643 numeric
@attribute 6885 numeric
@attribute 5608 numeric
@attribute 1385 numeric
@attribute 7314 numeric
@attribute 6196 numeric
@attribute 929 numeric
@attribute 6197 numeric
@attribute 9641 numeric
@attribute 5595 numeric
@attribute 8411 numeric
@attribute 4791 numeric
@attribute 5598 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 4792 numeric
@attribute 6195 numeric
@attribute 5594 numeric
@attribute 3661 numeric
@attribute 8517 numeric
@attribute 5599 numeric
@attribute 7100 numeric
@attribute 114609 numeric
@attribute 1432 numeric
@attribute 5970 numeric
@attribute 9261 numeric
@attribute 7189 numeric
@attribute 11035 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 5289 numeric
@attribute 51295 numeric
@attribute 23118 numeric
@attribute 353376 numeric
@attribute 5519 numeric
@attribute 1849 numeric
@attribute 3654 numeric
@attribute 1848 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 64145 numeric
@attribute 11213 numeric
@attribute 29110 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 7099 numeric
@attribute 10454 numeric
@attribute 51284 numeric
@attribute 4064 numeric
@attribute 7096 numeric
@attribute 2353 numeric
@attribute 7097 numeric
@attribute 51311 numeric
@attribute 3665 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2901,0.9236,1.3846,1.5171,0.4491,0.9402,1.0708,0.4506,0.2772,0.534,0.7496,1.4816,-0.0673,1.4118,1.5681,2.0311,1.6721,1.1297,-0.0399,-0.0236,0.4307,2.265,0.7706,0.959,0.9936,0.7341,0.6098,1.1591,0.8978,1.4658,0.7145,1.8356,0.6845,0.1016,2.3651,1.9037,0.9138,1.0952,0.8808,1.1558,0.5406,1.6981,0.9055,2.2123,0.9079,1.76,0.8043,0.3604,1.4087,0.5015,0.4317,1.4449,1.4383,0.9459,0.8372,0.948,0.8892,1.7098,1.3951,1.2221,0.3015,1.7946,0.482,1.0472,1.1608,0.6564,1.9656,1.1916,0.068,0.9763,1.5761,1.5365,1.4624,0.2954,1.0884,2.4861,0.2872,0.7452,1.7431,2.2262,2.8919,1.955,1.9269,0.3163,Control
A02,0.8169,0.6974,1.2666,1.302,0.4437,0.7895,0.7174,0.2934,0.2553,0.4655,0.4989,1.7445,-0.1491,1.2609,1.4031,1.6611,1.5787,0.9926,0.0138,-0.0148,0.3006,1.9132,0.751,0.5224,0.7781,0.48,0.5292,0.9319,0.7226,1.1532,0.296,1.527,0.7725,0.1035,2.2392,1.6531,0.6032,1.0379,0.6158,0.9284,0.322,1.2732,0.76,2.0603,0.9261,1.6579,0.638,0.3492,0.986,0.4503,0.2505,1.1614,1.258,0.8406,0.7679,0.7762,0.6903,1.5505,1.195,0.8794,0.1652,1.4192,0.4492,0.8042,1.1583,0.5823,1.8597,1.1141,-0.0074,0.6985,1.4814,1.5012,1.2554,0.3949,1.0223,2.5076,0.1844,0.5732,1.9342,2.0955,1.0722,1.5869,1.9884,0.2442,Control
A03,1.1876,0.8021,1.4477,1.5398,0.4999,0.8972,1.0447,0.364,0.3281,0.6331,0.6475,1.9618,-0.1414,1.4831,1.448,1.9239,1.5762,1.1122,-0.02,0.0233,0.4986,2.1264,1.0109,0.7076,0.9039,0.7059,0.7023,1.0697,0.8278,1.3103,0.4348,1.7022,0.8244,0.114,2.3692,1.847,0.8041,1.0752,0.8292,1.0624,0.5719,1.4485,1.0903,2.7503,1.0247,1.9065,0.7043,0.3742,1.223,0.575,0.3397,1.3753,1.4813,1.1179,0.9336,1.0786,0.9187,1.7523,1.3815,1.075,0.2621,1.3753,0.5359,0.9485,1.429,0.7212,1.9701,1.4141,0.1676,0.8346,1.8756,1.6917,1.265,0.4339,1.1628,2.8343,0.2439,0.994,1.7352,2.2039,2.3576,1.9871,2.349,0.4329,Control
A04,1.2809,0.9031,1.1883,1.079,0.4268,0.9435,0.7296,0.3909,0.2202,0.5668,0.518,1.824,-0.1221,1.3343,1.4894,1.4877,1.417,1.0731,-0.0106,0.1349,0.4277,2.2551,0.8035,0.5985,0.8453,0.5113,0.6582,0.9555,0.6468,1.2639,0.3699,1.6873,0.6344,0.1111,2.432,1.8121,0.7115,1.0602,0.5948,1.0316,0.4581,1.4304,0.8727,2.2761,1.0075,1.7434,0.6502,0.3772,0.9854,0.3682,0.2796,1.2634,1.484,0.9438,0.7944,0.7834,0.6057,1.7078,1.4064,0.8628,0.2571,1.5602,0.3402,0.6822,1.3674,0.649,1.5365,1.1348,0.1562,0.7744,1.3848,1.2065,1.2082,0.2126,1.0777,2.3176,0.1265,0.2436,1.6451,1.9935,1.55,1.4777,1.7725,0.3843,Control
A05,1.2201,0.9885,1.3826,1.4435,0.6004,0.948,0.9808,0.4547,0.2503,0.6578,0.6041,2.0894,-0.0959,1.487,1.4991,1.7524,1.9353,1.1431,-0.0216,0.1042,0.5021,2.4117,0.9784,0.7351,0.9698,0.726,0.7209,1.0728,0.9404,1.3977,0.5114,1.7772,0.7355,0.1037,2.856,1.8169,0.7737,1.2157,0.8298,1.126,0.599,1.5181,1.1142,2.4615,1.116,1.9721,0.7286,0.6097,1.1338,0.6884,0.4324,1.514,1.5368,1.0178,0.8518,0.927,0.8883,1.7874,1.5397,1.0322,0.3463,1.5773,0.5664,0.8529,1.605,0.8578,2.2759,1.603,0.1449,0.8118,1.9241,1.4954,1.311,0.388,1.1295,2.9955,0.259,0.7153,1.9296,2.4178,1.9884,2.1026,2.4348,0.4291,Control
A06,0.8267,0.8475,1.2809,1.3907,0.4481,0.8229,0.8926,0.4061,0.3273,0.6121,0.5939,1.7816,-0.1563,1.4109,1.3895,1.6599,1.745,1.0094,-0.032,-0.086,0.3564,2.0422,0.8378,0.6021,0.8575,0.6824,0.5599,0.9844,0.9399,1.2785,0.62,1.6188,0.8108,0.115,2.716,1.6695,0.6694,1.0037,0.7357,0.8596,0.4086,1.3497,0.8971,2.472,0.9822,1.8749,0.5944,0.3246,1.1657,0.6002,0.3777,1.2099,1.338,1.009,0.7749,0.8134,0.7009,1.5855,1.375,0.975,0.1624,1.4058,0.4968,0.757,1.3186,0.6583,1.8366,1.2336,-0.1159,0.8199,1.8778,1.4325,1.2611,0.23,0.9649,3.0912,0.2241,0.5329,1.2245,2.119,3.0931,1.8873,2.2529,0.2565,Control
A07,1.2177,1.1251,1.4073,1.4674,0.513,0.8239,1.2632,0.3002,0.3887,0.7613,0.8022,1.7303,-0.0677,1.4606,1.5918,1.956,1.8009,1.1036,-0.0162,-0.0731,0.4096,2.3762,0.7733,0.8635,0.9728,0.8669,0.5073,1.1473,0.7269,1.5067,0.6062,1.8387,0.5046,0.1706,2.4557,2.0157,0.7695,0.9863,0.8224,0.9967,0.4761,1.6897,0.8526,1.9798,0.9873,1.9127,0.708,0.3276,1.3766,0.5273,0.3962,1.5901,1.2584,1.0917,0.9329,0.9,1.0068,1.762,1.4216,1.2237,0.2321,1.723,0.6495,0.9246,1.3359,0.6423,2.1882,1.2492,-0.0115,0.8901,2.2162,1.5213,1.4361,0.2713,1.0159,2.7151,0.2597,0.7045,1.5417,2.1369,2.7085,2.2473,2.0083,0.2774,Control
A08,0.8932,1.0175,1.3846,1.3187,0.4629,0.7227,1.401,0.3245,0.391,0.4854,0.9913,1.5849,-0.0584,1.4451,1.6346,1.8558,1.6321,1.2435,-0.0486,-0.0884,0.3414,2.6059,0.7195,1.0676,0.9874,0.8829,0.4878,1.198,0.7837,1.6258,0.7395,1.919,0.6334,0.1697,1.6926,1.9639,0.7901,1.0102,0.8837,0.8752,0.3987,1.8669,0.7484,1.9095,0.8463,1.9432,0.5588,0.1674,1.5009,0.4092,0.3815,1.6278,1.2448,1.041,0.8298,0.7681,0.767,1.654,1.2584,1.3881,0.2298,1.9342,0.5418,1.0312,1.1227,0.5498,1.3207,0.8642,-0.1235,0.9276,2.0095,1.3857,1.2025,0.206,0.9696,2.1575,0.1982,0.4773,1.3329,1.778,1.7156,1.7824,1.9018,0.2033,Control
A09,0.9938,0.8946,1.4203,1.4072,0.5017,0.7594,1.1848,0.3747,0.2857,0.5732,0.7463,1.5729,-0.0935,1.3453,1.4828,1.8214,1.6259,1.0012,-0.0209,-0.0165,0.356,2.4502,0.8261,0.8757,0.849,0.7767,0.5174,1.047,0.5263,1.3494,0.5541,1.7005,0.5004,0.1377,1.9845,1.9382,0.769,1.0062,0.8631,0.9958,0.3762,1.606,0.8347,2.1911,0.8276,1.8616,0.679,0.2539,1.3752,0.3918,0.3894,1.4374,1.3302,1.0265,0.7673,0.8656,0.7961,1.6406,1.3688,1.2476,0.2517,1.7432,0.4146,0.9102,1.309,0.5933,1.5877,1.2362,0.0249,0.8386,2.0794,1.4562,1.3588,0.2266,0.9724,2.5755,0.1828,0.7329,1.4006,1.7719,2.2374,1.9054,2.0112,0.2945,Control
A10,1.3414,1.0239,1.3671,1.4266,0.4559,0.8486,1.1913,0.3376,0.2612,0.6689,0.8644,1.742,-0.1665,1.4193,1.7203,1.7843,1.9961,1.1969,-0.006,0.0023,0.4749,2.3575,0.7781,0.8235,0.9689,0.8171,0.5698,1.1476,0.7273,1.611,0.6865,1.9569,0.4407,0.0595,2.5408,1.8103,0.818,0.9394,0.7864,0.983,0.4371,1.641,0.8363,2.1251,0.9696,1.9537,0.6628,0.3962,1.2385,0.6186,0.4399,1.7306,1.3233,1.0756,0.9506,0.8537,0.7449,1.7064,1.331,1.2329,0.2874,1.7496,0.5887,0.9284,1.3031,0.6598,2.186,1.2967,0.0752,0.7868,2.1661,1.5475,1.3015,0.5289,0.9809,2.8245,0.2691,0.662,1.6909,2.3403,3.1715,2.523,2.1756,0.3008,Control
