@relation data

@attribute id string
@attribute 10645 numeric
@attribute 1385 numeric
@attribute 57172 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 84254 numeric
@attribute 8536 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3412676532,0.3960468965,-0.0946981021,1.5891594400,0.9537983259,2.1997757852,-0.1062511549,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,-0.1051014643,0.1084740903,BRCA
GSM480985,0.2937406521,0.2730189453,-0.1099366091,1.2845784730,0.9828057632,1.9199515841,-0.1264687864,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,-0.0801626205,0.0502871593,BRCA
GSM480986,0.4645196435,0.3807973232,-0.0942361577,1.6418533209,0.7694473286,2.1900971755,-0.1107559652,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,-0.0451671480,0.0236114874,BRCA
GSM480987,0.4419323003,0.2020458693,-0.1012048819,1.3375803794,0.6854064385,1.7749855086,-0.0822204906,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,-0.0879970077,0.1616492030,BRCA
GSM480988,0.4029348387,0.2373043370,-0.0944439151,1.4518957679,0.8568994044,2.2009519134,-0.1005794919,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,-0.0196376716,-0.0708861909,BRCA
GSM480989,0.4825711355,0.1316228062,-0.0961413859,1.5590544180,0.7983118814,2.9188919440,-0.1560957574,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,-0.1431885434,0.0264548731,BRCA
GSM480990,0.3074315547,0.1244135859,-0.0838693852,1.4453520321,0.6829452796,2.5856389926,-0.0154691427,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,-0.0490376318,-0.0122939400,Control
GSM480991,0.4094539608,0.1756075131,-0.0928285138,1.5451146222,0.7246558555,2.3986895680,-0.1178059007,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,-0.0771661424,0.0127019396,Control
GSM480992,0.3123437393,0.1568766059,-0.1050234023,1.4246134289,0.7415068230,2.6897532866,-0.1482992642,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,-0.0134492958,0.0114550946,Control
GSM480993,0.4851562864,0.2239596708,-0.0888799439,1.5856227239,0.8005855027,2.4490207491,-0.0999037584,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,-0.0582413043,0.0000394760,Control
GSM480994,0.3286121274,0.0844783567,-0.0996016857,1.5541917865,0.8043518845,2.7740268455,-0.1226034717,-0.0611050115,-0.0367938739,0.6584365796,0.0357378546,-0.0760176614,-0.0258303885,Control
GSM480995,0.4091314562,0.2509406057,-0.1174763749,1.5843793040,0.9457654122,2.1464026361,-0.1011984693,-0.0468415509,-0.1080818607,0.6459787596,0.0404827893,-0.0744357622,0.0596762474,Control
GSM480996,0.4355476517,0.2632771013,-0.0589956255,1.6124594438,0.6485259212,2.3817085028,-0.1204441152,-0.0608134375,-0.0592950330,0.7075808469,0.0241134928,-0.1656618281,0.0706389855,BRCA
GSM480997,0.4742634373,0.1275147414,-0.1233973642,1.2744263483,0.8059017853,2.8542935214,-0.0766761294,-0.0536945836,-0.0796740413,0.7908484311,-0.0073402746,-0.0917899557,0.1754187057,BRCA
GSM480998,0.2431264777,0.2444687053,-0.1235982346,1.5269277998,0.8750626656,2.5579728074,-0.1096933295,-0.0220169510,-0.1107295344,0.4885897034,0.0974695335,-0.1015079228,0.0403276968,BRCA
GSM480999,0.3535812230,0.4136410755,-0.1332821241,1.5838601271,1.0177537981,2.0875280909,-0.1086250906,-0.0542111546,-0.1084865482,0.6815303476,0.2214991348,-0.0916733613,0.0719779460,BRCA
GSM481000,0.2952483668,0.2888082167,-0.1119152436,1.6113596664,0.8381175668,2.0064177178,-0.0878202606,-0.0937581678,-0.0784636595,0.5175461768,0.2358452617,-0.1122842570,0.0162982839,BRCA
GSM481001,0.2678663711,0.3590236851,-0.0672516037,1.6483445484,1.0630492036,2.2235211097,-0.1802260384,-0.0022356982,-0.0728627337,0.6839215293,0.0375085662,-0.1333134465,0.0217105069,BRCA
