@relation data

@attribute 125111 numeric
@attribute 81025 numeric
@attribute 57369 numeric
@attribute 2701 numeric
@attribute 57165 numeric
@attribute 2702 numeric
@attribute 2700 numeric
@attribute 2705 numeric
@attribute 219770 numeric
@attribute 2706 numeric
@attribute 2703 numeric
@attribute 2709 numeric
@attribute 375519 numeric
@attribute 2707 numeric
@attribute 2697 numeric
@attribute 84694 numeric
@attribute 10804 numeric
@attribute 10052 numeric
@attribute 127534 numeric
@attribute Class {Control,BRCA}

@data
7.186711317,4.663367841,5.238988625,10.07718328,9.485326755,7.0259249245,5.061788345,5.507248571,5.931807875,5.916841601,5.151586144,5.415835761,4.797027644,5.40101732133,10.50676158,5.023267828,4.950006855,9.8310715225,5.957224679,Control
7.29489898,5.76593995,5.039150733,9.728286664,9.97727317,6.1673195405,5.59724157,5.62600922,4.905220009,6.631326684,4.998208198,4.937593039,4.350567624,5.40682259233,9.915820059,4.816102093,4.954912739,10.388869396,5.359671604,BRCA
7.275475337,5.72110688,5.028581582,7.754922776,8.770202293,6.3343683945,5.287630431,6.23055429,5.30807618,6.220528877,5.539167536,5.019269629,5.30807618,5.72595742467,9.954407582,5.258529523,4.7077949075,9.9353938335,5.788040457,BRCA
7.246648275,5.464840793,4.950364885,9.182165345,8.321996987,6.3062426425,4.893861206,7.0134654,5.224205518,5.402254249,5.655216748,5.114378737,4.968103714,5.43338032433,9.780614043,5.317603678,4.709049138,10.311905181,5.418368122,Control
6.989340921,5.599028548,5.546825987,8.707368731,8.600917475,6.183776421,4.397554138,6.416380067,5.485435883,7.201930614,5.418368122,4.255773643,5.464840793,5.799359882,10.69662226,4.665926218,4.6404074975,9.964975788,5.66903474,BRCA
7.069103653,5.057462456,5.388199225,8.263904275,9.387974825,6.564349544,4.895316255,6.177524808,5.533260613,7.272119153,5.305798424,5.437137209,5.717272857,5.57297718033,11.19524625,5.264734628,4.6865214285,9.8158030445,5.911578492,BRCA
7.80610027,5.442621133,5.989826604,9.491442834,9.91481157,6.508573333,5.209854193,5.843614112,4.981180512,8.324373109,4.942762263,5.361953639,5.701348918,5.53824487433,10.91276982,5.357737827,5.1782991705,10.1438077325,5.149758548,BRCA
7.433170463,4.417640694,5.144465785,9.408707151,9.411691645,6.518066626,5.023045997,5.190033289,5.052688948,5.703080794,5.495064524,5.028139516,4.977979632,5.49778342833,10.25654518,5.037614213,4.729182492,9.732638097,5.608595815,Control
7.012990752,5.048553625,5.450725666,8.319312108,8.293128034,6.513063262,4.593712258,6.301684236,5.098675623,6.217236169,5.679206489,4.786611159,5.126612849,5.62797588133,10.37922703,4.927435762,4.8998524145,9.584004921,5.108536217,BRCA
7.143181975,5.287630431,5.723088359,9.08274857,8.053438737,6.192797377,5.332718001,6.097511381,4.905460717,5.913135501,5.416004724,4.916251205,5.340750292,5.752120637,10.06785821,5.181511332,4.6614932775,9.9262124705,5.396956849,BRCA
8.15728519,4.847259412,4.990967619,9.337511034,11.13606849,6.3656521925,5.75248853,6.528419434,5.561334729,6.490093237,4.896527677,4.424648213,5.485435883,5.17181255867,10.53801698,4.990967619,5.1843567855,9.9265667065,5.868150426,BRCA
6.705878143,4.99854671,5.704879743,9.641781332,8.710600796,6.5045682325,5.172938736,6.485350846,4.915773338,6.737149723,5.741339733,5.473633714,5.338612717,5.41738400967,10.5789154,5.529517425,4.665898317,9.9441036625,5.370958703,Control
7.348642132,5.022380297,5.388974098,10.13424056,8.876134064,7.057440255,5.057679059,5.895672973,5.082799703,6.092340258,5.488491912,4.853011634,5.378521376,4.89104192567,9.974988515,4.716458988,4.783265433,10.0385584985,4.904979261,Control
7.317731701,4.927672792,5.706676451,10.14135395,8.485629214,6.6291284755,5.284487528,6.152087694,5.32139713,5.144669712,5.159277237,5.419716899,5.614055514,5.94020633633,7.444106148,4.79000478,4.8508871435,9.83486479,6.003496127,BRCA
7.134300849,5.590221183,5.760760691,9.529748305,9.324226193,6.699937385,4.719884481,6.736405736,5.358529231,5.884360575,5.281523233,5.281523233,5.541492575,5.87920155833,7.812114918,5.040904755,4.709624676,9.7031946715,5.992151647,BRCA
7.568395327,5.398154738,5.824775011,9.106020519,8.297754429,6.339659623,5.542111953,6.275571072,4.969485815,6.241654902,5.328864506,5.840596198,5.558582385,6.10873833933,7.53348767,4.680625393,4.778392029,9.6145364335,5.976599205,BRCA
7.230839752,4.335635687,5.634165776,9.49357585,8.025390316,6.574358072,4.50231428,6.275571072,4.898705674,5.657147817,5.631985502,5.728744494,5.76368461,5.67952330967,7.47856968,5.07383228,4.984297628,9.890518852,5.946152572,BRCA
7.619194955,5.606672627,5.514288973,9.370535461,8.573288481,6.513119009,5.08524538,6.328679975,5.18190882,7.473910928,5.114586962,5.852879802,4.385153631,5.58698529767,7.985131975,4.720295008,5.145459345,9.1507075725,5.982201443,BRCA
7.479034729,4.933585915,5.456322582,9.301393948,8.045310711,6.1937675065,5.232287804,6.506212853,5.535906174,6.084442353,5.391811746,5.625278709,5.559347452,5.99173616033,7.982111044,5.013251478,4.7923532775,9.5814273085,6.20007038,BRCA
8.442550769,5.616777635,6.018707189,10.13116281,10.58570928,6.394315535,5.052688948,5.91922759,5.753023652,5.716038325,4.977521783,5.19062597,5.408721412,5.40071817367,7.533176158,4.062852976,4.8046827485,9.002563211,4.766875281,BRCA
